"","0","0 | 1","900","900 | 1","900 | 2","2100","2100 | 1","2100 | 2","2100 | 3","0 | 2","0 | 3","900 | 3","900 | 4","2100 | 4","2100 | 5","2100 | 6","0 | 4","0 | 5","900 | 5","900 | 6","2100 | 7","2100 | 8","2100 | 9","0 | 6","0 | 7","0 | 8","900 | 7","900 | 8","900 | 9","2100 | 10","2100 | 11","2100 | 12","2100 | 13"
"aas",459.749671952869,448.357112859198,460.07990094404,559.475905141569,437.117075408675,480.854515332023,469.765808620699,442.885157046599,606.614968780986,472.933063764525,496.158322456311,535.311725629106,657.326426649839,471.239728689802,469.398812869363,511.880454964061,491.139970806318,458.191729637108,518.42281133111,586.410052591975,456.052469855036,455.542559100611,508.151022671965,469.549950490698,459.154102892451,548.985722785873,397.516776809591,562.347679919358,437.535542043805,487.977780290386,545.332483515014,466.452548768453,483.982188088739
"aat",386.283449846335,400.035535415146,331.054900264663,367.604103489109,318.021616238064,379.743276431422,382.908046940624,412.708474062693,493.871744820813,390.621090930255,418.530344107687,380.921686758034,336.476851883999,407.11147184489,459.138580274692,399.775323797731,411.208086069703,419.68167602658,356.999959162967,428.532659634916,372.957753668191,420.290626492409,349.556230834498,356.697016109322,418.906823796806,383.446421348541,332.689388417429,416.639427788882,301.61153966806,358.138371922948,430.908238124464,373.65102275113,411.005434279204
"metN",724.108710867433,687.655096857525,577.892957750916,307.950790009058,496.164947253168,344.12730215019,423.060505198353,466.352790562064,365.676643354653,637.482056005851,888.29464445363,604.451705347797,233.381510215132,453.469000775399,448.894614574096,428.569363891279,861.981651136031,709.18962527483,570.541452252302,429.367337927306,387.801902529613,365.521757193452,444.21339593709,630.122055303717,674.416456115308,621.098534292242,360.311232138646,415.083976675957,588.361127121106,353.188303751698,423.321276096222,380.309172538658,305.310491913287
"abrB",227.285356306466,239.20977791923,257.526479836253,221.020474287244,196.004159829301,234.448445152265,240.776694693498,253.659755514722,228.68976797718,260.644181497803,223.52415475863,217.209229923008,243.359875519493,273.757870810656,230.108323726204,226.997204433308,209.906369514206,247.395004345444,245.124236403326,237.776288869112,258.409962282137,211.141070459104,249.030347252592,222.955382064852,243.615225567141,213.456975714102,253.955325379513,236.87549239444,242.307163563833,253.698572410978,208.623969330103,237.903224217283,214.666071426568
"accA",1359.70576843304,1585.91688645129,1025.75930065359,1188.71202693135,1089.25242516069,971.575888515709,1303.13812148843,1050.61266800425,1196.43625653484,1396.54247727503,1750.4892904492,1257.26225445164,753.001759632446,1361.78230810939,1273.77964707028,1018.28896850784,1645.70264551559,1531.70848064404,1568.0892831893,1161.61827476767,1330.74060909035,1271.01143970313,757.38607372848,1676.55555001171,1684.84551485046,1398.45528532309,1075.11718270062,1274.55860891762,1310.09506760336,1339.3683160567,1391.90426415304,1151.12439514373,1003.0240922471
"accB",8385.7459592776,7567.40471956266,7364.42621748601,3849.43103835103,7807.12617140388,7621.26703368581,8605.13756152129,8392.92346728276,5132.82838563253,7526.17405959113,8373.84013204513,7773.08032814982,4315.72217842426,7368.19189652444,7952.2551416282,7593.37072455298,8724.09406401342,7886.23403646668,6631.72358415479,4099.57065522598,7261.14541560412,6416.52080780604,10447.1455399568,6964.02105742572,7518.63119234159,7514.05192366677,4646.44514356793,5001.53805440892,7380.18420394783,6379.45241865035,8163.28109109865,7079.90589980272,4536.95658816457
"accC",2383.87068099898,2437.03115626537,1582.09430196606,826.412008059224,1716.22553572457,1621.38819622275,2018.67699406245,1513.44815562143,1310.87532989779,3074.57533148142,2312.88751773524,1791.22406422209,712.861869987717,1701.56203000578,2274.14441930483,1662.4022423343,2324.30192414039,2323.36750647045,1986.46581358415,1040.0596517739,1603.92581470402,1902.51214750294,1072.10468618727,3082.61431313699,2528.09506595859,2212.24071632995,1537.1042500469,1096.60491530012,1927.96727717959,2024.58500150059,1909.96602487303,1671.09607017416,1295.3916101519
"accD",2053.22442127887,2156.83690195777,1854.91225796152,1552.61385337373,1689.43494214687,2167.55237701604,2139.73749356805,1858.00196221824,1487.7122033699,2631.35705661062,2414.04711812189,1852.46804374699,1693.47973780692,2681.20568018613,2800.07722242233,2089.96974173585,2164.33802400956,2329.89691546871,2201.7822466663,2191.42433296604,2123.09473190669,2482.59703014816,1673.0707855876,2643.35821522295,2438.91151160821,1960.8246764202,1915.47169258296,2245.05566351673,1784.64515111702,2617.01712562353,2595.61844874095,1770.10521344387,1129.75450142784
"aceA",207.849386586003,276.188565978628,301.019503053694,2816.14960043806,228.720493706347,573.303241920643,786.928899392715,264.956978738392,273.672991795002,275.158348595418,213.377905664576,270.046021412871,3126.6967336244,720.636021264542,704.083123434372,668.791286576871,191.860671204729,262.903750518402,322.514977679598,3699.07457296086,604.905687849692,821.532131911641,407.505538147912,231.076939514694,264.790232093646,244.694414671294,635.680780640685,2219.75788320591,212.560861808171,650.382293635167,940.649067576153,497.944083119237,267.382023150617
"aceB",387.951851990644,500.29137835525,679.775674823083,4351.63165765686,307.530053909737,1004.55319077241,972.712381817789,377.459809852858,582.2490244509,546.274840168474,405.725561562547,636.390907086063,6363.07777404296,1165.07053099316,912.968171074375,1563.17157165516,387.881781233241,515.972498727776,907.886948602922,5765.24818635179,1020.91607558953,1067.87415836313,901.624622228263,382.940601061196,482.930408570559,430.897233296107,1715.325151977,3481.72523515433,374.255688896671,1015.48462763318,1440.68380649854,847.754584573758,434.49232805664
