"","0","0 | 1","36000","36000 | 1","126000","126000 | 1"
"thrL",1171.9036,1226.235,935.902,1606.8192,694.3987,813.0405
"thrA",10734.29705,10845.1263,10808.91295,11338.2154,10737.37785,8826.745
"thrB",4402.487,4436.36145,4407.6908,3838.70145,4220.7215,3345.83845
"thrC",774.3967,1065.58565,567.6654,430.16535,866.33165,681.05515
"yaaX",306.28025,402.43905,319.72915,330.2885,216.13545,216.8439
"yaaA",132.7475,143.14175,98.8863,106.3542,290.6428,225.9405
"yaaJ",607.1651,608.83725,965.384,1237.57205,445.15785,510.9717
"talB",5294.787,5764.8919,3087.1724,2582.15625,6112.34275,6019.0775
"mog",360.0887,460.74635,270.1881,220.1798,350.99855,381.84695
"satP",409.33295,342.3823,305.5441,301.7607,196.04025,173.53235
"yaaW",92.26635,110.3788,105.62935,115.8125,63.39625,73.9089
"yaaI",74.3939,81.12695,77.40935,99.1058,61.85085,57.52685
"dnaK",33355.19975,37598.95265,34114.06415,39257.0384,45927.4245,37829.5363
"dnaJ",6078.1595,7851.4702,5580.193,6631.93795,8410.08295,5599.90195
"insL1",2712.847,3168.29905,1997.28025,2559.8877,2474.17155,2279.186
"mokC",63.07995,69.91695,100.0042,82.2228,60.43725,55.14865
"nhaA",5520.90285,5235.0048,8681.96695,8229.64775,3369.7722,2982.9611
"nhaR",370.93235,511.55525,890.8197,885.95245,494.43605,421.11605
"insB1",2560.85865,2713.70145,4531.09255,4637.38045,757.21415,1006.20845
"insA1",4254.87255,4421.32555,5980.34225,7190.96175,1138.12105,1862.08705
"rpsT",5619.35315,5676.5436,1902.4728,2281.6336,2524.0435,3692.1456
"yaaY",126.23525,129.66875,208.26025,200.06545,138.7111,128.7007
"ribF",2317.56565,2358.63545,2444.7441,2061.5769,1951.5235,2020.12515
"ileS",5224.9516,5978.6727,4507.98945,4783.3612,4471.368,4231.6276
"lspA",3719.40245,4381.14985,3005.22705,3064.03955,3086.69745,3548.6524
"fkpB",1837.6689,2044.4902,1173.36005,1311.54185,1556.0598,1808.48385
"ispH",823.23355,925.50055,501.0686,396.20265,971.21055,872.09675
"rihC",106.24165,121.92015,89.115,84.4317,142.53135,156.2277
"dapB",206.1102,231.9604,150.9374,111.4994,618.2299,494.838
"carA",533.63215,745.36605,286.11175,327.7846,226.15435,278.56665
"carB",462.5459,590.29475,310.1465,372.51775,216.71945,244.5187
"caiF",130.8371,118.9412,87.77615,138.13475,98.3687,90.0224
"caiE",75.18515,79.37375,85.3205,91.43935,89.83785,78.8137
"caiD",66.62885,60.07855,67.24445,62.16295,64.8903,61.658
"caiC",65.13535,67.68155,61.60795,68.8613,59.4793,64.45975
"caiB",148.24925,170.92115,127.95675,185.66745,110.2727,132.04755
"caiA",82.11595,84.02185,86.0299,88.40065,87.35285,82.2332
"caiT",140.2911,144.41595,80.9147,136.5522,61.5434,55.87695
"fixA",71.6647,80.4528,105.71065,84.41875,63.6233,69.419
"fixB",51.89315,55.5567,62.19985,58.2549,58.68455,56.52835
"fixC",75.42385,81.0439,82.77615,95.1104,64.5748,69.5351
"fixX",66.85985,61.6009,65.4601,68.2701,61.14525,59.5705
"yaaU",118.44655,95.73025,72.57235,89.6921,64.884,66.7714
"kefF",62.6543,60.47015,61.28055,52.7338,86.22295,78.01765
"kefC",292.5577,256.08685,132.35665,126.01985,429.5909,358.80335
"folA",140.4472,154.92025,76.4348,82.7684,128.19495,129.5399
"apaH",356.29975,469.63735,204.44035,160.6456,800.91395,632.81645
"apaG",796.41445,797.298,411.70075,361.402,1349.97855,1245.92715
"rsmA",4242.35555,4951.912,2406.3195,2579.5155,4644.21245,4578.83965
