"","0","90","210","30","90 | 1","270","30 | 1","150","390","30 | 2","210 | 1","510","90 | 2","270 | 1","630","150 | 1","390 | 1","630 | 1"
"thrL",7.764711915,2.691427085,1.668396573,5.811197552,2.667528903,1.729536233,3.921218346,2.24158452,1.654137905,5.882285382,2.465673079,1.790343965,2.759587805,1.977749402,1.527472098,2.130751508,1.525382937,1.555616048
"thrA",189.2627809,148.2450951,96.02816697,226.125187,168.0293047,84.35869551,174.7557662,133.1720248,12.80880933,174.2988423,83.77774266,2.701666687,164.84683,58.41858533,2.317855901,106.1687576,3.830667739,2.389747642
"thrB",156.4847835,124.3980613,75.4166942,201.8480375,143.253602,58.92084735,171.2651995,124.3377713,8.677968528,168.3015657,78.98130399,3.30975242,154.5854995,53.06992482,2.961476233,100.3698779,4.099178293,2.809151258
"thrC",69.05566653,74.20943315,35.14638026,97.1229697,83.82615888,24.61512748,84.98450451,63.97849285,3.796653889,124.6357227,71.69701278,2.585068493,143.1013811,50.86553954,2.031136219,92.65291524,4.101841291,2.148522429
"yaaX",16.19143095,17.68048985,5.651849502,22.69431936,17.65132913,3.451811693,19.38720978,10.2605804,1.475163248,27.92863308,13.54684911,1.802083266,34.28821659,10.73519251,1.641521014,19.2181659,1.91238228,1.412595173
"yaaA",37.36232408,11.27307014,1.908191344,33.2666123,9.105374034,1.309874879,19.59735771,4.860361526,1.253583573,53.58121816,2.572588341,1.24119565,17.42677673,1.581207665,1.174926138,5.564032964,1.153944661,1.136189173
"yaaJ",1.881414008,1.246670267,1.257544061,1.754318071,1.347107328,1.299864459,1.511842132,1.265787562,1.36299767,3.028845406,1.4353835,1.367982219,1.800586778,1.351785617,1.328853986,1.432564192,1.236707336,1.197984269
"talB",78.32077502,57.90257942,39.38902923,88.91585484,73.10867282,30.82323602,70.80807174,47.81774647,15.98138346,73.26924071,54.14568776,11.54250069,60.81851207,53.30378066,10.11527064,59.36478181,21.06593958,11.30793994
"mog",4.136066435,2.00982864,1.24332945,3.635786464,1.999136928,1.263386724,2.588937227,1.544938628,1.169387044,10.57648215,2.66040941,1.633414364,5.834582532,2.283851952,1.648030981,3.07140261,1.688790869,1.618149444
"satP",3.668822483,2.401341898,1.775790908,3.487294135,2.569389134,1.711367749,2.714622825,2.210337387,1.525380475,22.74010625,20.78476113,15.76502523,17.89159296,21.26192181,20.5390597,25.63057366,18.1415272,17.61654952
