"","0","1800","3600","5400"
"isrC",470.196,781.143,785.202,835.273
"mcaS",518.863,706.079,1077.21,1300.09
"prfB",4812.69,1362.78,1266.7,1299.66
"thrL",3959.95,651.79,882.222,1576.16
"thrA",8917.51,1414.36,1993.52,2246.06
"thrB",8087.59,941.834,1088.12,1936.29
"thrC",6031.59,957.649,795.805,1680.68
"yaaX",388.503,710.405,782.242,774.672
"yaaA",630.567,641.757,641.084,553.851
"yaaJ",169.353,843.479,748.946,645.862
"talB",7244.78,1543.88,1689.88,1916.91
"mog",767.749,858.985,782.662,757.392
"satP",255.675,659.527,788.609,685.771
"mbiA",24.7793,419.84,654.535,603.468
"yaaW",185.422,1118.71,1276.74,1097.23
"yaaI",86.2307,571.54,773.392,662.008
"dnaK",6628.97,6887.88,3683.45,4078.27
"dnaJ",2173.76,2212.19,1545.68,1643.48
"insL1",1463.6,2151.02,2020.34,1948.82
"hokC",67.3699,426.013,509.907,477.065
"sokC",248.899,571.094,1182.34,1279.45
"nhaA",1137.06,1200.09,944.016,1153.16
"nhaR",891.444,844.978,931.965,1031.28
"insB1",445.578,2211.39,2098.19,2120.84
"insA1",1081.56,1505.15,1576.59,1695.11
"rpsT",6823.86,933.281,1122.42,1606.01
"yaaY",64.2068,272.139,335.489,333.246
"ribF",2171.9,897.93,1021.5,1062.9
"ileS",2847.55,944.492,871.36,701.782
"lspA",3575.87,1877.56,1419.43,1120.88
"fkpB",1444.99,584.579,639.406,623.797
"ispH",1105.86,738.712,832.711,730.757
"rihC",149.644,735.512,767.065,680.926
"dapB",3516.9,671.179,1441.78,1188.35
"carA",4534.26,631.344,816.441,556.014
"carB",3437.73,766.7,946.692,557.723
"caiF",848.038,1274.8,1253.41,1371.44
"caiE",119.723,1100.65,1146.83,992.609
"caiD",166.796,639.025,688.933,529.762
"caiC",248.992,963.117,883.444,655.123
"caiB",123.114,672.212,660.487,545.911
"caiA",205.203,849.764,790.059,748.691
"caiT",100.43,926.88,1035.84,984.572
"fixA",16.284,483.423,536.787,366.51
"fixB",102.946,796.454,785.607,611.482
"fixC",77.3609,993.274,787.387,770.109
"fixX",45.1737,744.409,586.42,544.105
"yaaU",10.1306,847.566,690.511,658.03
"kefF",544.744,939.359,686.283,768.231
"kefC",296.14,751.043,608.175,600.276
"folA",681.554,1408.13,543.511,686.855
"apaH",440.615,1032.56,689.608,503.898
"apaG",1329.24,1283.5,817.62,780.33
"rsmA",1996.56,1385.47,899.486,826.369
"pdxA",1617.27,1059.5,680.484,630.521
"surA",3686.62,1792.62,1161.85,1309.67
"lptD",1898.79,980.546,649.902,700.405
"djlA",780.949,1026.27,926.827,922.033
"yabP",960.084,1333.21,1143.02,1049.53
"yabQ",761.113,1217.64,648.121,865.236
"rluA",539.167,1006.87,812.126,777.537
"rapA",790.902,1430.4,852.471,796.183
"polB",170.945,1068.75,667.285,528.449
"araD",122.113,1153.84,674.392,521.76
"araA",117.585,1497.55,751.766,590.083
"araB",43.0032,1444.75,685.411,697.239
"araC",426.617,2420.18,743.289,665.809
"yabI",648.58,2226.88,1155.28,1199.86
"thiQ",107.947,1307.63,700.574,536.878
"thiP",98.7917,1366.34,702.134,532.603
"thiB",205.265,1012.64,675.814,469.176
"sgrR",274.29,1050.02,687.54,520.149
"setA",296.185,1030.93,844.977,770.729
"leuD",5046.23,1241.79,756.129,780.684
"leuC",6714.66,1474.59,906.343,773.118
"leuB",5105.88,737.417,418.378,328.355
"leuA",5275.26,1202.84,777.065,753.819
"leuL",2721.11,1125.19,765.516,694.047
"leuO",78.4643,403.398,540.89,503.384
"ilvI",3484.48,1103.3,891.976,829.422
"ilvH",2212.4,993.72,833.389,826.873
"cra",1192.4,1271.65,893.177,914.996
"mraZ",2128.74,1309.61,904.673,1048.57
"rsmH",1466.94,1157.53,724.657,760.888
"ftsL",1347.13,1333.63,828.319,832.875
"ftsI",1231.55,2022.03,1282.15,1295.86
"murF",898.096,1189.7,573.882,536.693
"mraY",968.147,1504,845.793,736.185
"murD",882.964,1112.53,719.25,679.354
"ftsW",807.131,1142.33,816.931,712.976
"murG",1048.54,1599.58,998.988,845.295
"murC",1169.24,1369.19,829.413,756.47
"ddlB",1921.54,1973.06,1273.41,1178.84
"ftsQ",2189.1,2213.14,1250.76,1217.47
"ftsA",2578.07,2097.79,1100.23,1141.07
"ftsZ",3750.23,2401.28,1131.61,1099.8
"lpxC",5843.71,3195.79,2480.15,2731.68
"secM",2849.62,1800.4,1294.97,1350.23
"secA",2816.19,1381.42,966.535,886.559
"mutT",291.268,1208.48,849.439,757.553
"yacG",1278.78,1843.75,1166.66,1159.91
"zapD",1410.47,1411.13,995.041,981.12
"coaE",1397.25,1660.14,1128.21,1143.96
"guaC",4092.78,1280.47,881.665,843.795
"hofC",159.159,1150.18,904.212,773.137
"hofB",105.289,1057.85,694.765,740.51
"ppdD",64.0813,1360.13,906.855,791.382
"nadC",759.582,1210.53,971.59,981.606
