"","0","0 | 1","0 | 2","0 | 3","600","600 | 1","600 | 2","600 | 3","0 | 4","0 | 5","0 | 6","0 | 7","600 | 4","600 | 5","600 | 6","600 | 7"
"groL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ftsL",0,0,0,0,0,25.7,0,0,0,0,999.6,473.3,0,0,0,0
"sfsA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ybcY",0,0,3628.6,3792.6,912.9,3254.4,444.9,572.4,0,0,2863,3548.1,0,0,441.9,306.8
"aat",0,0,0,0,677.8,168,0,0,1347.6,801.5,1465.6,1278.8,0,0,603.8,634.4
"ymjA",0,0,0,0,727.8,279.8,0,0,0,0,1438.1,2476.3,0,0,0,0
"aroH",0,0,0,0,0,0,0,0,0,0,933.9,1092.6,0,0,419.3,249.3
"yehL",0,0,0,0,0,0,0,0,0,0,544.1,363.7,0,0,0,0
"amiA",0,0,0,0,0,0,0,0,543.5,361.5,1477.6,2977,0,0,467.4,417.2
"yffR",0,0,4104.8,5839.2,974.5,305.1,0,33.2,0,0,1895.4,3726.3,0,0,787.4,643.9
"ygeW",0,0,3998.2,6337.4,845.5,315,0,41.4,0,0,2070,4226.2,0,0,954,894.6
"rsmB",3446.7,1584.4,8363.2,12389.7,859.9,791.9,590,674.9,576.4,501,1816.6,3180.7,0,0,1158.1,1102
"yibI",0,0,0,0,0,35.4,0,0,0,0,1942.6,3707.2,0,0,519.6,480.6
"malE",0,0,2831.9,3858.5,798.9,242.5,0,0,0,0,1276.7,3165.4,181.7,3103.1,482.1,438.8
"gapA",5170.9,2970.2,4616.6,3621.2,566.4,1571.4,309.1,1503.2,0,0,1006.3,4714.3,221.6,2459,454.3,414.7
"groL.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ftsL.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rsmA",0,0,0,0,0,104,0,0,0,0,1073.4,540.5,0,0,0,0
"ybaM",0,0,0,0,865,190.6,0,0,0,0,1367.9,803,0,0,0,0
"clsB",634.2,636.7,0,0,757.3,426.9,0,37.5,526.5,786.3,1562.3,3262.6,0,4054.4,508.3,770.6
"dhaM",0,0,1166.4,1628.6,0,111.9,0,0,0,0,1181.7,593.8,0,0,513.5,308.3
"ydgC",0,0,1492,2161.7,906,1066.8,0,41.4,355.4,444.7,1416.8,3178,0,0,534,345
"hisA",2121.8,700.5,0,0,865.2,544.9,705.3,496.8,2972.5,982.1,3435.5,2274.6,0,0,1931.7,2057.2
"yfcP",0,0,1641.4,3575.4,0,0,0,0,0,0,1254.4,2263.6,0,0,603.6,385.1
"yfdC",0,0,2027.1,3179.5,793.9,250,0,32.9,0,0,1472.4,4070.8,265.5,952.4,680.6,602.4
"ygcS",0,0,0,0,0,31.5,0,0,0,0,1293.6,3171.6,0,0,599.8,482.9
"ispB",3030.8,1341.7,2941.3,3459.1,1039.5,1217.3,576.2,503.5,920.5,810.1,3048.4,6829.4,576,1698.4,1208.2,1537.4
"arsB",2712.8,656.3,5318.9,3502.5,1113.6,948.2,510.2,309.7,0,0,2023.3,3468.1,0,0,670.2,641.2
"glpF",1217.5,2847,2273.1,6052.7,689.5,866.6,489.1,279,0,0,0,0,0,0,381.8,3276.8
"hsdR",1141.5,708.3,2951.1,2705.2,786.6,185.8,0,0,0,0,1083.5,2713,0,0,0,82.1
"gapA.1",631.7,398.4,1370.5,1739.5,494,566,0,0,0,0,969.6,5381.8,0,0,0,0
"murI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dnaK",0,0,0,0,1363.3,326.1,0,0,0,0,3084.2,401.3,0,0,0,0
