"","1770","1770 | 1","1770 | 2","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","270","270 | 1","270 | 2","570","570 | 1","570 | 2","870","870 | 1","870 | 2","1170","1170 | 1","1170 | 2","1470","1470 | 1","1470 | 2","1770 | 3","1770 | 4","1770 | 5","2070","2070 | 1","2070 | 2","2370","2370 | 1","2370 | 2","2670","2670 | 1","2670 | 2","2970","2970 | 1","2970 | 2","3270","3270 | 1","3270 | 2","3570 | 3","3570 | 4","3570 | 5"
"thrL",11.49585865,12.45370713,12.08169692,12.73596549,12.45111017,12.42075472,10.28002319,11.76511222,11.1503039,12.26486976,12.60655394,12.71587949,12.68928081,12.17808907,12.24683826,11.31286936,11.71783729,11.85225154,11.46813324,13.13277727,12.70923256,11.53767816,11.40695045,11.96171111,11.98843788,10.1543352,11.28732414,12.14257833,11.75220283,12.84628346,11.76615161,11.55941332,11.83337612,11.0723855,11.18669595,11.42452728,11.49715624,11.8898385,11.83076845,11.74112704,11.88673022,11.10575917,12.09859975,12.1541862,12.38704227
"thrA",10.91206409,12.06358062,11.55966931,11.98024526,11.32906443,11.30215192,10.24896003,10.18529245,10.35297188,10.3172984,11.03156539,11.33005332,9.909703421,10.01761074,10.09465909,9.890959833,9.985293401,10.19161362,9.784305195,9.962951076,9.655593754,9.847593798,8.759456444,9.595398009,10.4529515,9.6432258,10.21059057,10.00004503,10.20597092,10.97504663,10.1965322,9.54879938,9.246537109,9.77659919,10.07448065,10.24607115,9.663319785,10.17384311,10.05073698,9.513477413,9.968663323,9.971462318,10.88394358,11.32445201,11.2926214
"thrB",11.22184009,11.95428317,11.81330928,11.76492985,11.46222824,11.48383314,11.38849752,10.65046097,11.0384955,10.87372734,11.62697863,11.33314695,10.33307252,10.97976877,10.40877359,10.28000859,9.741629633,10.57722641,9.994912244,10.28603427,9.283987265,10.76115948,9.122388273,10.07131179,10.6558722,10.51126146,10.56387357,10.26913171,10.29036928,11.06341847,10.36469612,9.991960104,10.42873907,10.24448481,10.4467167,10.23487332,9.916089555,10.60818815,9.865839858,10.07757244,10.09938916,9.540667397,10.91696977,11.06719038,11.07855034
"thrC",11.3940876,11.95054886,11.97429411,11.53730669,11.79767614,11.4669339,11.32271975,11.11293379,11.00161003,11.17997651,11.56233152,11.40493821,10.21904336,11.30750174,10.4147623,10.28022039,10.35257608,10.55119775,10.20675113,9.934796755,9.622066955,10.86381872,9.757654026,10.73309825,10.46814022,10.75880937,10.66708693,10.23211861,10.31994476,11.42623139,10.37150651,10.59473845,10.5265625,10.25851678,10.39308574,10.52822904,10.2329026,10.620145,10.74134689,10.71213547,10.31648941,10.45553929,10.9941167,10.38627206,10.56161595
"yaaX",8.989041116,9.215104511,9.133793162,9.140733407,9.439587903,8.968283429,9.308915061,9.42136979,8.668141408,9.54124551,9.370362615,9.278466066,8.916829904,10.14693615,8.776225153,9.111767822,9.082684435,9.494713464,9.140183294,8.510443378,9.7236953,9.261559677,9.683427481,9.0722518,9.861407958,9.156405824,9.568898073,9.264268413,9.599483832,9.349747131,9.763916769,9.473348748,8.939530434,8.855283072,9.020634832,9.343006487,9.236617513,9.100913858,9.524798466,9.287986282,8.857179026,8.842845401,9.037512033,9.339455006,8.552246276
"yaaA",10.33216018,10.86078641,9.706836985,10.76218919,10.60505472,10.02917274,9.656805711,10.25745627,10.10698426,10.03172387,10.33503525,10.50074687,10.10666186,9.788650968,10.72627615,10.4551103,10.49110681,9.592804785,10.76276646,10.86211501,10.49177186,9.42412035,9.457588665,9.928688447,10.51098145,9.865144931,10.30720641,9.58232776,8.762259652,9.785835222,9.690473244,9.30733771,9.817497857,10.6147557,10.55859854,10.46552109,9.673557699,9.901463478,9.763733004,9.22688158,10.1196573,10.25513935,10.45667364,10.66846998,10.69461581
"yaaJ",10.03478247,10.5946066,10.03044627,9.857446287,9.998561583,9.727013501,8.983887865,9.938921372,9.650403092,9.739768032,10.18603394,10.24340534,9.327262678,9.605483683,9.470525043,9.71752233,10.02126968,9.805832424,9.56868201,9.74336493,10.89337604,9.099618318,9.451084519,9.105166379,9.754455967,8.817826995,9.497690044,9.475206637,9.972780185,11.09255328,9.260665167,9.123409444,9.653759328,9.282290989,9.461429951,9.531876827,8.815494932,9.716359388,9.608230358,9.43772473,9.084959265,8.749995085,9.676099376,9.477878054,9.457735162
"talB",10.07966842,10.7576516,10.63658412,10.24446862,10.166617,9.803143907,11.94997667,11.88474194,12.08081105,11.08000458,11.06941828,11.45373016,11.66714298,11.57490303,11.59384647,11.88349353,11.92354906,10.40303727,11.50999483,11.66331073,11.76142996,12.08096296,10.00808015,11.69300977,10.76099695,11.80593824,10.24837711,11.68703703,11.54608074,12.01124156,11.86000567,10.99499966,12.06982555,11.5670314,11.62495068,10.2551297,11.2624135,11.36738194,10.8893559,11.08102718,11.31294796,10.85949634,10.0496391,10.49336232,10.46072173
"mog",10.44454203,11.01866176,11.05779921,10.3442082,10.47574269,10.16976217,11.95405796,11.38052363,11.43343917,10.50749369,10.65637166,10.90067162,10.86610182,10.64221961,10.82099937,10.56496319,10.17403277,10.55661412,10.90685036,11.02695491,10.30024225,11.47952586,9.882972834,11.11977268,10.75428371,11.07671343,10.74501081,11.07665031,11.08348571,11.51801175,11.39692876,10.79456332,11.09009322,11.00296216,11.37335134,10.40509064,11.19588193,11.35335701,11.06170285,11.20760072,11.3413769,10.53133631,10.53908841,10.6304517,10.44747254
"satP",9.985940819,9.980292627,9.759804529,9.349756676,9.854341908,9.716286436,9.753259612,9.818864049,9.321054279,9.336189857,9.402035075,9.281094882,8.981026226,10.30743918,9.275988951,9.303564252,9.603644789,9.322232329,9.39062888,9.078603686,9.492346778,10.26157416,10.27604326,10.18580363,9.304484801,10.10763376,9.401494825,9.449106615,10.06047565,10.91845102,9.426041036,9.756523524,9.710455959,9.843265723,9.631840641,9.454867068,9.462874394,9.995211083,9.860867532,10.11929482,9.172202752,9.510133742,9.653143345,9.242365755,8.826563066
