"","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","570","570 | 1","570 | 2","1770","1770 | 1","1770 | 2","3570 | 3","3570 | 4","3570 | 5","7170","7170 | 1","7170 | 2"
"thrA",8.683040063,8.736804043,8.534896612,8.682111553,8.711287603,8.231109404,9.487067447,9.21716625,8.950585973,8.848159834,8.29737279,8.185253251,8.704999692,8.904222657,8.993503058,9.319986146,9.436318121,7.812184205
"thrB",9.226450226,9.632990081,8.972123997,9.016437325,9.801530168,9.29796203,10.03473292,9.921406492,9.91788706,9.334783602,9.13811977,8.530016371,9.985053843,9.989312243,10.05989334,10.24145054,10.17243014,8.582370642
"thrC",9.645405619,9.524922323,9.10880079,9.650493853,10.1782461,9.511644327,9.988814332,10.20877768,10.02454528,8.951141459,9.62182288,8.446526324,10.55170941,9.656747848,9.777655883,10.4503342,10.14970178,9.997794388
"yaaA",8.829221813,9.232432339,9.252283441,9.294623788,8.735805504,8.63903817,8.936719786,8.095221692,8.111279092,8.528834152,8.465648152,9.672086271,9.450840779,8.61332934,9.316717207,9.191431316,8.859071237,8.099486087
"talB",10.28845047,8.677925886,8.950555692,9.360116492,10.82801089,10.30304176,10.50083086,10.45751201,10.72841321,10.30832779,10.09133049,10.86558127,10.19889011,9.274411092,9.327944007,10.32299559,9.142382345,8.636897072
"mog",10.02900507,8.956041446,8.609056017,10.40038664,10.55254606,10.19376135,10.26739821,10.02680607,10.49901628,10.21959308,10.3321413,9.447360141,10.27786771,9.942698606,9.605079156,10.30642704,9.15832396,9.070564115
"satP",9.61171263,8.501760303,8.050029809,9.306768654,9.89328614,8.96228415,8.94328678,8.835200626,8.890416221,8.639142493,9.194976913,8.249274019,9.749727434,9.344730594,9.113398807,9.28814141,8.928120776,8.81482555
"mbiA",7.742971763,8.066263581,9.051127713,7.407903873,6.994611298,7.575946937,6.94164003,6.995911994,7.699951416,7.79851806,7.803567677,8.650202661,7.996312235,7.314500239,7.949526196,7.591402576,7.468162464,8.770826386
"yaaW",7.880539849,7.286764001,7.076128679,8.326047555,7.371891624,7.92130607,7.998593579,8.33355809,8.518562092,8.074166799,8.709394137,8.079861,8.424728086,8.059072249,7.386895995,8.20036374,7.900903232,7.610112369
"yaaI",7.906366744,8.215492162,8.758111342,7.897363205,7.727949333,7.909133038,8.009403742,7.833180264,7.932028592,8.457841907,8.153624104,8.815217408,8.267680697,8.160899713,8.08214869,8.466237048,7.962145383,8.823101096
"dnaK",13.73385213,14.81508323,14.85384615,13.22853363,13.61252626,13.57298655,14.20174133,14.242053,13.42695251,13.33929605,13.08581494,12.34199465,14.27026021,14.55495677,14.78665261,14.00724657,15.02293774,15.40057765
"dnaJ",11.53416396,11.73271991,11.52422706,11.79776382,11.8570566,11.17941205,12.14041024,12.25752494,11.39470703,11.26597042,11.07672588,10.14613786,12.19272132,11.68870221,12.06097639,12.37654065,11.87182733,12.21905419
"mokC",11.66693554,10.92871136,11.51321791,12.2918556,12.1486403,12.48151122,11.42916983,11.21049029,11.73443986,12.16558117,11.74081067,14.00673932,11.59942823,10.52415332,10.31338276,11.27915613,9.0578968,9.691250302
"nhaA",10.32183611,10.8046508,11.33616842,10.15442658,9.688048451,9.843340203,9.20068249,9.590155791,10.33551758,9.468915486,9.406188393,11.19018013,8.28823173,10.31295071,10.37595422,9.735085142,10.63043108,11.04226108
"nhaR",9.520987572,9.397076269,10.08449649,9.492465181,9.96170737,9.520535683,9.634119177,10.05067842,9.293216237,9.768269671,10.05188507,9.849878363,9.171676267,9.530486169,9.60679916,9.960764504,10.03046089,10.83010337
"rpsT",14.28020488,12.95269921,12.31723991,14.23558201,13.8001159,13.78996992,13.14586258,13.58946558,13.35649432,14.03016603,14.87682715,13.82317493,13.7725707,13.90053438,13.93602421,14.75809656,14.21361279,14.24413102
"yaaY",8.27076724,9.948308691,9.292484411,8.554228653,8.372011129,9.245894572,8.513307179,7.539837924,8.364801987,8.162517071,9.067736822,8.632349233,10.15409802,8.688584397,8.96539883,7.984391842,9.20117334,8.41487331
"ribF",12.07850822,11.32380748,11.00973069,12.2698904,11.69661595,12.39407172,11.71909309,11.07365475,12.89184232,12.42418395,12.46539514,13.4516429,11.89916702,11.33453509,11.51571413,6.916842537,11.30472439,10.90217795
"ileS",12.96805901,12.9463434,12.6355406,12.89076173,13.35257037,12.88382379,12.75234665,12.76083945,13.43715664,13.22625576,13.26201469,13.13250419,13.05401855,12.58197993,13.56681102,13.24529351,13.2890928,12.53166143
"lspA",11.44938884,11.07377113,10.17385686,11.31859376,11.99393152,11.19748764,11.72947694,11.54640034,11.68673288,11.60603259,11.55754412,11.04427617,12.16807378,11.92533468,11.71452389,11.94302873,11.73180655,10.56463745
"fkpB",11.16353658,10.09440765,9.289494027,11.07999779,11.05040843,10.46806384,10.95973772,10.97925652,11.37106321,10.59411377,11.06658715,10.51961435,11.36530616,10.4029504,10.69938261,11.08777046,10.69982742,10.54669311
"ispH",10.38825862,8.878760158,7.474776975,10.41479768,8.723078141,9.250066944,10.01891884,9.986182279,10.4657982,9.852421424,10.0615143,10.06849213,9.490145262,8.795704573,8.689451481,10.00075473,9.040856105,8.568636266
"rihC",11.64937384,11.98277589,11.90972952,11.70492679,10.82718511,11.60896758,10.09482081,9.186636625,9.886076685,9.984234424,9.895679268,11.16335102,10.70104078,10.61367699,10.56242067,10.01456735,10.33302701,10.22004264
"dapB",10.43950677,9.35806038,9.42142562,9.732071376,9.839418051,10.47155252,10.59468814,10.01889973,10.61170464,10.78792885,10.53505047,11.79287149,10.99872488,10.08778163,10.01287966,7.101354816,9.713744407,9.632403568
