"","1770","1770 | 1","1770 | 2","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","270","270 | 1","270 | 2","570","570 | 1","570 | 2","870","870 | 1","870 | 2","1170","1170 | 1","1170 | 2","1470","1470 | 1","1470 | 2","1770 | 3","1770 | 4","1770 | 5","2070","2070 | 1","2070 | 2","2370","2370 | 1","2370 | 2","2670","2670 | 1","2670 | 2","2970","2970 | 1","2970 | 2","3270","3270 | 1","3270 | 2","3570 | 3","3570 | 4","3570 | 5","3570 | 6","3570 | 7","3570 | 8","0 | 3","0 | 4","0 | 5","570 | 3","570 | 4","570 | 5","1770 | 6","1770 | 7","1770 | 8","3570 | 9","3570 | 10","3570 | 11","7170","7170 | 1","7170 | 2","3570 | 12","3570 | 13","3570 | 14","0 | 6","0 | 7","0 | 8","570 | 6","570 | 7","570 | 8","1770 | 9","1770 | 10","1770 | 11","3570 | 15","3570 | 16","3570 | 17","7170 | 3","7170 | 4","7170 | 5"
"thrL",11.49585865,12.45370713,12.08169692,12.73596549,12.45111017,12.42075472,10.28002319,11.76511222,11.1503039,12.26486976,12.60655394,12.71587949,12.68928081,12.17808907,12.24683826,11.31286936,11.71783729,11.85225154,11.46813324,13.13277727,12.70923256,11.53767816,11.40695045,11.96171111,11.98843788,10.1543352,11.28732414,12.14257833,11.75220283,12.84628346,11.76615161,11.55941332,11.83337612,11.0723855,11.18669595,11.42452728,11.49715624,11.8898385,11.83076845,11.74112704,11.88673022,11.10575917,12.09859975,12.1541862,12.38704227,13.07796529,12.43378602,12.67253996,11.95923431,10.8872608,12.68437004,13.23046813,13.10640973,14.354326,13.0721117,13.01033451,11.78771421,12.71643378,12.03124155,12.47203544,13.93581583,13.18207607,13.09021745,10.4820881,13.09791286,12.49684734,10.77815592,13.24583743,12.948425,11.72187248,13.13617578,12.98863398,10.81066066,12.16819406,11.68808833,11.85661774,12.67517686,13.12631361,12.21254924,13.36996909,12.26779088
"thrA",10.91206409,12.06358062,11.55966931,11.98024526,11.32906443,11.30215192,10.24896003,10.18529245,10.35297188,10.3172984,11.03156539,11.33005332,9.909703421,10.01761074,10.09465909,9.890959833,9.985293401,10.19161362,9.784305195,9.962951076,9.655593754,9.847593798,8.759456444,9.595398009,10.4529515,9.6432258,10.21059057,10.00004503,10.20597092,10.97504663,10.1965322,9.54879938,9.246537109,9.77659919,10.07448065,10.24607115,9.663319785,10.17384311,10.05073698,9.513477413,9.968663323,9.971462318,10.88394358,11.32445201,11.2926214,11.17304229,10.81184245,10.61945973,10.31095378,9.864428543,10.94166247,9.890495266,9.550825654,10.70109679,9.920307335,10.27183535,9.894933165,10.76075465,10.2726245,10.70962926,12.54887003,12.24430263,12.04691282,8.683040063,8.736804043,8.534896612,8.682111553,8.711287603,8.231109404,9.487067447,9.21716625,8.950585973,8.848159834,8.29737279,8.185253251,8.704999692,8.904222657,8.993503058,9.319986146,9.436318121,7.812184205
"thrB",11.22184009,11.95428317,11.81330928,11.76492985,11.46222824,11.48383314,11.38849752,10.65046097,11.0384955,10.87372734,11.62697863,11.33314695,10.33307252,10.97976877,10.40877359,10.28000859,9.741629633,10.57722641,9.994912244,10.28603427,9.283987265,10.76115948,9.122388273,10.07131179,10.6558722,10.51126146,10.56387357,10.26913171,10.29036928,11.06341847,10.36469612,9.991960104,10.42873907,10.24448481,10.4467167,10.23487332,9.916089555,10.60818815,9.865839858,10.07757244,10.09938916,9.540667397,10.91696977,11.06719038,11.07855034,10.87103267,10.74426602,10.53889945,10.82490014,11.07360908,10.62383896,9.976431531,10.09759104,11.00389978,10.08971142,10.22612059,9.783788719,9.92739567,10.0215064,10.37525331,11.47914321,11.48581014,11.27777263,9.226450226,9.632990081,8.972123997,9.016437325,9.801530168,9.29796203,10.03473292,9.921406492,9.91788706,9.334783602,9.13811977,8.530016371,9.985053843,9.989312243,10.05989334,10.24145054,10.17243014,8.582370642
"thrC",11.3940876,11.95054886,11.97429411,11.53730669,11.79767614,11.4669339,11.32271975,11.11293379,11.00161003,11.17997651,11.56233152,11.40493821,10.21904336,11.30750174,10.4147623,10.28022039,10.35257608,10.55119775,10.20675113,9.934796755,9.622066955,10.86381872,9.757654026,10.73309825,10.46814022,10.75880937,10.66708693,10.23211861,10.31994476,11.42623139,10.37150651,10.59473845,10.5265625,10.25851678,10.39308574,10.52822904,10.2329026,10.620145,10.74134689,10.71213547,10.31648941,10.45553929,10.9941167,10.38627206,10.56161595,11.18016195,11.40108198,11.09677244,11.58726649,11.54999826,10.79492974,11.03150493,10.87878795,11.03289583,10.50883621,11.0039496,10.12073299,10.67105085,10.53305624,10.50526991,12.32949398,12.28007759,11.71729249,9.645405619,9.524922323,9.10880079,9.650493853,10.1782461,9.511644327,9.988814332,10.20877768,10.02454528,8.951141459,9.62182288,8.446526324,10.55170941,9.656747848,9.777655883,10.4503342,10.14970178,9.997794388
"yaaX",8.989041116,9.215104511,9.133793162,9.140733407,9.439587903,8.968283429,9.308915061,9.42136979,8.668141408,9.54124551,9.370362615,9.278466066,8.916829904,10.14693615,8.776225153,9.111767822,9.082684435,9.494713464,9.140183294,8.510443378,9.7236953,9.261559677,9.683427481,9.0722518,9.861407958,9.156405824,9.568898073,9.264268413,9.599483832,9.349747131,9.763916769,9.473348748,8.939530434,8.855283072,9.020634832,9.343006487,9.236617513,9.100913858,9.524798466,9.287986282,8.857179026,8.842845401,9.037512033,9.339455006,8.552246276,10.05546397,9.341356464,9.342078037,10.15242901,10.53530928,8.827695183,10.32195381,9.578881024,9.173866517,9.93102427,9.843254576,9.244978048,9.147012761,9.641178699,9.149237641,10.19223319,10.00019518,9.480384443,8.829221813,9.232432339,9.252283441,9.294623788,8.735805504,8.63903817,8.936719786,8.095221692,8.111279092,8.528834152,8.465648152,9.672086271,9.450840779,8.61332934,9.316717207,9.191431316,8.859071237,8.099486087
"yaaA",10.33216018,10.86078641,9.706836985,10.76218919,10.60505472,10.02917274,9.656805711,10.25745627,10.10698426,10.03172387,10.33503525,10.50074687,10.10666186,9.788650968,10.72627615,10.4551103,10.49110681,9.592804785,10.76276646,10.86211501,10.49177186,9.42412035,9.457588665,9.928688447,10.51098145,9.865144931,10.30720641,9.58232776,8.762259652,9.785835222,9.690473244,9.30733771,9.817497857,10.6147557,10.55859854,10.46552109,9.673557699,9.901463478,9.763733004,9.22688158,10.1196573,10.25513935,10.45667364,10.66846998,10.69461581,11.0303293,10.16625138,9.452666413,9.339628346,9.08809872,10.75233684,10.0036054,9.897245778,10.83394213,9.696919233,9.903323212,10.06739489,10.6904281,9.944894403,10.30729588,10.3030501,10.08228547,10.3462801,10.28845047,8.677925886,8.950555692,9.360116492,10.82801089,10.30304176,10.50083086,10.45751201,10.72841321,10.30832779,10.09133049,10.86558127,10.19889011,9.274411092,9.327944007,10.32299559,9.142382345,8.636897072
"yaaJ",10.03478247,10.5946066,10.03044627,9.857446287,9.998561583,9.727013501,8.983887865,9.938921372,9.650403092,9.739768032,10.18603394,10.24340534,9.327262678,9.605483683,9.470525043,9.71752233,10.02126968,9.805832424,9.56868201,9.74336493,10.89337604,9.099618318,9.451084519,9.105166379,9.754455967,8.817826995,9.497690044,9.475206637,9.972780185,11.09255328,9.260665167,9.123409444,9.653759328,9.282290989,9.461429951,9.531876827,8.815494932,9.716359388,9.608230358,9.43772473,9.084959265,8.749995085,9.676099376,9.477878054,9.457735162,10.39563534,9.337884425,9.371911756,9.713440529,8.394146019,9.525973984,9.958793522,8.770153242,9.478358108,9.531466674,9.848649624,9.353658724,10.15786868,9.317773167,9.63733319,9.666004765,9.384575493,9.724672437,10.02900507,8.956041446,8.609056017,10.40038664,10.55254606,10.19376135,10.26739821,10.02680607,10.49901628,10.21959308,10.3321413,9.447360141,10.27786771,9.942698606,9.605079156,10.30642704,9.15832396,9.070564115
"talB",10.07966842,10.7576516,10.63658412,10.24446862,10.166617,9.803143907,11.94997667,11.88474194,12.08081105,11.08000458,11.06941828,11.45373016,11.66714298,11.57490303,11.59384647,11.88349353,11.92354906,10.40303727,11.50999483,11.66331073,11.76142996,12.08096296,10.00808015,11.69300977,10.76099695,11.80593824,10.24837711,11.68703703,11.54608074,12.01124156,11.86000567,10.99499966,12.06982555,11.5670314,11.62495068,10.2551297,11.2624135,11.36738194,10.8893559,11.08102718,11.31294796,10.85949634,10.0496391,10.49336232,10.46072173,10.6779496,11.4784519,11.61925261,11.80478684,11.99522488,10.68792342,11.43630094,11.31687994,11.5149057,11.32357353,10.31040603,11.44651345,10.93303624,10.99638768,10.94229953,10.87109674,10.86106959,10.79397966,9.61171263,8.501760303,8.050029809,9.306768654,9.89328614,8.96228415,8.94328678,8.835200626,8.890416221,8.639142493,9.194976913,8.249274019,9.749727434,9.344730594,9.113398807,9.28814141,8.928120776,8.81482555
"mog",10.44454203,11.01866176,11.05779921,10.3442082,10.47574269,10.16976217,11.95405796,11.38052363,11.43343917,10.50749369,10.65637166,10.90067162,10.86610182,10.64221961,10.82099937,10.56496319,10.17403277,10.55661412,10.90685036,11.02695491,10.30024225,11.47952586,9.882972834,11.11977268,10.75428371,11.07671343,10.74501081,11.07665031,11.08348571,11.51801175,11.39692876,10.79456332,11.09009322,11.00296216,11.37335134,10.40509064,11.19588193,11.35335701,11.06170285,11.20760072,11.3413769,10.53133631,10.53908841,10.6304517,10.44747254,10.15081009,10.54695402,10.73553067,11.19227584,11.2407469,10.48844665,9.736358697,10.68152629,10.27074906,10.88676613,9.944763865,10.49568815,10.34017187,10.73161766,10.83061602,10.77620705,10.83349229,10.59238201,7.742971763,8.066263581,9.051127713,7.407903873,6.994611298,7.575946937,6.94164003,6.995911994,7.699951416,7.79851806,7.803567677,8.650202661,7.996312235,7.314500239,7.949526196,7.591402576,7.468162464,8.770826386
"satP",9.985940819,9.980292627,9.759804529,9.349756676,9.854341908,9.716286436,9.753259612,9.818864049,9.321054279,9.336189857,9.402035075,9.281094882,8.981026226,10.30743918,9.275988951,9.303564252,9.603644789,9.322232329,9.39062888,9.078603686,9.492346778,10.26157416,10.27604326,10.18580363,9.304484801,10.10763376,9.401494825,9.449106615,10.06047565,10.91845102,9.426041036,9.756523524,9.710455959,9.843265723,9.631840641,9.454867068,9.462874394,9.995211083,9.860867532,10.11929482,9.172202752,9.510133742,9.653143345,9.242365755,8.826563066,9.290703269,9.622163471,9.544637939,10.71437787,9.778104358,7.249934147,10.0631998,9.219587322,9.350094986,9.518254004,9.480740795,9.097861063,9.699042673,9.564771359,9.280724459,9.603059624,9.205194313,8.893129113,7.880539849,7.286764001,7.076128679,8.326047555,7.371891624,7.92130607,7.998593579,8.33355809,8.518562092,8.074166799,8.709394137,8.079861,8.424728086,8.059072249,7.386895995,8.20036374,7.900903232,7.610112369
