"","0","0 | 1","32400","32400 | 1","32400 | 2","32400 | 3"
"isrC",655.058,586.29,126.939,893.621,923.351,1158.21
"mcaS",834.861,903.469,1049.73,888.201,475.673,909.055
"prfB",3227.71,3766.16,234.733,43.0339,249.226,682.633
"thrL",837.619,556.728,737.845,56.4689,1703.32,1876.57
"thrA",2342.12,1212.72,711.291,653.229,183.775,260.874
"thrB",1548.81,575.252,789.387,389.097,1755.53,1309.29
"thrC",1561.78,805.274,2840.24,30.9596,955.374,1059.67
"yaaX",762.719,459.546,649.444,338.217,719.221,210.804
"yaaA",1090.65,710.679,452.422,27.9375,714.32,392.661
"yaaJ",895.658,528.773,285.981,22.3431,103.873,45.4187
"talB",4120.44,3232.9,426.383,164.31,1285.63,58.4319
"mog",1983.02,1348.4,154.301,487.592,1912.64,166.508
"satP",1026.53,537.842,661.714,900.604,122.017,142.893
"mbiA",988.029,472.987,901.867,851.67,95.7122,66.6464
"yaaW",1182.22,681.818,1048.18,1165.26,119.257,788.344
"yaaI",867.453,446.06,111.19,1132.45,120.013,345.003
"dnaK",2920.78,6444.06,652.963,1112.81,835.743,1120
"dnaJ",1715.4,4364.04,970.277,478.647,122.841,325.456
"insL1",2995.98,3626.6,1668.91,641.807,139.012,141.427
"hokC",811.02,465.107,969.012,411.085,326.207,493.173
"sokC",1543.99,883.489,334.108,528.446,48.3031,48.1918
"nhaA",1184.92,610.313,479.628,15.9847,117.056,66.9564
"nhaR",1354.11,823.207,665.861,1061.16,254.1,246.25
"insB1",1597.55,1670.47,470.837,16.7451,101.908,107.28
"insA1",3198.3,888.559,283.91,580.047,41.4738,66.7267
"rpsT",2151.33,2934.39,244.854,734.825,1330.89,355.294
"yaaY",275.498,237.085,1643.41,512.312,145.293,819.39
"ribF",2089.34,2377.7,170.587,673.258,208.924,1198.02
"ileS",1881.71,2235.2,54.0331,379.962,226.581,570.234
"lspA",2599.17,2925.04,185.939,678.334,1772.72,694.605
"fkpB",1521.96,1656.92,547.365,515.166,617.354,1420.96
"ispH",1270.18,1440.93,426.093,596.581,309.187,626.285
"rihC",1442.76,1203.57,505.732,335.112,774.595,578.921
"dapB",1025.9,816.263,69.2553,27.0656,217.396,1041.48
"carA",762.664,823.575,1362.47,50.6894,661.484,169.141
"carB",617.151,655.475,32.2554,119.158,707.924,149.367
"caiF",778.79,728.632,1273.67,19.3193,211.304,108.181
"caiE",824.014,806.414,576.024,257.081,775.069,682.216
"caiD",469.049,542.413,465.066,340.429,1000.13,739.508
"caiC",688.581,721.046,704.45,1072.47,456.249,1033.75
"caiB",409.143,446.291,143.708,347.548,669.654,797.597
"caiA",661.619,712.314,82.7929,744.781,284.641,1134.49
"caiT",763.916,806.725,101.25,497.239,314.101,148.098
"fixA",435.478,407.268,493.091,436.374,56.6788,282.702
"fixB",645.737,743.258,378.717,313.5,68.2309,707.685
"fixC",592.397,529.761,577.722,718.603,575.324,1337.46
"fixX",453.597,483.711,1642.16,35.2984,166.564,1957.6
"yaaU",433.714,440.063,901.155,1111.01,432.132,546.037
"kefF",528.398,485.697,932.433,521.727,86.671,490.095
"kefC",536.095,550.691,866.65,805.817,112.499,118.956
"folA",1046.32,1066.53,1776.72,365.808,280.232,143.64
"apaH",780.874,845.346,653.37,344.577,253.761,344.494
"apaG",1246.81,1232.34,160.516,699.999,1534,221.093
"rsmA",1490.78,1638.59,110.792,418.211,502.589,94.7751
"pdxA",1392.12,1455.47,1692.54,727.022,974.174,1051.77
"surA",2327.43,2727.46,81.5103,40.5564,80.3245,269.789
"lptD",1819.74,2041.66,1327.27,44.8849,140.68,48.621
"djlA",1053.37,1140.3,261.708,74.3706,1037.78,84.3564
"yabP",641.732,611.443,443.131,273.904,730.128,489.181
"yabQ",1008.71,1051.95,158.096,213.362,585.73,867.645
"rluA",797.591,1031.38,59.4663,355.891,704.036,491.664
"rapA",967.312,1336.27,1399.43,997.696,927.221,846.547
"polB",506.227,513.211,184.648,498.833,68.5784,720.184
"araD",411.97,424.59,214.605,1040.05,827.095,113.683
"araA",11.3216,0.812705,376.334,509.963,357.706,211.305
"araB",0.901893,3.71793,79.6519,828.214,1756.79,379.978
"araC",978.076,959.638,1279.66,396.74,145.071,174.492
"yabI",920.715,928.761,159.565,1245.04,123.254,289.117
"thiQ",552.876,521.819,436.244,648.645,311.978,105.963
"thiP",496.468,588.678,1306.03,428.093,962.938,276.899
"thiB",697.899,749.353,1970.35,816.92,1059.73,154.021
"sgrR",444.46,442.586,342.02,362.808,489.197,333.831
