"","7200","21600","10800","36000","0","3600","14400","10800 | 1","21600 | 1","36000 | 1","0 | 1","3600 | 1","14400 | 1","0 | 2","10800 | 2","36000 | 2","3600 | 2","21600 | 2","7200 | 1","14400 | 2"
"thrL",2.522499751,2.506069608,2.328776789,2.159848475,3.50182905,2.495544434,2.616426641,3.79847286,4.00860534,3.27692456,3.62897142,2.97170502,2.838300774,3.423656645,2.873545948,2.849239715,3.904340085,3.37922529,4.116796601,3.668574895
"thrA",7.646691334,4.333430169,8.490815201,5.713298528,10.3494081,8.768087223,5.799109494,4.148456348,2.282756861,2.615330942,3.770981748,2.414585064,2.220945859,5.435557747,3.351822757,2.481472785,3.452546321,2.287528105,5.484976942,2.795503819
"thrB",10.05148704,3.774839256,15.06395727,6.388408627,22.06772379,17.15796915,5.745146652,24.46644376,3.949013159,9.061130557,20.3531329,8.902868231,5.248063514,19.92528794,12.91501516,7.271352028,11.62316897,5.091639724,22.31606198,6.852885369
"thrC",6.985604502,2.586610311,9.90931692,3.905326737,11.39400891,9.541328333,3.331781925,12.03182257,2.235660535,4.987154959,8.676073874,5.356699363,3.067513879,7.636651628,5.677433938,3.436514176,5.143637862,2.706377945,9.513259899,3.03705725
"yaaX",2.821039807,1.658507649,3.453550517,2.161938136,3.376945765,4.789218846,2.724495929,3.779046771,1.933490088,2.369521224,3.775151192,2.434375333,1.888744931,2.770869059,1.832393992,1.702096093,2.350045619,1.754738411,2.900450368,1.998874512
"yaaA",1.904213721,1.165398176,6.183179873,1.271464019,17.92348496,5.158201034,1.363493507,8.302478498,1.298407273,1.458288121,10.34153889,1.76005629,1.277671859,5.839281663,2.016184124,1.229983928,1.653289622,1.25399366,5.001843736,1.299936782
"yaaJ",1.611352593,1.298463003,1.850438581,1.299142253,2.900706507,1.66613169,1.635751804,3.062674117,1.61784792,1.808942809,3.390753566,1.7848874,1.492282989,3.728641902,2.476170432,2.077436472,2.849509877,1.732374934,3.431447233,2.037657114
"talB",17.61688229,7.516496863,20.89993559,13.16781238,27.55795755,19.69358583,10.20782712,34.72354954,8.757759735,18.75159077,24.63843274,14.07900115,10.56346513,12.34060434,11.16154909,7.67560832,12.48841916,6.624927216,15.76082054,9.02372451
"mog",2.233898043,1.317760544,2.535845224,1.609256984,4.481977271,2.559794117,1.64460399,3.30492941,1.625731578,1.86227462,3.794835148,2.105894288,1.737981579,2.736051922,1.901075794,1.595482633,2.10410248,1.640283821,2.761815619,1.715921596
"satP",2.316040422,1.911208242,2.287718208,2.119487826,2.821555998,2.219958324,2.240476828,3.286172813,2.113721004,2.605898322,2.674213967,2.280729528,2.143406324,3.438126274,2.876194246,2.945449276,3.70757338,2.942380942,3.569255809,3.826090198
"yaaW",1.348633821,1.152232575,1.256898482,1.196913973,1.575981334,1.216956973,1.322360315,1.67971022,1.220114585,1.353287806,1.832479001,1.326391129,1.261024372,1.602940267,1.462749815,1.378013729,1.558568623,1.30160203,1.63350518,1.396776491
"yaaI",1.36082412,1.305975961,1.271061608,1.288348361,1.425440433,1.1903945,1.385452325,1.22293935,1.200160766,1.162246011,1.350181676,1.078141739,1.103810629,1.224947498,1.133964104,1.149799804,1.190968972,1.122519761,1.150103279,1.185362781
"dnaK",148.1975186,76.71876367,186.6272951,122.9863424,279.6689167,168.1005445,78.86508694,316.4682641,151.7866079,264.6743536,304.2795452,230.8730633,181.6373242,94.55284958,68.77507441,45.18343122,62.08202479,79.96591998,112.8836302,39.86192923
"dnaJ",38.85950596,8.428109152,55.70147337,16.97248891,61.36604287,50.33400214,11.99329165,72.08373172,12.49532306,37.13981783,65.97347582,46.55030123,19.76282738,14.5196154,10.75943754,6.529869831,9.168957239,5.633887924,17.41479636,5.398691035
"insL1",12.15451573,4.082008671,13.70697837,7.022280778,13.092324,11.88599973,5.73407491,17.48114001,4.734100943,12.23514384,13.77488202,12.29151248,6.365618697,6.483062883,4.926852407,3.82203264,4.65904009,3.271118996,6.528500711,3.625659433
"mokC",1.875032334,1.246906003,1.872323753,1.562170941,2.402025117,1.962202407,1.450289519,2.733046145,1.577002321,2.198439267,2.842934663,1.975091404,1.716709964,2.19938125,2.209136295,2.008983561,2.223634772,1.843073157,2.415797103,1.90904519
"nhaA",4.046071683,2.376426873,4.946466349,2.959534209,7.382976211,3.242558834,2.441652754,10.99594069,4.213117382,4.562173136,8.902088028,3.671286356,3.258151441,22.0439479,17.36675797,11.28535755,15.64917076,6.648104886,26.55305528,9.842480486
"nhaR",1.964882373,1.190717964,2.762443571,1.399663168,3.184085693,1.967768394,1.254880672,2.805040551,1.422249838,1.482387109,2.842838123,1.555759279,1.398870726,3.152488449,2.018911866,1.476409267,1.522864374,1.405274294,2.884553217,1.459512836
