"","0","0 | 1","120","120 | 1","300","300 | 1","600","600 | 1","1200","1200 | 1","1800","1800 | 1","2700","2700 | 1","3600","3600 | 1"
"ppdD",0,0,0,0,171,1209,4140,18214,1225,1641,1106,1318,517,2736,0,0
"yafE",1089,2068,1558,1557,100,1391,7568,11228,1242,1654,1205,1325,815,2206,1495,2186
"betB",844,2038,0,0,132,1311,16767,6632,932,1697,1256,1327,408,2175,1371,2282
"nhaR",902,1977,1458,1525,115,1434,16453,5452,1312,1696,1218,1384,931,2280,1679,2833
"coaE",5064,4137,8935,5330,130,1050,17697,6013,6583,5222,2103,1720,2486,3006,5775,4933
"gmhB",1926,2380,2441,1982,365,1141,16445,6303,3129,3512,1757,1544,1551,2594,2137,2876
"insL1",4515,3759,12131,6205,140,1350,2410,5413,5842,5013,1572,1978,6207,4803,6571,4968
"secM",12326,6945,14540,6782,108,1567,348,6269,14612,9080,7350,3995,6972,5794,12848,9828
"rcsF",5647,4274,7854,4075,157,1763,1330,4997,6431,5700,4878,2949,3841,4308,6023,6653
"ykgE",954,3199,971,1260,236,1528,9002,5779,1346,2172,1823,1900,1958,3260,1635,3601
"mbiA",0,0,404,1359,161,1445,16965,5630,625,1882,0,0,547,2679,0,0
"ftsQ",2225,2958,4366,3038,186,1442,21698,7220,3590,3647,2347,2046,5763,5413,6571,5406
"nlpE",1236,2452,1088,1224,391,1478,27567,9109,2379,3019,2818,2263,1255,2940,1719,2057
"talB",0,0,807,1159,154,1603,19851,4860,879,1982,0,0,1199,3734,1545,2167
"tilS",1407,2261,1635,1540,595,1284,4880,7490,4327,4436,1734,1443,924,2760,1685,1982
"eaeH",851,1838,0,0,338,1320,3265,9686,2012,2367,1328,1245,592,2190,0,0
"thrC",3402,2937,5668,3505,121,1475,5813,4255,3993,3969,1246,1329,2050,2872,2866,2972
"murF",1228,1949,1607,1520,159,1252,3940,3808,1631,2390,1231,1249,957,2289,1618,2105
"dnaE",4504,4052,9334,4661,249,1191,6998,4548,6914,5732,3054,1969,4390,4060,5728,4810
"ecpA",1166,2269,2679,2049,257,1345,4229,4051,3828,3790,2195,1802,2507,3310,3033,3435
"ribD",2566,2525,4409,2733,141,1249,6153,4656,4868,4851,1607,1624,2449,3442,3729,3745
"citT",1518,1941,1155,1305,207,1611,6276,8158,1539,2027,1322,1736,1160,2734,2204,2779
"ybgD",688,1859,497,1070,138,2432,6688,9228,548,1359,1132,1489,478,2567,1334,3149
"yajD",860,2075,825,1210,144,1854,10345,7630,704,1825,1617,1612,1578,3297,1511,2533
"hyi",724,2247,461,1161,240,1458,10433,4171,796,1735,1561,1567,727,2892,930,2549
"ybdR",1181,2301,1386,1748,171,1556,3610,4504,1755,2049,2920,2026,1735,2982,1940,2825
"abrB",0,0,472,1231,132,1759,3458,3977,662,1430,1829,1647,671,2662,1067,1923
"tgt",4149,3675,12415,7211,128,1636,7799,5082,10162,7891,6042,3230,13464,10949,12272,11185
"allS",0,0,557,1014,157,1408,3376,3699,708,1417,1709,1507,761,3328,910,2057
"dsbG",1506,2247,1665,1642,134,1581,3704,3595,2049,2490,3181,2193,1771,3528,1893,2175
"pxpB",3622,3204,5028,3381,175,1411,5155,4028,2874,3476,5788,3449,2604,3547,3545,4047
"proY",1291,2051,1503,1496,485,1735,2597,10208,2031,2768,1724,1542,903,3008,1498,1958
"ybdL",761,1908,1090,1543,262,2063,2257,2920,671,1385,1078,1389,605,2199,1254,1993
"ybgA",2257,2592,4043,2520,404,1954,6342,3719,4401,4372,2256,1985,1426,2657,2615,2169
"sbcD",788,1827,1612,1504,360,1926,3581,3140,2528,2652,1439,1345,881,2394,1732,2060
"ybbP",470,1561,880,1260,303,1905,3474,3653,1099,1724,1358,1277,540,2440,1311,2111
"entA",988,1889,985,1133,340,1916,3978,3815,1145,1564,1676,1496,675,2506,1197,2183
"mak",1655,2182,1853,1630,394,2201,2470,4171,1275,1856,1269,1736,2679,3212,3488,3601
"cnoX",2442,2500,1811,1771,287,1753,2759,4569,1282,2290,1091,2325,1047,3074,1816,2335
"fepB",646,1809,400,1135,379,2585,65000,48057,666,1679,1188,1498,877,2751,729,1972
"kdpB",639,1912,460,1108,280,1915,1392,3643,673,1494,1211,1409,631,2822,665,1915
"ybiW",702,2075,477,1228,408,2582,2359,3011,554,1327,1200,1635,528,2464,585,2033
"elyC",892,1925,593,1329,467,1997,2111,2941,2509,2985,2050,1891,1141,2870,1194,1897
"efeB",661,1944,566,1165,322,2062,1949,2994,831,1656,1450,1507,1081,3104,766,1731
"cobB",2565,2438,3096,2343,966,2014,4624,3323,3588,3828,4308,2709,1379,3751,2578,2820
"ldtB",816,1817,928,1320,0,0,0,0,851,1543,1928,1832,1090,3015,970,1739
"ycaQ",697,2267,759,1243,412,1979,1619,3221,780,1840,1579,1768,736,2431,762,1597
