"","0","0 | 1","0 | 2","10800","10800 | 1","10800 | 2","0 | 3","0 | 4","0 | 5","10800 | 3","10800 | 4","10800 | 5","0 | 6","0 | 7","0 | 8","10800 | 6","10800 | 7","10800 | 8","0 | 9","0 | 10","0 | 11","10800 | 9","10800 | 10","10800 | 11"
"thrL",657,567.6,619.4,410.1,433.1,341.6,237.1,199.5,198.7,254.1,154,147,86.6,92.5,97.9,443.4,486.6,379,238.4,236.1,181.5,123.8,178.7,149.9
"thrA",287.2,247.2,250.5,172.7,172.8,212,220.5,143.6,152.6,158.2,150.8,146.4,128.2,125.9,118,192.8,180.7,185.6,126.4,131.1,129.8,122,129.2,128.9
"thrB",284.5,243.1,195.2,137.3,143.3,165,172.2,109.2,103.6,114.1,98.1,75.3,97.2,102.8,99.9,153.2,157.3,162.2,94.6,89.2,87,99.7,103.4,96.1
"thrC",244.3,157.6,168.7,202.4,237.8,253.2,300.3,195.9,190,198.3,161.3,189.4,149.5,176.8,167.3,142.2,132.8,155.3,149.6,190.3,153.8,146.9,176.4,161.4
"yaaX",13.2,39.7,8.7,116.8,124.2,124.4,177.1,118.8,115.6,133.4,127.6,137.7,73.9,81.2,70.6,53.1,67.7,49,101.4,97.8,80.3,69.6,69.8,74.8
"yaaA",40,33.1,40.5,116.9,133,137.8,243.2,108.8,105.8,99.2,65.1,136.9,75.6,104.6,92.7,68.9,52,76.9,79.6,90.3,82.8,84.2,109.5,93.5
"yaaJ",89.9,96.6,78.8,178.5,221.9,208.8,310.1,188.9,180.1,213.9,116.3,314.1,142.2,141.7,134.5,140.6,119.6,130.4,150.3,162.6,142.3,132.4,143.6,145.5
"talB",770.4,825.5,733.7,322.5,404.7,399.2,456.4,299.6,270.3,238.8,130.9,221.8,344.6,399.2,370.4,466.8,451.9,362.2,297.6,346.2,316.6,307.6,367.9,350
"mog",194.6,182.8,130.9,178.7,190.6,204.5,232.4,153.3,153.6,170.5,113.8,172.2,129.7,133.2,129.1,130.7,125.9,152.1,149.5,152.7,150.5,133.8,141.5,135
"satP",107.4,88.9,70.5,181.6,243.3,260.6,305.4,207.3,178.9,228,110.5,209.8,153.9,123.3,153.3,103,141.2,118.2,164.6,165.1,163,145.6,195.1,151.8
