"","0","0 | 1","0 | 2","10800","10800 | 1","10800 | 2","0 | 3","0 | 4","0 | 5"
"thrL",657,567.6,619.4,410.1,433.1,341.6,237.1,199.5,198.7
"thrA",287.2,247.2,250.5,172.7,172.8,212,220.5,143.6,152.6
"thrB",284.5,243.1,195.2,137.3,143.3,165,172.2,109.2,103.6
"thrC",244.3,157.6,168.7,202.4,237.8,253.2,300.3,195.9,190
"yaaX",13.2,39.7,8.7,116.8,124.2,124.4,177.1,118.8,115.6
"yaaA",40,33.1,40.5,116.9,133,137.8,243.2,108.8,105.8
"yaaJ",89.9,96.6,78.8,178.5,221.9,208.8,310.1,188.9,180.1
"talB",770.4,825.5,733.7,322.5,404.7,399.2,456.4,299.6,270.3
"mog",194.6,182.8,130.9,178.7,190.6,204.5,232.4,153.3,153.6
"satP",107.4,88.9,70.5,181.6,243.3,260.6,305.4,207.3,178.9
"yaaW",78.6,62,50.5,165.5,142.9,167.5,225.2,159.4,162.5
"mbiA",38.5,29,18.3,136.6,142.3,152.8,215.6,171.1,182.3
"yaaI",61.5,45.3,51.6,161.3,163.8,194.8,227.9,175.6,187.6
"dnaK",938.1,705.5,581.5,447.9,450,564.8,356.3,263,298.3
"dnaJ",611,331.4,290.5,282.6,255.4,333.9,232.8,195.2,198.4
"insL1",215.3,187.3,180.8,407.7,368.2,416,403.8,372.4,341
"mokC",44.2,24.4,39.9,97.3,82.9,85.8,61.5,90.7,47.8
"nhaA",827.6,588.9,738.7,246.1,322.1,253.7,189.2,175.9,144.2
"nhaR",249.6,196,227.3,135.9,157.9,153.2,173.8,132.9,145.7
"insA1",219.3,247.7,280.2,317.7,338.1,302.5,395.9,360.8,344.3
"rpsT",243.2,262.6,288.7,159.4,240.3,173.3,223.5,184.9,156.3
"yaaY",74.9,61.4,61.1,59.6,85.5,56,79.3,70.1,81.1
"ribF",540.4,413.2,440.9,182.2,226.2,169.4,151.2,145.4,135.6
"ileS",864.8,795.7,706.4,170.8,269.1,231.3,217.6,156.5,147.5
"lspA",279.3,318.5,262.4,124.3,227.9,164.7,145.7,156.2,169.8
"fkpB",505.6,455,397.9,155.7,220.3,124.8,147.8,135.3,151.8
"ispH",237.9,202.5,179.8,161.8,214.7,180.8,227,191.8,240
"rihC",64.2,59.3,42.5,142.4,201,151.7,190.3,162.4,180.7
"dapB",131.5,121.9,84.7,121.3,145.9,95.8,181.5,137.2,139.8
"carA",123.8,86.4,87.1,114.9,155.9,169.8,179.5,117.1,139.4
"carB",365.4,210.2,278.6,192.3,274,229.7,308.2,207.5,222.9
"caiF",68.6,43.9,335.9,133.9,162.4,188.5,216,134.7,142.9
"caiE",76.4,70.7,47.8,180.9,167.6,188.7,192.6,167.9,151.3
"caiD",189.3,102.9,128.7,229.8,230.4,228.2,226.3,167.4,169.4
"caiC",75.5,42.5,75.2,163,173.1,154.3,215.3,180.8,167.3
"caiB",97.6,60.6,84.1,241.2,236.9,265.2,270.9,226.6,224.3
"caiA",105.5,37.8,50.1,123.5,148.6,162.5,170.1,120.8,119.1
"caiT",94.3,72.6,49.9,243.5,223.3,263.6,250.8,192.1,199.4
"fixA",34.7,30.9,22.1,171.5,183.2,204.2,237.5,185.6,192.1
"fixB",80,76.8,81.8,208,208.6,237.8,226.7,213.5,194.5
"fixC",78.6,42.6,55.6,188.3,149.2,195.7,227,166.4,170.3
"fixX",57.9,50.1,50.3,141.6,123,167.3,121.6,118.6,107
"yaaU",59.4,64.9,41.7,163.2,130.7,145.6,123.9,148.7,182.3
"kefF",44.1,31.9,39.4,164.1,136.2,179.7,132,130.4,129.5
"kefC",125.2,78.7,88.2,241.8,188.7,241.9,209.2,188,213.8
"folA",136,108.8,94.1,240.4,207.5,240.7,176.1,192.2,210.3
"apaH",158.3,154.3,128.6,145.6,149.3,163.4,93.2,121.9,137.6
"apaG",414.9,336.4,405.8,245.8,278.1,228.4,167.4,210.1,201.1
"rsmA",219.7,255.2,270.4,215.6,222.8,197.7,166.4,166.7,162.4
"pdxA",250.4,292.8,293.3,144.3,136.7,123.5,67.9,132.6,142.2
"surA",672,653,567.8,202.7,216,179.9,168.1,191.1,197.6
"lptD",613.1,609.2,604.2,220,219.4,174,114.8,157.5,158.2
"djlA",187.5,147.8,203.1,169.2,193.1,178.6,150.9,179.3,186.3
"yabP",72.5,73.7,116.5,108.6,90.3,65.9,53,119.3,119.9
"yabQ",91.9,84.4,54.1,116,116.5,83.2,62.5,130.7,158.3
"rluA",154.3,129.6,126.8,147.6,173.8,123.3,131.2,151.6,171.9
"rapA",317.3,264.7,256.7,243.3,272.6,207,168.2,234.3,256.8
"polB",131,119.1,132.4,157.4,178.2,129.7,74.1,122.5,129.9
"araD",227,126.2,116.2,209.5,248.4,207.3,217.8,235.8,258.1
"araA",119.8,61.1,78.2,201.5,214,180.3,205.4,206.1,217.8
"araB",83.7,69.8,57.9,166.5,195.8,171.5,185.9,138.8,142.7
"araC",92.9,86.5,11,236.8,229.4,243.6,202.7,161,167.5
"yabI",141.3,105,147.1,152.1,159.6,174.5,178.7,151.3,155.1
"thiQ",112.9,99.9,143.9,187.3,215,229.4,228.8,171.8,181.3
"thiP",94.3,80.1,72.1,146.4,152.3,167.9,186.3,139.5,152.3
"thiB",67.4,55.6,57.7,127.2,194.2,216.1,203.5,183.5,169.6
"sgrR",120.6,135.9,85.4,174.1,174.6,214.9,181.6,149,152.3
"setA",46.2,81.9,37.8,107,118.8,111.5,158,129.5,142.4
"leuD",94.7,72.2,67.8,150.7,142.3,176.7,164.2,165.7,154.6
"leuC",156.5,105.9,103.5,204.7,235.8,227,257,185.3,165.7
"leuB",71.7,82.9,50.7,158.5,172.6,177,193,158.8,162.5
"leuA",119.6,105.5,116.3,257.8,228.2,262.4,258.4,231,232.3
"leuL",31.3,50.1,31.1,122.2,92,101.2,98.2,125.9,134.3
"leuO",62.3,44,28.5,155,167.8,186.7,185.8,207.9,200.6
"ilvI",26.6,19.5,10.4,156.8,132.1,145.9,112.1,133.1,137.7
"ilvH",87.5,65.1,70.4,161.8,163.9,170.7,154.3,178.2,188.1
"cra",51.2,36.9,33.9,110.8,120,92.1,99.9,112.3,113.4
"mraZ",587.1,591.8,580.6,299,336.4,281.7,158.3,175.1,204.2
"rsmH",282.5,278.7,271.2,197.8,200.6,145.5,152.8,156.2,166.1
"ftsL",695.9,539.1,593.4,356.7,356.3,316.6,210.6,258.2,255.3
"ftsI",259.9,241.5,253.5,172.3,190.3,158.7,141.2,134.8,139
"murE",684.8,480.1,499.2,257.3,247.2,235.6,156.6,169.5,169.5
"murF",269.9,212,240.3,137.3,132.3,106.6,60.2,88.5,92.9
"mraY",460.4,322.9,359.3,152.9,158.8,126.4,74,116.7,132.2
"murD",702,411.1,459.9,256.2,291.1,247.7,146.3,186.2,222.3
"ftsW",333.3,330.3,306.7,164.7,177.7,95,87,158.1,166.6
"murG",625.6,548.5,499.2,236.6,220.5,181.1,113.3,166.3,185.5
"murC",188.2,281.3,204.1,96.3,112.3,68.7,67.8,80.7,93.7
