"","0","0 | 1","0 | 2","10800","10800 | 1","10800 | 2","0 | 3","0 | 4","0 | 5","50400","50400 | 1","50400 | 2","50400 | 3","50400 | 4","50400 | 5"
"thrL",657,567.6,619.4,410.1,433.1,341.6,237.1,199.5,198.7,520.8,638.2,611.9,296.9,286.1,223.8
"thrA",287.2,247.2,250.5,172.7,172.8,212,220.5,143.6,152.6,172.9,115.1,117.6,175.7,137.3,140.1
"thrB",284.5,243.1,195.2,137.3,143.3,165,172.2,109.2,103.6,192.6,138.8,135.2,114,106.2,117.5
"thrC",244.3,157.6,168.7,202.4,237.8,253.2,300.3,195.9,190,267.4,220,230.6,226,209.4,229.8
"yaaX",13.2,39.7,8.7,116.8,124.2,124.4,177.1,118.8,115.6,12.9,13.4,36.3,122,76.9,92.8
"yaaA",40,33.1,40.5,116.9,133,137.8,243.2,108.8,105.8,97.2,49.9,61.2,104.3,54.8,89.5
"yaaJ",89.9,96.6,78.8,178.5,221.9,208.8,310.1,188.9,180.1,128.3,181,197.3,182,111.8,151.1
"talB",770.4,825.5,733.7,322.5,404.7,399.2,456.4,299.6,270.3,276.7,259.6,335.3,275.5,161.1,252.2
"mog",194.6,182.8,130.9,178.7,190.6,204.5,232.4,153.3,153.6,211.1,162.7,216.1,165,127.2,144.3
"satP",107.4,88.9,70.5,181.6,243.3,260.6,305.4,207.3,178.9,182.8,126.5,145.8,177,114,131.1
"yaaW",78.6,62,50.5,165.5,142.9,167.5,225.2,159.4,162.5,234.4,152,185.8,227.9,152.6,221.4
"mbiA",38.5,29,18.3,136.6,142.3,152.8,215.6,171.1,182.3,68.4,69.3,85.7,98.7,57.7,120.6
"yaaI",61.5,45.3,51.6,161.3,163.8,194.8,227.9,175.6,187.6,161.6,112.5,149.5,167.7,147.5,198.1
"dnaK",938.1,705.5,581.5,447.9,450,564.8,356.3,263,298.3,10646.4,7242.2,6414.1,3650.8,3294.6,3690.6
"dnaJ",611,331.4,290.5,282.6,255.4,333.9,232.8,195.2,198.4,3763.8,3200.2,3387.3,1705.5,1547.6,1782.4
"insL1",215.3,187.3,180.8,407.7,368.2,416,403.8,372.4,341,2880,2728.4,2502.5,1640.2,1699.1,1533.6
"mokC",44.2,24.4,39.9,97.3,82.9,85.8,61.5,90.7,47.8,59.7,105.8,113.8,62.6,61,79.5
"nhaA",827.6,588.9,738.7,246.1,322.1,253.7,189.2,175.9,144.2,460.4,519.6,613,319.9,358.8,418.8
"nhaR",249.6,196,227.3,135.9,157.9,153.2,173.8,132.9,145.7,282.6,382.4,546.4,367.5,408.9,401.1
"insA1",219.3,247.7,280.2,317.7,338.1,302.5,395.9,360.8,344.3,141,322.1,294.6,158.9,193.8,255.2
"rpsT",243.2,262.6,288.7,159.4,240.3,173.3,223.5,184.9,156.3,229.4,170.9,192.9,139,126,156.3
"yaaY",74.9,61.4,61.1,59.6,85.5,56,79.3,70.1,81.1,104.5,112.7,94.6,86.7,83.6,87.5
"ribF",540.4,413.2,440.9,182.2,226.2,169.4,151.2,145.4,135.6,314.1,271.7,310.6,200,215.7,201.7
"ileS",864.8,795.7,706.4,170.8,269.1,231.3,217.6,156.5,147.5,423.6,553.9,654.3,383.7,376,412.8
"lspA",279.3,318.5,262.4,124.3,227.9,164.7,145.7,156.2,169.8,242.5,185.2,155.1,115.9,150.3,167.8
"fkpB",505.6,455,397.9,155.7,220.3,124.8,147.8,135.3,151.8,283.7,266.3,311.4,227.9,252.3,259.8
"ispH",237.9,202.5,179.8,161.8,214.7,180.8,227,191.8,240,264.5,225.3,263.5,259.5,241.1,227
"rihC",64.2,59.3,42.5,142.4,201,151.7,190.3,162.4,180.7,126,105.5,117.4,161.8,161.8,161.9
"dapB",131.5,121.9,84.7,121.3,145.9,95.8,181.5,137.2,139.8,111.8,93.6,105.8,102,115.9,127.6
"carA",123.8,86.4,87.1,114.9,155.9,169.8,179.5,117.1,139.4,182.3,119.2,121.7,152.3,141.9,155.8
"carB",365.4,210.2,278.6,192.3,274,229.7,308.2,207.5,222.9,407.7,224.8,216.7,228.6,231.2,235.7
"caiF",68.6,43.9,335.9,133.9,162.4,188.5,216,134.7,142.9,126.2,99.7,104.1,164,155.9,132.1
"caiE",76.4,70.7,47.8,180.9,167.6,188.7,192.6,167.9,151.3,245.7,164.2,138.8,181.6,146.2,149
"caiD",189.3,102.9,128.7,229.8,230.4,228.2,226.3,167.4,169.4,24,52.3,26.7,132.2,113.1,123.8
"caiC",75.5,42.5,75.2,163,173.1,154.3,215.3,180.8,167.3,93.5,101.2,82.1,180.7,132.2,153.7
"caiB",97.6,60.6,84.1,241.2,236.9,265.2,270.9,226.6,224.3,130.4,122.9,144,210.2,165.4,191.5
"caiA",105.5,37.8,50.1,123.5,148.6,162.5,170.1,120.8,119.1,69.9,69.4,66.1,109.4,70.7,96.6
"caiT",94.3,72.6,49.9,243.5,223.3,263.6,250.8,192.1,199.4,69.2,93.6,52,182.7,129.7,166.9
"fixA",34.7,30.9,22.1,171.5,183.2,204.2,237.5,185.6,192.1,48.1,64.6,86.8,139.1,97.7,129.1
"fixB",80,76.8,81.8,208,208.6,237.8,226.7,213.5,194.5,113.7,100.5,110.6,145.1,84.3,158
"fixC",78.6,42.6,55.6,188.3,149.2,195.7,227,166.4,170.3,133.3,132.3,143.8,167.9,96.3,166
"fixX",57.9,50.1,50.3,141.6,123,167.3,121.6,118.6,107,25.8,37.4,58.7,131.1,84.9,129.4
"yaaU",59.4,64.9,41.7,163.2,130.7,145.6,123.9,148.7,182.3,88.8,107.4,119.8,202.9,112.3,179.2
"kefF",44.1,31.9,39.4,164.1,136.2,179.7,132,130.4,129.5,84.3,66.2,78.1,92.8,58.3,101.2
"kefC",125.2,78.7,88.2,241.8,188.7,241.9,209.2,188,213.8,141.6,132.6,148.6,200.8,122.4,220.9
