"","0","0 | 1","0 | 2","0 | 3","300","300 | 1","300 | 2","300 | 3","900","900 | 1","900 | 2","900 | 3","1800","1800 | 1","1800 | 2","1800 | 3","3600","3600 | 1","3600 | 2","3600 | 3"
"isrC",2.16646,2.39601,1.97973,4.30405,1.13513,8.99805,0.693709,3.49178,2.87535,2.46793,2.41049,1.3876,19.3976,0.84307,14.1486,1.15587,2.14748,0.809147,1.49596,1.63248
"mcaS",594.039,575.468,550.949,601.975,598.718,589.646,479.195,557.072,444.595,498.447,497.574,457.357,355.036,394.729,470.384,480.785,409.434,362.084,508.001,500.615
"prfB",2416.22,2408.52,2344.53,2602.04,3346.99,3325.99,2625.57,2564.32,2735.29,2825.93,2800.71,3341.94,2223.47,1957.37,2590.75,2771.19,1228.17,1296.75,2481.85,2475.05
"thrL",470.751,228.209,252.832,412.018,485.223,332.386,265.016,213.462,250.44,255.62,437.424,272.984,285.019,358.559,376.442,371.795,518.032,572.445,488.865,539.512
"thrA",1126.28,1146.2,973.566,945.392,1016.44,1048.02,1021.67,935.86,778.568,760.504,971.218,927.777,537.101,716.877,1001.95,914.203,882.997,940.921,1204.71,1069.18
"thrB",870.937,849.025,847.989,675.051,727.261,921.685,876.84,778.962,627.389,590.098,806.22,711.549,694.596,710.372,797.504,812.699,867.774,895.664,919.732,1033.4
"thrC",779.125,884.395,771.196,654.338,821.741,808.549,783.934,723.947,634.17,611.431,717.822,748.744,632.24,609.314,699.304,758.152,791.908,864.037,835.156,876.827
"yaaX",760.553,751.932,747.521,717.6,783.85,835.131,702.756,722.725,633.883,683.706,663.025,612.578,661.873,732.258,688.545,654.14,778.542,989.146,751.494,614.944
"yaaA",523.806,567.643,527.14,437.253,498.635,582.083,448.951,440.9,441.836,524.965,427.338,397.289,420.528,516.863,377.019,379.222,562.322,632.133,357.843,442.039
"yaaJ",504.528,468.756,499.271,389.499,441.365,521.934,399.435,473.794,441.208,490.838,393.521,306.478,458.083,464.242,336.274,362.157,632.126,421.291,361.712,483.263
"talB",1220.23,1356.47,1281.75,1484.51,1519.48,1564.97,1364,1314.2,2245.02,2127.13,1547.94,1911.46,4126.65,3768.15,1815.15,1738.37,5325.26,5847.27,2408.87,2108.7
"mog",946.425,986.604,1085.22,1096.68,1084.69,968.552,1198.11,1217.84,1066.51,1022.8,1254.4,1168.98,1125.61,1124.57,1085.51,1172.16,1021.67,1160.31,1465.85,1207.02
"satP",1198.62,1131.6,611.113,624.002,1575.97,1322.79,663.369,803.894,677.898,733.701,853.451,697.45,501.567,530.051,814.476,840.289,596.96,408.997,761.474,797.177
"mbiA",459.683,445.347,499.329,409.666,405.583,398.992,390.172,453.724,393.47,399.59,369.815,304.4,306.116,365.94,316.989,355.184,497.472,422.366,366.758,416.989
"yaaW",687.106,651.212,675.82,594.605,619.857,725.815,669.486,638.899,598.49,631.869,614.926,624.981,547.237,680.773,549.874,602.5,938.275,801.418,641.01,635.798
"yaaI",506.408,562.48,501.826,448.859,405.884,445.626,492.466,418.171,429.844,487.154,445.335,414.498,346.504,442.606,410.93,355.037,552.589,472.21,375.074,419.419
"dnaK",1059.54,1011.93,2597.68,3142.22,997.491,1108.72,3112.08,2864.01,1021.67,924.547,3097.88,3567.54,1587.52,1631.57,4332.95,3833.97,3805.63,4696.15,6301.13,5502.38
"dnaJ",886.593,821.802,1620.04,1864.52,646.482,817.125,2041.41,2023.84,734.501,680.972,2081.7,2026.19,770.632,833.707,2525.86,2261.25,1373.59,1430.7,3738.98,3137.23
"insL1",2.59882,12.8383,17.6757,7.83969,6.49944,18.2953,13.1724,5.29533,36.4791,17.5956,13.6379,9.87096,46.4257,5.98154,28.1874,25.2005,35.07,14.2224,28.5671,23.4579
"hokC",1248.61,1576.87,1174.34,1264.09,1541.98,1263.33,1055.23,1397.88,1362.4,1038.09,1372.45,1360.15,1992.52,1707.3,1480.98,1379.54,2567.8,2723.08,1743.72,1544.86
"sokC",656.223,828.766,738.091,740.97,753.552,525.434,659.887,875.566,672.013,475.688,852.66,664.263,855.262,522.017,1104.76,1015.86,1552.63,1166.93,2129.69,1610.94
"nhaA",712.727,709.134,823.515,869.721,822.181,760.791,934.969,885.922,676.686,662.847,1001.58,1049.41,730.318,687.879,1052.35,1007.91,859.687,975.479,1088,1039.62
"nhaR",762.243,762.328,808.123,847.618,792.741,695.837,1040.09,1056.33,550.725,697.709,1160.37,1142.79,579.123,601.26,1203.11,1072.6,922.569,515.66,953.322,1148.5
"insB1",47.0564,36.6786,40.3353,52.3638,55.5935,30.7997,43.5703,35.8226,94.3632,77.4574,37.7923,34.4215,55.8235,33.6835,61.7636,60.9116,78.9862,30.8355,58.0051,57.7457
"insA1",2.1397,0.947135,5.90086,2.62072,9.4059,17.318,8.08183,0.635459,12.7052,2.0821,0.716857,2.02995,4.23802,2.94776,2.70855,1.2902,5.83061,16.0148,5.62906,0.855206
"rpsT",3064.6,3327.52,1601.22,2282.84,5226.8,5362.1,2492.23,1868.37,4337.73,4466.77,3013.8,3782.23,3915.96,4430.85,3059.91,3185.7,1532.41,1904.9,2214.47,2629.22
"yaaY",256.007,300.271,360.017,300.991,247.399,227.829,305.432,281.306,211.832,240.131,301.186,273.883,204.106,143.718,326.456,294.545,323.438,240.831,305.255,332.033
"ribF",1140.46,1238.89,1229.57,1428.45,1324.49,1093.48,1397.34,1367.33,1357.14,1203.54,1517.25,1640.46,1624.51,1470.52,1680.2,1544.94,1219.96,1347.23,1497.6,1277.17
"ileS",970.431,933.515,954.711,960.49,1284.04,1533.72,1132.9,1144.49,1360.66,1251.38,1257.01,1346.99,1427.45,1425.9,1357.81,1470.69,1100.51,1259.51,1571.15,1374.74
"lspA",2.92511,1.89905,1.92506,1.05723,0.73992,1.78995,2.47815,2.35187,2.92276,5.43803,10.7976,1.11697,19.2086,18.9847,1.75401,7.39483,2.69566,7.2531,1.75863,1.18342
"fkpB",970.09,1013.88,870.068,962.258,1167.51,1441.98,1164.09,1189.71,1184.22,1171.53,1376.2,1299.54,1079.83,868.477,1386.58,1479.01,669.717,744.14,1615.55,1441.29
"ispH",864.287,941.487,735.261,827.236,1192.26,1095.12,985.369,1162.03,868.678,864.678,1118.95,1199.97,911.201,857.129,1319.12,1286.3,693.924,795.805,1153.71,1159.82
"rihC",911.707,946.22,1159.3,1245.92,854.147,947.331,1081.76,1126.87,863.515,810.558,1006.69,1002.89,939.145,975.997,858.795,776.402,1151.89,1202.43,844.162,766.502
"dapB",536.978,543.225,538.536,547.608,580.782,538.947,577.775,560.094,596.198,620.082,568.246,439.007,856.662,782.201,523.4,522.269,1133.01,1137.03,486.172,552.101
