"","3000","3000 | 1","0","0 | 1"
"isrC",103,65.7,43.9,51.7
"mcaS",191.6,149.5,248.6,406.3
"prfB",5047.6,4591.7,4988.5,4711.5
"thrL",526.7,491.2,1330.5,995.2
"thrA",12083.1,11943.1,9305.2,2906.5
"thrB",13048,12427.5,11971.6,2176.8
"thrC",9285.3,8568.2,7158.9,1642.8
"yaaX",1088.2,693.9,1690.8,194.7
"yaaA",858,803.9,819.6,820.3
"yaaJ",271.1,213.1,86.6,146.3
"talB",7033.7,7226.9,5498.4,5831.5
"mog",1146.6,785.5,856.2,768.5
"satP",367.7,287,256,350.1
"mbiA",34.9,31.6,12.2,10.6
"yaaW",155.2,132.4,83.7,135.2
"yaaI",94.2,67.8,52.1,55.3
"dnaK",5515.5,4730.6,2952.5,2753.3
"dnaJ",3042.4,2227.8,1670.3,1704
"insL1",1885.2,1491.9,2102.8,1720.3
"hokC",189.2,151,109.5,125.9
"sokC",251.4,199.5,306.5,332.2
"nhaA",1256.7,966.8,814.9,691.8
"nhaR",1510.2,937.7,947.5,989.1
"insB1",759.2,562.8,786.8,521.1
"insA1",1047.9,747.5,1361.8,1134
"rpsT",3053,3079.6,5118.7,5802.7
"yaaY",331.3,242.4,107,124.5
"ribF",4432.5,4131,3625.6,2787.5
"ileS",4029.8,3610,2969,1840.1
"lspA",6891.7,5757.8,5380.9,3873.1
"fkpB",3439.7,2761.7,2901,1930.7
"ispH",2438.7,1940.9,2076.5,1414.3
"rihC",179.6,113.2,267,144.5
"dapB",1831.1,1592.2,1910.8,1496.5
"carA",5511.2,5515.9,7440.5,6467.4
"carB",4176.9,3826.6,6107.2,5584.4
"caiF",173.7,132.8,808.8,815.4
"caiE",82.9,37.5,72.8,115.3
"caiD",58.2,39.9,52.9,48.3
"caiC",123.5,90.8,124.4,157.4
"caiB",126.1,92.7,102,76.6
"caiA",110.9,77.5,79.9,114.6
"caiT",76.4,68.5,45.9,62
"fixA",26.3,41,16.3,6.1
"fixB",139.5,83.3,34.3,46.9
"fixC",84.9,53.8,44.9,35.1
"fixX",61.9,52.2,26.2,30.3
"yaaU",21.4,38.2,16.9,6.6
"kefF",523.8,499.2,305.4,499.4
"kefC",513.8,434.6,288.9,430.7
"folA",1165.8,1096.8,1247.7,1098
"apaH",2059,1443.1,1397.9,1222.5
"apaG",2875.7,2497,2365.6,1840.7
"rsmA",3125.9,2449.3,2631,2132.7
"pdxA",3147.9,2435.5,2810.8,2131.7
"surA",4459.2,3951.8,3735.7,3288.4
