"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"ppdD",105129,45970,112651,62600,70203,25369,58110,24058,103618,30802,48422,31987,29901,15557,164914,77149,171745,95987,77810,27110,110339,38751,98556,34696,74204,25305,40898,25733,116029,78500,25320,26570,105923,111954
"yafE",199213,91210,215040,59512,181030,94880,134500,49436,175657,85874,49881,15542,783532,463278,102911,37964,430266,257445,256868,83308,169581,66590,176282,51747,99188,64749,99081,78180,106723,93902,95613,40001,41769,51470
"betB",286422,86078,200428,106268,207132,77918,137936,83254,198591,47062,60383,21463,162295,113906,70018,37288,315392,302775,183710,125522,183769,58858,215890,65230,107276,86149,98126,59241,130110,102869,96644,47921,61647,84678
"nhaR",301698,103859,202846,104166,205971,128108,155348,56665,195766,72212,62533,30865,128353,82243,96589,41506,227821,215119,257435,94464,173465,99209,249322,76407,128354,110851,126580,91669,155426,135010,110194,61302,79211,117063
"coaE",896421,519661,954976,436755,958468,790119,885304,347097,913556,501040,54792,18481,687110,419167,527174,196147,955501,1201252,871381,566538,536179,384089,657126,368889,404295,410905,268853,348218,499666,572094,330306,223588,224855,445483
"gmhB",1399282,711212,1874644,1378444,1457109,894949,805378,322703,1047015,525769,280496,123027,608579,321061,743804,449307,1180689,1238563,828762,693760,551477,318492,886902,405071,501607,457288,773248,760896,1287251,1007253,817366,619514,691338,727173
"insL1",349726,136744,308268,146380,336307,226670,277510,110228,374354,260419,57011,14509,414088,154170,267149,74926,207430,186012,305560,174967,252610,151457,336953,140001,191595,197632,148507,202609,337282,223369,181496,151202,226632,194251
"secM",1635672,766596,1676876,930464,1912519,1575643,1452542,498673,2158586,1527611,50623,15484,1266416,676550,1010554,642846,2250964,2402153,1128646,870593,974315,724444,1506601,885409,757197,1083077,588292,816104,1225351,1323005,558371,509443,384957,556737
"rcsF",1139596,560289,1074562,541266,1124000,1024393,1136470,417131,1231208,658496,47815,19081,619565,410323,540619,256350,1281673,1319980,750732,448795,528897,513798,819510,416189,381775,505095,533028,594784,683387,811012,489815,375045,304369,497538
"ykgE",418195,102260,217099,172826,232243,102357,147742,67800,229696,84708,68336,24243,149620,82791,220308,112050,313022,251305,309251,164206,272368,136070,336196,87476,131819,178934,169203,112442,188720,261678,146321,87958,163286,184171
