"","0","0 | 1","0 | 2","0 | 3","0 | 4","0 | 5","0 | 6","0 | 7","0 | 8","2400","2400 | 1","2400 | 2","2400 | 3","2400 | 4","2400 | 5","2400 | 6","2400 | 7","2400 | 8"
"mrr",406.72,402.14,373.28,401.56,447.67,400.39,396.67,401.32,430.45,439.45,376.45,379.09,513.29,499.99,466.62,389.58,322.46,390.83
"pdeF",11.99,12.09,12.85,13.17,13.18,15.07,13.15,12.71,13.13,14.51,13.17,21.73,14.08,12.27,13.21,13.64,13.19,14.17
"ycfK",291.83,270.31,303.15,313.45,305.7,340.02,275.36,292.95,304.73,318.79,298.89,315.09,314.89,406.29,300.99,335.4,312.19,312.96
"yfbN",284.17,338.59,325.23,374.68,378.58,334.02,347.79,326.45,333.89,408.99,384.61,408.18,328.79,272.2,306.99,334.26,334.34,334.88
"ggt",447.84,442.7,447.69,551.91,504.82,535.08,485.04,471.75,392.77,477.49,404.38,384.45,355.29,474.78,445.25,544.93,358.68,463.04
"yajO",883.53,929.48,916.8,806.19,701.36,654.57,993.74,1086.42,1262.09,989.88,1186.64,1220.16,2447.07,2224.69,1847.4,1007.74,1088.07,1232.01
"ygeK",112.18,147.89,120.19,147.77,148.84,206.53,147.22,120.43,116.57,147.17,206.68,236.11,148.1,118.99,147.16,147.17,178.98,147.33
"rimO",1315.31,1697.98,1425.86,537.58,566.91,612.96,598.81,659.54,615.57,411.66,390.12,603.2,277.59,260.19,296.07,434.68,492.27,399.58
"frc",389.43,472.96,439.89,573.66,537.64,470.88,445.82,471.01,444.53,737.55,517.81,981.18,471.08,407.93,451.24,530.19,461.54,413.9
"speF",7.06,7.05,5.8,7.14,9.53,9.35,7.92,7.04,6.96,8.55,7.84,9.11,9.36,6.1,6.09,7.18,7.04,6.4
"nanS",72.74,84.76,71.44,69.85,95.74,96.76,89.28,72.69,62.38,72.02,102.66,129.35,77.81,56.36,56.69,60.97,72.77,55.25
"rnc",4449.14,4540.29,4454.78,1694.67,1838.86,2001.81,2213.56,2263.12,2463.92,2060.42,2227.67,4252.68,1645.75,1681.18,1517.98,1690.08,2093.98,2257.98
"slt",2511.33,2267.92,2533.12,3573.55,3425.42,3227.7,3885.12,3858.16,4077.14,2946.54,2498.53,2282.85,3421.24,4134.58,3966.72,3478.31,3079.95,3709.59
"fkpA",2447.28,2857.81,2923.88,3068.65,2865.56,2593.35,3682.16,3704.18,4501.31,2414.6,2309.55,1888.44,2081.56,2882.38,2607.2,1583.67,1760.25,1962.32
"yecF",1437.9,1481.05,1508.07,900.61,878.12,705.16,1164.39,1146.88,1382.91,1173.71,1285.81,470.33,653.95,731.38,813.1,1057.59,1016.63,1159.39
"menI",573.18,580.02,525.78,713.26,676.75,615.01,700.52,700.32,730.1,694.35,691.06,633.53,828.79,769.39,979.89,839.64,877.4,911.95
"ftsK",3449.69,3451.45,3344.51,2717.7,2470.31,2903.53,3733.33,3642.62,3650.1,3651.74,4766.39,4261.92,3718.89,3677.01,3904.83,3656.35,4165.68,4567.45
"ftp",205.78,241,193.75,125.6,142.99,134.08,150.4,146.32,177.48,186.97,160.06,203.37,125.11,99.64,108.63,142.96,142.87,151.73
"thrA",1836.3,1648.58,1831.6,2478.57,2450.68,2398.75,3451.5,3557.18,4191.96,2091.93,1577.46,2804.85,1278.11,1418.6,1203.92,1967.11,1656.78,1843.92
"yghA",159.66,182.11,175.37,193.45,217.15,231.43,372.26,476.06,519.68,155.23,143.23,131.69,301.43,232.54,255.59,322.15,375.08,360.64
"yggN",2755.96,2787.33,2780.47,3132.97,3299.17,3174.1,2586.46,2531.59,2796.12,1350.69,1213.91,1210.63,1773.94,1996.05,2053.15,1467.7,1446.54,1663.03
"ydhL",190.49,182.06,241.19,268.72,311.07,302.63,268.4,221.13,263.74,245.43,209.48,156.14,211.01,263.95,341.02,318.9,345.38,300.72
"sokB",6.48,6.48,6.48,6.47,6.18,6.45,5.26,6.4,6.34,8.11,8.16,9.39,6.48,6.51,6.49,7.03,6.48,7.29
"ycjW",246.43,239.78,239.35,312.5,285.74,290.39,270.07,263.68,259.79,205.02,220.72,113.98,214.23,212.88,249.74,300.18,316.86,262.16
"mdtJ",2897.33,3056.86,3246.84,1967.41,1944.9,2089.52,2571,2390.41,2317.02,2742.15,3077.41,3335.29,1396.18,1417.63,1651.09,3525.38,3367.99,3622.51
"higB",634.32,636.36,686.23,579.38,747.39,817.68,674.83,589.72,547.5,403.7,480.07,308.86,485.9,447.88,514.39,540.38,561.26,535.2
"kdgR",936.95,937.49,1057.2,528.52,526.85,525.24,525.62,546.05,590.46,556.9,675.49,534.25,913.99,944.9,941.85,587.92,590.78,656.05
"fau",94.04,113.35,111.69,108.95,96.25,118.03,121.86,113.94,119.93,122.09,151.7,118.11,119.66,118.51,123.51,124.38,118.17,115.14
"yqeA",663.52,665.15,658.78,1132.63,1107.4,1028.61,874.32,897.03,788.24,890.81,622.44,555.99,776.85,796.65,805.93,899.4,783.18,796.35
"cbeA",63.79,52.49,85.15,109.8,119.16,106.02,85.57,85.57,86,46.49,49.88,9.24,90.12,85.84,94.07,109.57,101.46,85.79
"hycB",5.8,5.89,5.81,9.3,6.52,6.45,5.88,7.43,5.81,5.71,5.68,4.6,5.81,5.83,5.82,5.82,5.68,6.09
"grpE",3378.7,4291.86,3920.14,4327.52,4354.56,3705.18,5276.41,5774.65,5805.43,2649.39,3173.22,3357.28,2195.37,2798.88,2420.57,1878.82,2916.66,2369.21
"arfB",1254.48,1213.61,1211.11,1070.92,1212.32,1129.36,1186.53,1222.03,1419.12,1091.06,1187.38,1198.94,1227.37,1279.71,1245.05,1186.22,1219.8,1181.06
"pepA",3004.86,2748.13,3138.92,2380.17,1984.94,2412.73,2809.76,2801.06,3139.16,1981.23,1944.07,2413.89,2604.21,2681.62,2572.49,1938.41,2029.49,2412.95
"plsY",128.32,152.94,142.98,127.5,108.82,120.37,166.73,155.06,158.63,114.94,143.21,122.32,132.85,107.11,128.98,102.21,156.99,135.85
"ypdE",143.56,158.81,156.5,196.41,196.95,224.89,158.91,162.2,158.51,158.51,156.67,111.13,174.64,153.98,158.79,159.07,158.31,158.91
"tdcE",288.18,288.85,252.42,337.44,288.47,287.93,287.04,269.33,239.61,255.46,268.68,277.75,480.38,347.55,374.12,287.95,287.72,346.84
"fruB",562.4,441.95,441.32,441.49,441.51,441.13,340.87,318.24,334.39,2913.92,2756.1,1660.68,441.4,441.95,424.95,1697.78,1373.13,1007.96
"osmB",529.41,648.14,672.45,1506.56,2191.84,1388.57,14679.97,14360.22,14019.85,569.68,867.1,470.12,3066.2,3832.12,3811.47,3751.23,4641.31,4433.48
"yoaF",28.84,28.98,27.41,30.97,30.98,27.28,29.84,29.83,35.02,27.8,28.79,23.4,29.85,31.98,36.15,27.26,33.03,29.9
"yhcN",5368.02,5702.92,5458.02,21510.75,23368.04,16980.58,21901.46,24705.62,28215.41,4501.35,4885.48,2418.25,5934.14,10457.15,10036.99,8598.43,10931.06,10031.66
"ybbA",347.61,344.82,266.22,349.76,349.12,345.96,385.31,370.46,347.39,323.36,273.47,312.45,348.63,366.49,348.53,326.74,349.69,349.23
"ryeA",28.05,40.66,33.14,36.73,34.63,34.04,34.11,32.6,19.6,30.08,42.98,32.21,33.71,33.11,48.25,33.16,25.43,31.73
"ygcW",381.77,354.74,304.93,469.48,437.24,483.62,411.33,385.31,339.09,367.2,306.75,349.6,403.15,322.13,395.71,358.65,410.09,382.28
"ftsP",2401.62,2268.02,2062.77,1647.77,1586.36,1654.31,1736.92,1618.47,1631.25,1728.67,1549.46,1966.12,1537,1666.93,1343.94,1250.13,1372.75,1399.2
"kefG",1488.7,1617.41,1582.59,1507.53,1491.45,1379.29,1460.84,1666.99,1638.7,1102.64,976.23,842,1083.89,1097.66,1107.43,1206,1049.31,1209.12
"lspA",5048.9,4432.95,4774.74,4208.54,4042.84,4594.8,5593.7,5630.14,6395.91,4070.96,4140.31,7318.72,4522.45,3857.58,3558.12,4105.41,4065.4,4428.31
"nanT",15.16,15.55,14,15.52,15.53,15.29,15.16,13.98,14,15.14,15.53,16.36,52.99,32.64,28.77,19.4,33.35,35.49
"ttdT",715.67,576.06,678.63,1049.8,935.44,898.55,711.76,760.75,669.81,598.76,489.24,327.56,793.88,750.08,715.43,753.31,623.6,707.03
"mntP",227.95,271.32,272.7,225.77,206.77,167.05,211.37,222.32,227.74,247.63,255.07,298.89,321.01,296.93,288.31,230.63,313.61,267.33
"ydfT",15.76,20.89,13.88,16.42,15.62,15.89,15.99,15.92,15.73,21.96,18.83,21.21,15.73,15.8,15.87,14.16,15.88,16.08
"matA",600.44,656.66,591.7,674.7,823.98,1084.52,678.8,596.61,496.21,596.16,640.37,621.88,706.05,486.73,551.84,565.9,678.47,619.69
"yajD",3831.6,4076.76,4135.85,3521.67,3166.56,3212.13,3242.88,3380.39,3512.19,3604.03,3910.51,2929.14,3478.23,3326.95,3556.54,3017.58,3598.06,3611.73
"ecnA",52.55,46.61,50.98,21.77,21.78,21.46,31.52,26.82,29.5,21.68,24.26,27.85,18.08,16.14,16.63,14.9,19.82,20.99
"fruK",1356.96,1341.11,1372.4,1098.47,1342.13,1535.5,888.04,803.3,757.03,7297.86,7843.56,5203.56,1366.82,1118.32,1165.5,4990,3873.38,2878.34
"frdC",379.9,351.96,417.56,367.27,381.31,350.11,270.97,336.67,315.76,2264.65,1939.43,1527.7,4022.1,3536.08,3926.44,1515.73,1757.45,2044.2
"wcaE",16.25,16.49,16.22,24.9,30.09,30.19,229.5,207.13,414.86,15.72,16.29,20.89,41.91,30.44,43.34,120.38,141.13,137.63
"lptB",4175.51,4361.61,3781.25,2760.8,3030.07,3255.58,3669.03,3691.52,3541.78,3102.73,3181.67,3832.37,3267.34,2924.69,3035.17,2612.53,3658.89,3179.6
"yiiE",121.51,153.72,153.44,153.46,168.19,217.81,156.07,144.23,138.54,140.24,171.53,149.08,153.59,125.17,143.47,179.3,201.43,180.21
"yiaK",1118.79,1174.65,1179.72,1508.03,1403.77,1490.55,1215.32,1157.93,1001.91,1314.74,1082.65,1153.27,1203.98,1058.54,1057.38,1286.81,1234.29,1216.49
"sdhE",2040.45,2646.35,2389.96,1459.84,1357.88,1134.41,1589.23,1554.51,1769.96,1823.21,1986.65,1654.85,1528.35,2182.11,1955.8,1509.16,1200.09,1353.38
"yafL",229.83,232.73,262.46,405.04,373.52,380.9,366.28,320.23,306.32,270.43,186.51,211.96,319.24,270.89,288.15,271.91,280.14,282.55
"flgF",32.74,39,34.24,32.63,34.55,35.99,35.22,31.01,32.58,32.07,31.46,17.67,32.58,31.78,32.77,32.7,32.6,32.87
"cusC",142.04,259.83,162.74,206.98,274.59,289.62,235.8,215.28,161.03,236.19,248.77,260.53,217.38,308.63,167.29,160.86,201.37,231.15
"eutQ",52.01,57.26,46.93,69.11,66.38,64.35,52.16,57.2,57.19,58.77,56.87,58.24,71.48,57.08,58.56,62.25,60.69,58.68
"ybgO",238.17,266.78,246.92,274.43,301.4,324.95,277.02,269.72,224.27,268.82,269.03,329.76,299.64,244.23,260.68,268.85,291,318.23
"lipB",1256.73,1179.76,1100.18,679.36,760.68,719.55,896.96,861.43,1101.33,695.03,718.77,1054.3,640.1,545.82,617.84,567.24,694.65,693.49
"lit",539.6,549.12,550.49,574.75,548.46,496.3,579.22,530.66,532.34,593.45,590.53,600.53,509.33,549.96,494.25,548.39,532.25,551.82
"hsdR",1486.7,1401.7,1324.18,1367.26,994.4,1023.26,1063.3,1186,1118.56,1609.07,1368.25,1567.01,1927.61,2100.75,1756.97,1120.75,1100.17,1192.29
"lsrB",13.94,12.83,13.78,18.62,18.3,15.65,15.55,15.75,15.64,19.8,14.58,16.08,21.56,16.05,17.53,17.37,16.14,18.65
"sgcE",719.56,648.7,583.35,865.7,706.46,741.74,735.15,690.83,659.14,648.76,584.14,518.74,651.39,650.12,626.17,665.32,634.52,586.1
"ydeE",4.64,4.64,4.63,4.63,4.64,4.62,4.62,4.62,4.63,4.67,4.63,4.62,4.63,4.67,4.65,4.64,4.63,4.65
"preA",919.67,873.42,878.38,1254.85,1124.9,1217.42,1029.69,946.95,874.66,1088.57,1000,739.03,1452.59,1143.26,1302.09,1091.07,1164.47,1380.28
"yagH",150,261.88,179.48,278.43,418.1,471.42,213.88,249.27,170.51,224.13,252.15,85.1,356.67,380.29,345.24,342.37,411.33,239.07
"ykfF",418.63,266.44,362.77,680.98,649.06,618.15,495.62,554.62,445.33,327.13,219.51,157.58,516.48,449.05,469.43,484.22,516.97,512.98
