"","0","0 | 1","0 | 2","28320","28320 | 1","28320 | 2","53520","53520 | 1","53520 | 2","53520 | 3","53520 | 4","53520 | 5","53520 | 6","53520 | 7","53520 | 8","53520 | 9","53520 | 10","53520 | 11","0 | 3","0 | 4","0 | 5","28320 | 3","28320 | 4","28320 | 5","53520 | 12","53520 | 13","53520 | 14","53520 | 15","53520 | 16","53520 | 17"
"yfdR",26.3549125525623,30.0647279748484,33.3589043469159,31.5594465437875,29.446004819996,31.5594465437875,28.0513830821131,28.6408022696951,23.917587978159,27.857618025476,30.0647279748484,25.106691132696,20.8214696870709,27.2843165365746,29.0406129701492,27.857618025476,22.1617514897748,23.5883074766576,34.7755156008339,32.8996424529941,30.6964518184085,37.2714747669906,32.8996424529941,31.1249583171931,36.7583473599051,35.753188418311,36.7583473599051,40.7859400742164,44.9422360236159,35.753188418311
"nuoN",4837.34594121536,5518.26873084187,6984.7850333631,4389.98410254866,3875.05212098804,6338.82621354963,6562.36443721418,6251.55771990245,4770.7487701748,6888.62343375843,6165.49067739573,7181.15406902096,5330.29623989016,5792.6187514802,6793.78571931191,6208.37505642659,6472.01842678479,6472.01842678479,7181.15406902096,5480.15126440391,5556.65132522566,6517.03487492029,3191.45811828941,6746.85761345596,6562.36443721418,6700.25366370535,5148.72678204141,4067.7068613101,6608.00929154766,6746.85761345596
"ybbC",501.463192364507,407.314679682518,398.932264786176,508.463357663762,415.873226934392,508.463357663762,333.143514993135,304.437021440697,390.722357493903,326.287520593731,308.686803888835,357.054378585704,362.038671967512,367.092543492052,401.707058123136,333.143514993135,352.138705443775,352.138705443775,328.557029776103,430.538964609902,448.82212931381,401.707058123136,491.143229094535,404.501151674049,359.537888188927,321.795423877588,342.509454025245,377.412919626522,243.875327499248,344.891795677617
"ghoS",28.8400148035466,24.2514650641664,26.5382254660621,34.7755156008339,27.6651914018517,36.7583473599051,26.172865873849,25.6342360828679,19.9732887824258,25.106691132696,25.6342360828679,24.420147343369,18.000935755021,21.555737229851,26.7228134217078,25.9920766833995,25.2813219796281,21.1121265723663,26.3549125525623,25.4571674801574,27.857618025476,32,30.9099625255951,22.6274169979695,22.1617514897748,28.246495881301,22.6274169979695,34.0598458385075,21.4068408765778,32.8996424529941
"nuoM",1584.70655338741,1845.76094742698,2521.38375853039,1448.15468787005,1278.29048207525,2105.57711699162,2368.89740063803,2288.20405877191,1758.34201382452,2486.67112324105,2019.8045788024,2797.650445833,2210.25942836107,1807.77573640326,2503.96728871335,2062.24496651616,2469.49443111068,2164.77294706971,2646.73859714558,2048,1795.28851725524,2469.49443111068,1009.9022894012,2401.96597602689,2385.3743850874,2272.39827879495,1698.44642982798,1698.44642982798,2091.03283344833,2521.38375853039
"ygaM",1897.65235075148,1488.867857736,1296.13475222557,2120.22256402714,1710.2600589893,1897.65235075148,1176.26711551696,1379.56718271047,1128.35083865765,1663.49290773757,1562.88942997561,1097.49602563716,781.444714987806,1120.556750091,1379.56718271047,1082.38647353485,1128.35083865765,1209.33648530384,1541.37266934893,1552.09376410665,1675.06341592634,1562.88942997561,2452.43638705957,1370.03781610098,1323.36929857279,1305.15008237492,1758.34201382452,1562.88942997561,1448.15468787005,1770.57224971851
"yjfK",37.791765165745,35.753188418311,38.8542363006415,41.9325889234676,42.8136817531556,44.3235029795496,47.5047542601296,47.5047542601296,30.0647279748484,44.9422360236159,42.8136817531556,43.7132882161407,26.172865873849,26.9086852881189,37.0140218849692,35.2609637080515,32.4467033532809,33.3589043469159,45.8865679365065,51.2684721657358,46.2057342567199,47.5047542601296,38.3193185478057,49.1800058012164,50.5626439592561,44.0173381804718,45.8865679365065,50.9143349603148,41.3552905803998,44.0173381804718
"kbl",398.932264786176,372.216964433999,424.611607456994,374.80593816208,340.143568408707,458.252836315122,410.147777325886,401.707058123136,337.794025157861,442.643062429627,359.537888188927,401.707058123136,310.833890405132,357.054378585704,415.873226934392,396.176638346852,390.722357493903,396.176638346852,398.932264786176,407.314679682518,342.509454025245,415.873226934392,321.795423877588,393.440046409731,442.643062429627,436.549064585194,340.143568408707,382.681407650544,424.611607456994,442.643062429627
"eutN",65.3447760452604,69.5510312016677,73.5166947198102,71.5063768366221,71.5063768366221,71.0124462123421,71.5063768366221,69.0706071362834,82.7105811607995,72.5045686589311,63.5579197079703,69.5510312016677,59.3016359609837,52.7098251051247,73.5166947198102,70.0347968806873,67.6491545959284,63.5579197079703,76.1092553601741,70.0347968806873,72.5045686589311,65.3447760452604,65.3447760452604,72.5045686589311,78.2489777722924,64.8934067065618,78.2489777722924,79.3412927960951,73.5166947198102,66.2569551258482
"yeeT",71.5063768366221,83.2858787482837,70.0347968806873,65.3447760452604,64,75.0614367508403,59.3016359609837,67.1818677518763,69.0706071362834,72.5045686589311,89.263594646426,75.0614367508403,97.0058602566655,116.162451880597,92.4114685134398,79.3412927960951,82.7105811607995,95.0095085202592,59.7141114583557,54.1916999912017,72.0037430200838,64.8934067065618,64.44515520363,66.7178086938318,66.7178086938318,73.5166947198102,53.0764509321243,57.2816045393902,79.8931551297032,62.6828990455633
