"","900","900 | 1","900 | 2","900 | 3","900 | 4","900 | 5","900 | 6","900 | 7","900 | 8","0","0 | 1","0 | 2"
"mrr",625.7108,749.0485,917.9439,1990.271,1360.332,2961.767,1223.206,816.5143,746.1516,970.3168,956.7291,1177.545
"pdeF",29.912,29.0215,29.94538,98.99846,52.77408,45.58261,65.29614,106.2686,116.2876,44.3059,30.34574,20.72809
"ycfK",31.39313,1.503988,10.89752,21.17373,35.16796,7.489273,18.37519,26.23874,28.90524,13.48905,12.73604,20.77025
"yfbN",29.97051,31.29064,31.01687,20.46807,21.47523,13.17472,13.9661,2.215731,42.24295,27.96333,7.818407,11.8196
"ggt",289.7703,232.1361,333.9832,96.90989,51.23103,166.4844,114.8397,106.0019,128.8491,97.28923,53.09456,67.69109
"yajO",3587.299,2291.847,2219.877,3038.145,3284.192,3244.619,1115.613,724.4552,745.0493,3135.285,3673.367,3441.069
"ygeK",4.129604,12.69018,2.070014,0.7127073,1.770755,9.190974,20.90465,27.22902,22.03773,1.05792,0.607915,4.55448
"rimO",229.4751,360.5002,239.991,86.48467,100.2756,41.74187,208.8283,349.6371,289.9688,123.6206,31.89434,83.37056
"frc",33.40356,39.93235,33.65495,53.88737,92.81104,5.370666,26.14625,33.74121,83.76486,15.90606,85.64534,11.42552
"speF",45.87843,24.49058,38.38628,53.25108,18.25071,11.16116,44.31676,45.91636,77.89462,33.66443,32.72093,39.12867
"nanS",26.29429,39.66798,48.47299,2.010942,11.77521,1.884639,24.67297,28.45109,6.385108,44.93917,10.72736,19.91878
"rnc",2157.253,3177.892,3024.976,322.5064,385.2243,336.7997,3271.167,5121.449,4511.281,2577.21,1336.423,1562.831
"slt",585.8932,609.7153,699.523,3295.204,1877.928,2287.086,467.2752,452.1931,487.8801,912.4883,1312.469,1420.518
"fkpA",2323.202,3397.675,1859.565,11444.93,6099.841,8836.063,4655.683,4942.463,3482.4,2005.985,2083.952,1666.185
"yecF",127.7181,150.834,187.4748,126.979,60.71675,87.14754,432.5043,523.593,397.106,123.8613,94.02383,44.70132
"menI",3481.2,3424.245,3323.664,2965.405,5601.686,5171.193,841.4484,1158.733,880.0983,2034.149,4032.475,4296.698
"ftsK",532.0516,642.8279,750.5789,620.7563,366.4066,464.4528,138.5374,156.823,215.6836,462.2672,182.9273,305.3734
"ftp",110.566,114.0475,67.68692,9.911794,80.08665,19.56585,71.67787,75.47643,89.96712,118.0141,99.42092,83.93886
"thrA",1492.648,1833.593,1947.044,6516.779,2217.688,4260.726,701.5026,465.2725,525.2139,1196.923,847.0663,1536.125
"yghA",68.68178,42.30061,83.94243,52.05049,49.3241,157.1277,45.76707,53.26869,39.37941,59.90467,115.6337,90.36662
"yggN",617.1464,1152.607,753.9643,830.885,731.437,904.3068,2999.788,3063.107,2880.9,416.1709,323.1174,292.0208
"ydhL",92.40504,93.79327,129.1652,168.1487,156.1922,85.30884,88.38789,106.7889,182.1325,156.862,231.6065,169.3833
"sokB",5540.624,6001.705,4978.518,5312.819,6692.112,6956.021,3826.103,3488.513,3766.315,6180.133,5276.193,5074.848
"ycjW",290.7979,407.5869,682.8524,35.04656,29.0399,57.21851,134.7603,191.1425,166.5795,74.90143,30.92786,28.89968
"mdtJ",337.7718,950.9623,491.1505,82.72232,144.807,53.17888,1523.111,2495.271,2222.687,1379.596,474.2544,528.3232
"higB",41.04403,80.24543,62.55247,41.39944,34.95353,80.13655,339.5683,250.9064,430.5673,53.19627,72.94236,26.86494
"kdgR",1180.518,1508.622,1469.125,344.0115,258.6449,244.4574,2853.414,4184.659,3986.153,717.9828,1027.99,678.4943
"fau",275.1804,617.2684,877.1855,184.8904,235.1516,113.8011,262.5793,247.4451,457.806,172.0166,115.7222,111.033
"yqeA",227.7791,413.6722,430.6335,420.9998,486.0886,343.5022,344.0468,628.4169,911.6013,413.6384,673.9097,439.8981
"cbeA",38.86647,24.92297,37.57104,6.715457,1.878158,3.210493,7.12796,19.95616,12.71563,4.682127,1.319548,17.31841
"hycB",4.748384,5.805654,4.903036,16.80884,12.01898,13.18844,2.040189,31.47722,62.09738,2.188751,5.321502,1.736904
"grpE",4769.339,3753.124,4147.917,6097.882,2805.707,6164.83,21707.31,6248.355,17071.16,6730.018,4567.587,5790.131
"arfB",225.0056,260.2249,238.7522,282.4773,331.5868,406.3456,232.7982,342.1812,294.3729,501.8208,508.4507,413.4
"pepA",3085.544,2466.237,2962.091,7322.42,7587.568,9030.055,5034.025,3505.036,3237.492,3146.04,2167.15,3687.755
"plsY",855.0704,825.9352,866.4324,908.1022,545.5983,1276.643,2098.12,1892.468,1177.229,470.8782,136.3162,305.7605
"ypdE",66.35445,51.34974,70.35664,77.38625,42.67219,115.6202,51.76323,147.363,162.1036,147.2512,128.3273,111.8565
"tdcE",102.2054,107.4506,88.99187,1457.291,399.7092,293.7054,52.55739,64.38867,115.054,1092.88,477.7647,723.6368
"fruB",909.566,667.6117,335.7452,1871.848,1829.365,1772.945,262.8186,205.4724,162.6033,649.9772,853.541,906.8484
"osmB",484.7434,493.3631,507.5113,586.8544,477.9863,412.435,1521.331,1380.849,1499.119,417.7124,1080.75,677.9196
"yoaF",1113.781,512.9057,419.3093,1062.774,1275.983,2011.27,1200.755,2203.416,1320.589,1159.343,1420.604,852.2126
"yhcN",48.5926,91.62587,114.3906,25221.23,21838.98,19102.96,1944.514,1974.73,1937.351,6472.84,9358.836,9321.739
"ybbA",341.7051,347.9852,360.4495,1234.094,1002.518,1124.891,2617.537,3648.091,3124.152,530.2338,836.6599,1039.383
"ryeA",1418.918,1135.488,897.6095,94.7354,169.6263,325.466,2290.471,1443.709,1079.353,1390.311,2266.528,1194.468
"ygcW",11.19332,9.121785,6.018873,17.91678,4.313795,5.521842,25.56206,22.61765,17.73217,9.846128,22.59138,14.63827
"ftsP",900.3649,1056.43,1130.534,949.3077,718.6271,911.8878,407.2128,267.1293,399.5725,730.134,633.6693,923.3068
"kefG",277.9679,316.3305,319.2314,1587.432,1436.114,1767.055,1439.885,864.9002,781.4391,2343.89,2136.168,1949.697
"lspA",6380.259,5423.742,6368.756,12054.87,16613.48,6967.577,2699.034,2774.103,4310.512,4723.573,5541.191,9120.901
"nanT",180.7752,132.9183,132.5448,1934.163,795.1113,1092.435,48.77995,20.11568,5.548883,2505.888,423.3524,1113.374
"ttdT",55.67199,55.97865,31.13429,211.1547,129.3424,97.58744,50.93667,50.68747,118.9956,9.804795,47.14846,52.87122
"mntP",66.77286,66.74094,27.94603,96.91293,62.13862,73.00597,116.6822,136.4662,206.9037,184.2361,67.93061,35.49392
"ydfT",26.90613,26.45893,32.09087,35.80516,63.43696,50.85984,33.76184,57.5075,32.40514,13.41655,30.17732,2.086114
"matA",18.84599,29.2541,23.28027,3.429158,20.35169,1.848175,3.764641,11.7872,26.78804,1.928222,8.140971,14.56013
"yajD",2550.923,1933.127,1790.894,2905.961,4904.581,2304.177,2626.772,2151.125,1589.655,1527.887,2345.802,1640.914
"ecnA",231.8513,294.1743,491.5887,116.281,84.81309,89.6666,1083.027,1516.443,1404.399,248.7746,115.6385,169.7284
"fruK",349.8372,218.6062,265.0573,815.2039,579.2366,869.4902,194.6777,178.258,203.2568,427.9899,466.6201,739.3856
"frdC",702.9954,305.3036,431.1581,1301.194,1870.544,2213.733,131.9533,65.26467,127.6569,760.8959,1023.125,1578.003
"wcaE",41.00417,32.56362,42.84845,3.848485,36.54357,9.236401,20.70103,16.17226,26.77038,15.49224,9.342263,3.615664
"lptB",1888.184,2186.464,2517.427,2138.844,1480.61,1430.382,2028.895,2045.842,2242.729,3344.852,3024.347,3611.529
"yiiE",6.02183,52.77734,29.23656,27.27257,31.90118,45.62606,55.84732,29.97935,39.40397,39.165,56.83038,22.6552
