"","176400","176400 | 1","176400 | 2","0","0 | 1","0 | 2","0 | 3"
"ppdD",0.025913907,NA,NA,NA,-1.343057477,-0.727742567,-0.163842253
"yafE",0.139184289,-0.031277348,0.478159859,NA,0.061316642,NA,NA
"betB",-0.302855957,0.341108556,-0.315875024,0.304790328,0.036330458,-0.128363414,0.163873257
"nhaR",-0.210473254,-0.117489622,-0.120987709,0.275423254,0.113986629,-0.589676348,0.136547663
"coaE",-0.039578896,0.000875395,-0.051272384,0.102332089,-0.022366799,0.074986573,-0.038771868
"gmhB",0.316859658,0.413291604,0.321873886,0.690254233,0.253937275,-0.51617899,0.352385605
"insL1",-0.196066096,-0.155640757,-0.062622977,0.126184931,-0.223817134,0.394800957,-0.232297011
"secM",-0.170323883,0.03127359,0.014356935,-0.295008535,-0.254995131,0.132581042,-0.314288186
"rcsF",-0.1258719,-0.09140553,-0.149375382,-0.048168763,0.026037323,-0.221789229,0.024533199
"ykgE",0.123469863,1.072820389,0.099273125,0.223352237,-0.242686932,0.596864756,-0.07242655
"mbiA",0.270605153,NA,NA,NA,-0.120881081,NA,0.81620752
"ftsQ",0.095184987,-0.083158084,-0.009817724,0.350832013,0.105963424,0.487419326,0.110763134
"nlpE",0.238674005,0.030150836,0.103617622,0.394799787,0.260381472,0.052351048,0.205657963
"talB",0.068342456,0.143030707,0.054578696,0.289792201,-0.083751815,0.128338498,-0.06639969
"tilS",0.13351199,0.507078718,0.238072891,0.279841344,0.035560022,0.443863683,-0.086882467
"eaeH",0.055110854,0.096027396,0.078167486,0.225104399,-0.071833204,0.61475011,-0.211219085
"thrC",-0.235199342,-0.169220693,-0.257631552,-0.835237079,0.05966859,-0.393571031,-0.028935394
"murF",-0.197721472,-0.614100226,-0.225059354,-0.087084515,-0.155595819,0.615306873,-0.271860622
"dnaE",0.961825016,NA,NA,0.457400491,0.02001701,0.775707626,0.310790202
"ecpA",0.10449252,0.399257402,NA,0.356456505,0.127367475,0.091370673,0.096893148
"ribD",0.1132938,0.487649093,0.474685484,0.297462108,-0.079939439,0.263194396,-0.093674101
"citT",0.481117494,NA,NA,0.536581737,0.068127609,0.480429959,0.302813568
"ybgD",-0.019621896,0.030325186,-0.011676427,0.242813832,-0.065296944,0.563122277,-0.202565086
"yajD",0.09838552,0.013107174,0.115203727,0.133205064,-0.12282772,0.510503592,-0.24474053
"hyi",0.358947914,NA,0.188181742,0.355942851,0.401126811,-0.099353637,0.234267701
"ybdR",0.262037901,NA,0.050093281,0.478392787,0.074295573,0.539429161,0.087108879
"abrB",0.098688639,0.254401643,-0.047423917,0.393466517,-0.1422924,0.464917793,-0.28944576
"tgt",0.436710516,0.424273109,0.242557095,0.514835293,0.367472128,0.47167212,0.403455632
"allS",0.342274293,NA,NA,0.402331583,0.250569347,0.377767618,0.307601869
"dsbG",0.270997923,0.068247251,-0.042354604,0.364493221,0.118448196,0.391934702,-0.033281283
"pxpB",0.507835067,0.075948574,0.2523587,0.211588764,0.072949988,0.037021104,-0.10136309
"proY",0.579321978,NA,1.032993968,NA,0.431459489,NA,-0.457717317
"ybdL",0.11744069,NA,NA,NA,-0.170600502,0.183947592,0.085181303
"ybgA",0.156890034,0.168533871,0.223788779,0.483222803,0.067275693,-0.071324914,0.268608607
"sbcD",0.08000026,NA,-0.013431155,0.324711613,-0.13816266,0.396409728,-0.246370785
"ybbP",0.324049473,NA,NA,0.681106526,0.078008957,NA,0.003294164
"entA",0.16610153,1.119366789,0.839549034,0.164557952,-0.156273056,0.080433767,-0.008045762
"mak",0.243580191,0.52873626,0.140088141,NA,0.331088944,-0.092855344,0.248072874
"cnoX",0.180915237,0.951774045,0.056793836,0.488255185,0.079582489,0.252054047,0.10312218
"fepB",-0.066591297,NA,NA,0.129449196,0.044389762,0.51343022,-0.399026661
"kdpB",0.332243951,NA,NA,NA,0.141678037,0.395496385,0.602879536
"ybiW",-0.078906698,-0.033785786,-0.277108786,0.256903359,-0.019127005,0.308632181,-0.09960952
"elyC",0.157675014,0.614815425,-0.427027974,0.428593229,0.227432793,0.050174373,0.202186206
"efeB",0.14410585,0.442358451,0.326560689,0.461453035,0.27473838,0.099929285,0.070240953
"cobB",0.318698754,NA,-0.936934222,0.057705755,-0.112608555,0.745744403,0.026607157
"ldtB",-0.317707589,-0.16473439,-0.434352397,-0.028536541,-0.028173941,-0.025426221,-0.02206036
"ycaQ",0.403230719,NA,NA,0.286471086,0.017725213,0.449021495,0.115716343
"putP",0.257102683,NA,NA,0.773942653,NA,NA,-0.183496941
"lolC",0.144696784,0.141707534,-0.110462364,0.430530903,0.187287915,0.251612817,-0.014593776
"opgE",0.048826741,NA,NA,0.418886898,-0.04754591,-0.275444896,0.129554955
"ihfB",-0.055125213,-0.037889913,-0.226969502,0.213453373,0.037454419,0.228634072,-0.077406924
"rutB",0.462076736,0.533955976,0.14138831,0.711885518,0.397880601,0.595358544,0.40845253
"bhsA",-0.054329598,-0.062126566,-0.189104622,-0.494473441,0.048001261,-0.730185371,-0.092426618
"glnH",0.414812591,NA,NA,0.412460112,0.308715272,0.049388014,0.479542465
"rutF",0.050179611,NA,-0.697917447,0.379606769,-0.009178569,0.134076985,0.135633915
"ycfP",-0.040900858,-0.125984841,-0.356910085,0.27306871,0.070721113,0.386613025,-0.031881109
"rlmF",-0.047290945,0.000729823,-0.170027845,0.29279735,0.171341897,0.190094486,0.020879339
"ycaP",0.53838862,NA,-0.353439741,0.867826212,0.208438554,1.671498375,0.246332213
"yccJ",0.347175898,1.897018563,0.302524519,0.541774048,0.425119311,0.29227253,0.503896514
"ycfL",-0.163359978,-0.004218644,-0.062486965,0.064044342,-0.074716898,0.008929991,-0.245090654
"ybiI",0.038174553,0.260912926,0.374429212,0.101260248,-0.191366306,0.611154281,-0.206613369
"pflA",0.206888162,0.163153544,0.133998991,-1.424975738,0.27745883,0.627645091,0.015696859
"cbpM",-0.068616461,0.197562122,-0.23884324,0.399633186,0.331298192,0.253723938,0.010607059
"ycfH",0.021145679,-0.285248107,NA,0.458605192,0.811670731,NA,-0.86761114
"chaB",0.277929011,NA,NA,0.508910311,0.123849148,0.695830953,NA
"ycjQ",0.444189326,NA,NA,NA,-0.048150566,NA,NA
"hrpA",0.144120027,0.099041522,0.05206419,0.552817716,0.458782616,0.01295289,0.25826115
"ychQ",0.006182485,-0.053333871,-0.008296784,0.137671015,-0.042726671,0.068676885,-0.037983703
"ycjM",-0.004617579,NA,0.064511019,0.298019453,-0.015698542,0.565605636,-0.215897487
"ynbB",-0.017249428,-0.17395975,-0.135775049,0.240177991,-0.019894657,0.432802128,-0.025584174
"ydeT",0.540403912,NA,NA,NA,1.091511427,0.280857605,NA
"lolB",0.055457319,1.626073938,0.687760309,NA,-0.078830129,NA,0.170611499
"pspB",0.537198772,NA,NA,NA,-0.082645332,1.377767618,0.186334283
"ydeR",0.94348356,0.821321647,0.609843386,0.46315282,-0.202785186,NA,0.303059837
"ychH",0.034218666,0.014864159,-0.081971688,0.212706154,0.245459941,-1.123976112,0.372006418
"puuB",0.234826288,0.16211877,NA,NA,0.121474651,-0.171904304,0.281094319
"paaY",0.064059648,-0.018817503,0.118857836,0.196884931,-0.089432334,0.452048451,-0.259761291
"ydeO",0.023972923,0.214112133,0.405488459,0.435124097,0.12615911,0.140468484,0.266380133
"dhaR",0.12491159,0.261168169,0.597283005,0.477698134,0.131005354,0.353018508,0.118354314
"puuA",0.022126451,-0.067725263,-0.057309222,0.436789125,0.27193056,-0.327065661,0.524917297
"paaI",0.307076658,NA,NA,0.46093136,0.047494598,0.201676359,0.31888288
"yddB",1.22089051,NA,NA,0.357519239,-0.136089651,0.80373635,0.505969523
"treA",0.30117031,0.543459516,0.303141853,0.408671761,0.352371529,0.298586372,0.186746523
"sapB",0.228163739,-0.184367228,0.43816865,0.323346806,0.229230266,0.176970486,0.228989657
"paaE",0.17841749,0.514096769,0.073760622,0.351621477,-0.01406278,0.298586372,0.029404699
"digH",0.152893431,NA,NA,0.206644768,-0.175054844,0.076737622,-0.018180949
"ydgA",0.092170936,0.078329484,-0.122692965,-0.063716408,0.186089205,-0.137085557,0.150065209
"yoaB",0.551558559,0.569676492,0.376634092,0.658467837,0.377594848,0.421486847,0.46410305
"pgsA",0.542892712,1.18972317,NA,0.630442799,0.479467215,0.455124094,0.469675953
"tus",-0.164471439,-0.148400391,-0.113546308,0.039648774,-0.359828027,0.301213755,-0.452728072
"nlpC",0.330888897,NA,NA,0.494101957,0.0404174,0.278744245,-0.015729073
"fadD",-0.270801953,-0.040736365,-0.093343909,-0.014893367,-0.168475905,-0.045689321,-0.427234584
"ftnA",0.956287101,1.043735207,0.970692083,0.893761946,0.337360453,0.776032819,0.426057756
"folM",0.184921093,0.101381011,-0.055905545,0.067636107,-0.096406308,0.378894193,-0.375089195
"aroH",0.340648734,NA,0.47713222,0.418185675,0.161389949,0.496366176,0.1605456
"yeaV",0.171497173,0.405156818,0.050750922,0.422110554,0.213319948,0.303264634,0.009384085
"araF",0.292818235,0.397942733,0.143242452,0.374499735,0.672299357,-0.150711451,0.321258243
"pntB",-0.067259957,NA,0.233653418,0.041904727,-0.164731569,0.387809556,-0.217134161
"ydiT",0.153562091,NA,0.541632274,0.458605192,-0.21153386,0.510675284,-0.260752266
"yeaR",0.173556631,1.201243593,-0.667547508,0.438305755,0.02051363,0.414068867,-0.106431302
"otsB",0.143593408,NA,0.875249637,0.29196054,-0.139931682,0.519607105,-0.295591163
"ydgD",-0.438564686,NA,-0.172186852,-0.012503696,-0.188763347,NA,-0.676412462
"ydiP",0.255627997,NA,-0.235713982,0.443142069,-0.082937885,0.29571341,0.03880216
"nimT",0.045238154,0.436434095,-0.081617017,-0.019095789,0.165136231,-0.150318357,-0.021917904
"flhC",0.274912241,NA,NA,0.395971973,-0.029310743,0.110346223,0.053149316
"mlc",0.20251037,0.250060731,0.165499484,-0.47390167,0.049113301,-0.149106771,0.00971067
"ydiB",0.369753705,0.179658672,0.299949279,-0.095760304,-0.319265806,0.728015636,-0.372761118
"dgcJ",0.055767641,0.271925006,-0.015076329,-0.00315799,0.196605847,-0.109231407,-0.224455241
"cheW",0.350249585,NA,0.701081862,0.526639078,0.051675913,0.426459542,0.027123559
"hisD",0.092749827,NA,0.335536373,0.275207776,0.006081232,0.34592025,-0.068061745
"yehI",0.368908404,NA,0.312834664,0.495604844,-0.030073667,0.390176876,0.061807786
"rcsB",0.235402148,NA,0.079602686,0.571662904,0.220854884,0.140223879,0.432110739
"ubiX",0.207371748,NA,0.715419578,0.288996061,-0.031492809,0.217664464,-0.025075317
"yeeY",0.461222666,NA,NA,0.600749922,0.01962942,0.66705921,0.303475099
"mrp",0.084837832,NA,0.076249422,0.094222589,-0.442033923,0.624128517,-0.014354541
"ada",0.867762846,NA,NA,0.555099414,-0.413638551,-0.426712572,-0.081026722
"hisM",0.095734681,NA,-0.187300954,0.370593416,0.12366991,0.045180656,0.031641168
"sbcB",0.288859279,1.175482731,-0.563103077,0.574492549,-0.234030718,NA,-0.221645663
"yehB",-0.053794014,-0.058495863,-0.124578841,0.170871498,-0.235206076,0.240069029,-0.057202991
"eco",0.326524092,NA,0.238298323,0.601455518,0.560807345,NA,-0.531819038
"folX",0.452079286,-0.639097785,NA,0.280222137,-0.128998971,NA,0.422423472
"tmaR",0.248426145,NA,NA,0.494517748,0.324249519,0.321363586,0.460957603
"rcnR",0.549358754,NA,NA,-0.113060514,-0.300281687,NA,-0.118815283
"napG",0.281725158,NA,NA,0.581252132,0.321047006,-0.156258488,0.239492788
"yfcD",0.405293879,NA,NA,0.829835135,0.507722732,0.244080207,0.757311734
