"","0","0 | 1","10800","10800 | 1","21600","21600 | 1","36000","36000 | 1","57600","57600 | 1","86400","86400 | 1","0 | 2","0 | 3","10800 | 2","10800 | 3","21600 | 2","21600 | 3","36000 | 2","36000 | 3","61200","61200 | 1","86400 | 2","86400 | 3","0 | 4","0 | 5","3600","3600 | 1","3600 | 2","3600 | 3","7200","7200 | 1","14400","14400 | 1","0 | 6","0 | 7","3600 | 4","3600 | 5","3600 | 6","3600 | 7","7200 | 2","7200 | 3","14400 | 2","14400 | 3"
"aas",755.3,654.4,1993.1,1726.7,1758.9,2282.8,2891.2,2374.7,2819,2594.7,3702.2,2728.5,1335.2,60.9,2831.6,2085.8,2166.5,2698.6,2699.9,2481.7,2750.1,1947.1,1641.4,2176.2,1036.7,1178,1422.1,1068.3,2456.3,2379.4,1860.5,1469.7,1791.3,1299.4,811.8,964,1227.7,1632,1409.1,1176,2675.3,2468.8,2331.1,1250.5
"aat",801.2,594.8,1051.5,1031.4,1499.3,1349.5,1120.5,1271.7,1700,2240.6,1974.8,2351.8,592,597.7,1029.7,1228.9,927.8,920.2,1096.2,1138.8,863.8,1339.3,562,444.9,794.4,816.9,646.6,650.6,604,976.9,646.5,719.1,708.5,846.5,894.6,974.6,464.4,336.8,936.7,274.5,294.2,175.8,335.7,299.3
"metN",1143,1310.3,937.1,1059.4,555.7,348,374.6,489.7,575.4,475.2,497.3,330.8,1436.9,153.6,994,724.8,600,449,746.7,529.8,788.9,655,1256.5,1283,1066,1119.1,1954.8,2028.7,2574.6,2459.1,2265.6,1999.2,879.8,870.5,1701.9,1647.5,1519.5,1544.4,3374.8,3816.7,5758.9,4895.5,2504.9,4416.3
"abrB",522.1,315.1,328.4,273.5,181.8,397.4,588.9,312.2,427.1,361.6,537.9,201.7,1235.9,1033.2,334.3,348.2,397.9,384,411.9,701.8,477,431.9,2097.4,931.6,782.3,811,876.6,912.9,791.9,470.3,992.7,366,672,658.1,699.2,627.4,854.3,1068.2,814.4,825.5,921.3,875.1,2987.2,2706.5
"accA",3372.4,3761.9,1707.1,1893.4,1647.4,1703,1737.5,1443,1463.1,1918.9,1145.4,1090.1,1717.6,347.8,1406.4,1364.6,1359.5,1089,1234,1423.8,1154,1195.8,584,1431.8,2041.9,2271.2,893,1257.8,938.9,1031.5,829.7,1135.9,1224.8,1313.2,2494.6,2806.1,1772.5,2058.6,1519.2,985,945.4,892.5,187,670.2
"accB",13760.6,12501.6,4026.4,3729.7,4533.1,3378.6,3960.2,3751.5,3575.5,3785.6,2242.2,1986.9,18460.7,694,3670.5,3567.9,4105.1,3998.2,3981.4,3474.5,2678.1,2582.4,2800,2661.5,6748.3,6440.2,5354.1,5238.6,3276.4,3486,3349.7,3589,3605.1,4001.1,19204.9,15804.5,12556.6,10498.5,10366.2,10349,5403.9,4584.5,4573.8,4108.5
"accC",4423,4388.5,991.3,1018.4,1125,723.8,1027.6,1068.3,764.1,805.6,725.9,442.4,5130,455.7,1788.7,1440.2,1407.6,1553.1,1467.3,1610,986.2,1070.8,1004.2,1296.2,1871.1,1798.2,1310.6,1440.2,892.6,994.8,807,965.9,928.7,696.1,8805.3,8786,4888.3,3120.3,3519.7,4078.5,2232.6,1980.1,1862.8,1441
"accD",7609.3,6383.8,4867.4,4433.7,4736.4,4372.7,6376,5261.5,4314.6,4758.3,4014.3,2575.8,8044.7,368.1,4114,4411.3,3753.6,4209.5,3957.3,3543.3,3692.2,3578.6,3057.9,3461.2,4825.5,4969.3,4786,4234.9,2480.2,2996.7,2424.3,3043.3,2981.9,3425.3,5074.1,4620.8,4183.1,4300.5,3916.8,4231.4,2272.2,1992.6,1779.5,2095.4
"aceA",1371.3,1392.2,42931.1,44806.8,55520.8,48961.4,67906.8,56782.1,46086.6,47870.6,28886.1,25856.6,145.1,243.2,2495,2619.7,7953.6,7097.1,11145.8,11310.2,1234.8,3384.9,1513.5,1967,3025.3,2867.1,10682.3,12304.8,8891.9,9447,8352.7,8739,9192.1,8459.8,207.7,331.7,292.6,541.6,413.7,456.8,773,953.1,858.7,1433.7
"aceB",3918.8,3079.4,55560.7,59079.3,77878.3,65406.5,103967,75433.7,83481.2,76165.9,84015,74002.4,138,14.8,6066.3,8475.6,13491.4,12884.4,17171.2,14144.1,2462.6,5075.9,2970.8,3773.7,9098.9,8829.4,29699.9,33375.7,28548,27307.8,25775.7,25879.8,30565,28084.8,35.2,92.8,303.7,184.4,235.4,126.6,966.6,1026.6,556.2,2304.8
