"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"pdeF",1.68260903947607,1.47733806358256,1.64125567550053,1.69231719320058,1.65129742953289,1.85279080670276,1.81126796603565,1.76234942619339,1.73652117146732,1.74013592275873
"ggt",1.91228824300716,1.9447706151605,1.86761877882357,1.77571493901488,1.80575229004744,1.93844526642625,1.76198299403264,1.79054651794866,1.89198414655835,1.78546518139312
"yajO",1.41274393928911,1.55186170854971,1.62585657992728,1.49536741369194,1.46165213619156,1.55293775000208,1.44603252240866,1.45518240076813,1.36074807958667,1.46246287300049
"rimO",7.36660557764032,5.97276930692032,9.49718528455085,6.9225328752659,8.24546010643445,7.41116322681105,8.18623453229416,7.82884781918956,7.47513689411484,7.06309254643442
"frc",1.89132854843299,2.01363193210415,1.90435177464411,1.93844526642625,1.84727672432425,2.19953719809607,1.74581416745673,2.20518546903122,1.76687502687436,1.64809567949439
"nanS",1.54735047034995,1.38184902350875,1.502536460759,1.52880033546613,1.6958399292663,1.49495286728025,1.75698271701774,1.67748515584836,1.74969080493335,1.70834576209164
"rnc",29.6878353539212,25.3567861968716,21.9416482573665,22.7295938487355,26.0877388656887,20.8359070331045,27.9156065846643,22.2202015847007,26.0877388656887,25.9057419790013
"slt",20.2184430553325,24.16086162702,23.970697764776,22.7895415888182,18.6331541007939,27.6824552306381,17.858017201968,24.2481033302627,17.4215369401232,17.3083944564568
"fkpA",72.0187173343796,79.2149046244814,86.0855984871006,67.9640537385245,67.1865246054904,68.4415249569551,61.3461117277392,64.4943109163208,59.153843291034,62.9354074328579
"yecF",15.1316771990532,18.3041642752765,21.849070484935,23.2506637961465,21.9599063996135,23.6751227395245,16.0689081611009,18.964113137157,13.9027656606936,15.2464345920019
"menI",11.3490528859335,13.1665001334467,9.81167875997151,10.4991454264636,11.4756184413032,14.6263714394239,13.9239824918108,11.4684618104936,13.5225938025872,13.0628700329866
"ftsK",1.77928794113551,1.65691546631378,1.53783423302962,1.55519986626945,1.76589553491767,1.71249526610568,1.86761877882357,1.61250093826916,1.86529006940657,1.95125184995077
"ftp",3.28455972699565,3.46462690177799,3.67157736553652,3.10329317949475,3.4316442500172,3.62077869301717,3.38252360005419,4.21519683041225,3.36545134617882,3.31842806351525
"thrA",19.750263552607,15.7709755609416,39.4294040474515,14.3731064588777,16.8280954361711,14.9876262366373,22.0850776543461,19.1888985824691,22.6870952536376,22.0850776543461
"yghA",2.46211815974897,2.32012092377309,2.08334244671728,1.70834576209164,1.92732517339132,1.92132289924659,2.44494159101537,1.86180244846941,2.24264303084709,2.61552398509808
"yggN",24.0156008679337,29.782645404546,32.1489563709002,28.9983719409161,26.1511049473933,33.4492046040233,24.6480225111885,26.1094470637933,23.3621314539065,23.2958327839854
"ydhL",2.61552398509808,2.53555224251945,2.44680647668465,2.01852296410158,2.3991111520818,2.45462051375263,2.05295214765341,2.28026263500003,2.06809147531867,2.19131973041932
"sokB",1.59537989247801,1.63353798222005,1.31530739029793,1.48072117330045,1.38367008943266,1.45316648725916,1.36188038886937,1.39319770354877,1.35510063908015,1.53964740838434
"mdtJ",24.9799727840107,34.9931346395082,36.0893186262282,34.9931346395082,32.8586203193204,34.315774231985,12.7639238369445,22.1264485201377,10.6589986007362,15.0751452757077
"kdgR",18.1941153524312,18.4097738592107,16.5849182990709,20.8359070331045,18.1613557613072,19.5378525364544,18.7874843856481,18.1148380151448,18.0747025467898,19.7954917303699
"yqeA",3.83041312279429,4.29095865427395,3.42974186988844,4.03508761642893,3.48365076157683,5.13477122490279,3.69583410520973,4.55736525007326,3.64545779767084,3.84477720467073
"cbeA",1.44432959320716,1.66994431937007,1.47110477310909,1.55132396745458,1.48267253761423,1.55132396745458,1.5380474369,1.48843889941807,1.98632266749817,1.46327405950203
"hycB",1.31412271203785,1.2734126490767,1.42405019559707,1.37268443125491,1.37430288760548,1.35191083302813,1.3685043305195,1.36084240272511,1.39397047063364,1.27871965135278
"grpE",79.9596360327696,94.0007263810586,59.9796001709577,76.0987051083253,78.1676629644781,96.4226383039786,69.570317515668,85.6926760044452,68.7982517696829,70.8305578670725
"arfB",9.0079573705909,8.75495643639166,8.2964836520825,6.48182468334407,8.13588902100766,7.7141115060156,8.08753471637679,8.27580699704145,7.41938702924505,8.15169458576359
"pepA",27.8286689334828,20.7969491536812,27.3183794664628,26.4006217284315,25.2620532816295,22.0162980356189,28.2876416759919,25.2095768983026,27.0920939735486,26.8509271584593
"plsY",8.46846212772279,4.80121652484818,4.95402105441357,6.37400433366585,9.21765646157062,4.13274400079403,10.2226689403449,5.50636406520804,10.6530896353385,10.6922976530376
"ypdE",1.85986769976603,2.23194271583801,2.0826205403498,1.98894033734643,1.84842947503638,2.26623897274436,1.98164701176949,2.17723932624926,2.11432916906745,1.71071567450704
"tdcE",1.69349062472505,1.58897893600209,1.44043044716891,1.54028786290999,1.64319078936242,1.50076698934276,1.63830049665189,1.5257303394782,1.62191700792484,1.59637545274409
"fruB",4.72397064571812,4.58365989213712,3.9372818734693,6.01681500555475,6.00098781303872,7.37631363848063,5.19383434268318,7.37631363848063,5.33874262532048,5.5809085257746
"osmB",45.0451539130164,45.1170239060451,35.4570351316776,38.284804894222,50.3458166066631,34.2753620468465,40.4985963203063,36.4286089303961,34.5544593173907,40.9672742087806
"yoaF",7.97619123601622,7.17063060956887,4.77764612859409,7.00847229398225,7.63802689508834,6.67792550668742,8.53682733639764,7.39218057957459,8.88948598010071,9.10778351416662
"yhcN",7.06701024269775,7.42298781177026,8.08753471637679,6.47194792719914,6.20400564896888,6.73370257827149,5.43055632395517,6.5016234370063,4.02335767857793,5.4331918856581
"ybbA",14.1389198125599,14.7894859162775,9.21765646157062,10.8739183855868,12.2041507440139,12.6546877080813,12.8260052703903,12.0344641476895,13.9239824918108,12.8857088703348
"ryeA",194.132789082019,178.502441884669,85.6926760044452,183.203086613173,205.800118113035,188.876578203599,206.815427786983,179.445259376012,204.37855285811,215.269482304951
"ftsP",11.5202490432578,12.076244780657,12.0519943784522,12.0177923965498,12.355658528775,11.0877905114937,12.0519943784522,11.4979120873842,12.5281370942999,11.7224319583866
"kefG",10.2731022188283,12.0094651839589,11.4843714996404,9.74660650270532,9.27533892877032,12.8598329769197,8.40355635208603,11.9273364597139,8.21123941114295,8.35940350042649
"lspA",36.6591136634171,34.4134350544159,38.075735498183,28.2543285586828,33.2504048139933,31.7591412895783,34.0291686301193,35.8972146214001,31.4045131728914,34.5880074488852
"ttdT",1.65955909149138,1.86995039550291,1.69431251087604,1.65324438307199,1.54885275740849,1.74049781147635,1.55649398328599,1.84676462145879,1.65358820132312,1.56927696601422
"mntP",2.51524685840716,2.06938202041651,4.99124596305589,5.04446056016984,3.70583847365229,1.59969847599552,1.74291232700588,1.89198414655835,2.04670049462467,1.7415839292546
"matA",3.37854015008052,3.04659979854505,20.366130588091,21.1384838713025,10.952588750698,8.41229824795205,7.8228808960822,8.74403999577214,5.85309623800813,13.4180209851635
"yajD",43.6769436425433,53.4456268434156,44.8209089093854,55.8350832282526,46.2794559672801,67.9640537385245,45.3962115437341,55.8350832282526,38.284804894222,47.1504619350271
"ecnA",3.5384069965095,1.65576737797295,1.70314350495675,2.02314538927559,3.2602893296105,1.61361902620316,5.02596282419732,1.81705236915928,4.64378120429617,4.1479543017936
"fruK",8.07297262718601,10.0338265560304,7.20800494049163,10.6922976530376,10.9396903663763,13.8806189944331,8.27580699704145,12.6871841372559,9.0976882580576,9.14257147281795
"frdC",14.2343035290841,12.4381498646317,9.29400228792439,12.8973253038875,14.0072321488071,12.7003821260495,15.8938860370657,13.7294316583071,19.5378525364544,15.7185910389309
"lptB",30.7710122808534,34.4492340248795,37.8835598625404,34.315774231985,29.782645404546,35.651725551267,29.1838840992249,36.312642124561,32.3815468728662,30.0355671320638
"yiiE",1.32152159475376,1.23516176575176,1.20974250418059,1.21579500777419,1.22943886725458,1.24323584045919,1.29477373023081,1.2344770365002,1.25205678947598,1.32289632274772
"yiaK",8.9110781885258,9.75606925926519,7.16069689190843,9.06307108236639,6.33875716482448,9.57584632617317,7.16069689190843,9.76689508831053,7.13542815536074,7.60369150223442
