"","61200","61200 | 1","61200 | 2","61200 | 3","61200 | 4","28800","0","28800 | 1","61200 | 5","0 | 1"
"thrL",446.4,387.1,958.2,493.3,164.3,569.4,397.5,433.1,67.6,492.6
"thrA",448.6,503.3,469.5,660.8,649,826.8,1209.8,601.7,598,549.1
"thrB",253.6,255.8,279.7,369.1,332.1,446.2,797.1,406.5,350,433.8
"thrC",638.4,657.6,684.1,843.1,895.2,892.5,1054.8,866.3,616,762.3
"yaaX",322.6,298.1,284.6,389.7,420.5,477.3,567.6,551.5,207.3,497.8
"yaaA",387.9,260.1,385.6,341.3,424.6,469.4,313.8,449.3,320.2,497.7
"yaaJ",499.7,492.6,544.6,725.9,693.4,592.9,445.3,712.3,510.6,668
"talB",799.1,630.1,557,655.1,915.6,1165.5,1126.1,787.7,964.8,1065.8
"mog",484.5,518.6,474.8,531.7,594.7,636.6,1114.8,423.9,523.9,434
"satP",434.2,462.2,565.3,618.3,598.7,648.7,894.9,637,324.5,603.5
"yaaW",450.1,335.1,477.3,516.2,487.3,408.3,716.4,480.2,333.5,486.2
"mbiA",351.1,311.1,344.4,345.3,539.5,463.3,222,349.2,310,528.7
"yaaI",506,421.6,473.5,504.9,571.2,448.9,596.6,524.5,434.4,633.3
"dnaK",1781.8,1008,3525.9,944.6,1036.8,1320.3,2899.4,1618.7,1933.7,979.7
"dnaJ",917.4,586.4,1483.5,653.4,836.2,968.7,2531.3,1128,1129.2,757.1
"insL1",1630.3,1363.8,1578.2,1495.7,1249.5,1188,1636.3,1586.1,979.8,1114.1
"mokC",201.8,135.3,217.1,197.3,115.5,238.6,154.1,285.7,113.5,311.4
"nhaA",690.7,709.5,1370.5,776.5,867.2,1531.9,615.6,1451.3,840.1,866.1
"nhaR",592.2,336.6,413.3,475.3,679.2,520.9,318.3,613.9,453.3,586.6
"insA1",1098.7,5141.6,1141,3684,2274.1,4651.6,3922.1,1200.8,961.4,1276.7
"rpsT",609.8,534.2,610.9,576.1,835.1,674.1,884.9,683.7,576.2,706.5
"yaaY",179.6,94.6,200.1,219.2,212.6,194.5,227.1,204.5,145.2,253
"ribF",498.6,480.1,721.3,529.9,696.7,826.9,958.8,647.4,658.1,591.9
"ileS",373.7,428.8,648.9,565.7,557.7,802.5,2130.8,568.3,458.6,575.8
"lspA",347.2,370.2,418.8,553.7,523,563.2,1017.4,397.7,265.3,538.5
"fkpB",373.3,339.2,517.5,484.6,593.6,525.5,819,466.4,415.8,512.1
"ispH",577.3,581.3,667.6,798.1,903.2,833.3,669.4,822.8,603.1,781.9
"rihC",440.1,484.2,589.1,471.7,477.6,606.4,527,630.8,423.9,448.3
"dapB",305.3,327.6,459.6,428.7,434.1,381.6,595.9,382,414.6,436.9
"carA",352.1,253.6,332.4,360.2,387.1,439.1,720.5,567.7,198.4,448
"carB",544.3,502.5,535.2,632.4,646.8,651.6,1189.7,649.3,483.8,701.3
"caiF",356.8,304,378.1,450,569.9,411.4,175,494.7,400.7,519.1
"caiE",584.2,595.2,576.6,683.6,521.4,448.9,511.9,461.1,594.7,505.3
"caiD",496.7,466.1,391.5,612.8,539.3,439.2,623.8,598.8,344.1,546.9
"caiC",513.4,412.5,386.8,545.4,616,393.7,556.8,504.8,424,592.4
"caiB",795.2,626.8,624.1,746.9,730.4,638,818,777.9,550.6,667.9
"caiA",333.6,246,288.8,300.7,274.9,269.8,277.3,338.3,275,350.4
"caiT",528,386.1,352.8,579.3,398.7,441.3,277,501.9,378.4,600.3
"fixA",324.1,388.1,401.7,460.9,490.1,453.4,244.9,659.8,242.9,722.5
"fixB",426.8,447.8,455.2,630.8,647.7,502.3,454.2,566.2,365.4,486.4
"fixC",446.3,378.3,419.4,462.9,485.2,457.3,550.9,476,426.7,402.2
"fixX",357.9,385,343,381.1,450.7,253,600.1,335.9,248.4,395.7
"yaaU",446.8,549.1,448.6,641.7,632.4,338.1,557.7,512.6,456.9,612.5
"kefF",256,256.4,301.5,309.2,319.6,241.5,352.9,276.5,191.8,383.3
"kefC",688.6,562.8,670,755,779.1,528.4,1030.8,605.4,750.8,762.2
"folA",683.5,554.1,694,750.4,576.5,499.9,673.1,513.6,538.4,702.5
"apaH",349.7,280.8,328.6,441.2,406.5,294.1,470.3,388.5,372.3,430.8
"apaG",548.4,550.2,1130.3,615.5,526.6,800.9,793.6,602.8,770.8,721.4
"rsmA",408.1,465.3,794.5,644.7,557.7,902,755.7,717.3,507.1,605.1
"pdxA",347,292.4,240,347.5,420.1,395.9,555.3,347.9,306.8,543.8
"surA",551,683.6,701.5,846.2,853.4,1036.6,1062.5,812.7,871.5,725.6
"lptD",431.8,417.5,473.4,484.7,453.1,888.4,321.4,586.6,477.3,564.1
"djlA",693,495.5,571.4,538,617.2,567,716.2,569.4,693.8,677.2
"yabP",511.5,530.1,558.6,531.9,575.7,401,402.2,548.3,372.9,454.4
"yabQ",565.5,615.9,603.8,534.7,664,469,163.6,448,334.1,454.8
"rluA",477.1,427.1,863,539.6,417,473.4,521.2,512.8,454.5,510
"rapA",641,568.1,933.7,774.4,503.9,711.3,860,709,520.2,707.4
"polB",413.4,273.5,252.8,371.4,367.4,280.5,525.5,371.6,220,353.5
"araD",594.2,561.5,612.7,603,473.3,535.2,842.6,645.1,739.5,626.9
"araA",436.6,428.4,460.3,624.3,36.5,18.5,101.1,29.1,84.8,12.5
"araB",370.6,364.6,474.9,402.2,55.7,21,25.8,16.2,131.7,19.5
"araC",365.7,320,362.3,482.4,517.5,1165.4,707.4,610.6,365.1,537.5
"yabI",670.6,405.8,472.2,590.1,378,414.5,549.2,444.4,376,454.3
"thiQ",417.5,429.4,414.1,497.2,364.2,335.1,523.2,335.6,362,444.9
"thiP",441,544.8,479.9,612.1,600.8,497.7,658.5,515.2,478.6,577.2
"thiB",369.8,365.7,328.1,523.7,318.6,489.3,434.5,510.4,174.3,499.2
"sgrR",458.7,430.7,557.5,449.5,507.6,339.7,289.3,435.8,373.6,489.1
"setA",382.6,359,341.4,495.7,494.9,388.6,225,522,471.2,548.2
"leuD",376.9,399.3,404.5,497.5,482.4,446.7,463.7,510.6,396.2,493.6
"leuC",368.7,404.7,430.9,542.9,401.5,360,545.3,363.7,434.7,348.2
"leuB",356.8,398.3,367.9,461.4,379.4,417.4,405.6,416.7,256.5,387.9
"leuA",582.7,610.3,750.4,671.9,681.2,500,813.4,562.8,459.6,658.7
"leuL",346.9,317.1,377.7,294.1,496.3,212.9,178.1,316.7,342.5,438.6
"leuO",426.3,328.8,385.5,407.6,570.2,439.2,306.6,440.9,340.4,622.8
"ilvI",396.6,348.7,350.2,367.2,377.7,311,356.3,329.2,278.7,462.4
"ilvH",540.6,458.3,482.8,637.1,635.7,428.3,434.7,659.1,410.6,684.8
