"","0","7200","14400","21600","28800","0 | 1","7200 | 1","14400 | 1","21600 | 1","28800 | 1","0 | 2","7200 | 2","14400 | 2","21600 | 2","28800 | 2"
"mrr",391.299327079048,404.018571622782,389.930724011735,432.558683066422,367.349289233726,409.775468004689,400.396511955354,380.390755737439,398.786390479392,426.96351194384,453.761778796359,406.134348494419,363.929082248575,390.555028338592,401.39046478543
"pdeF",38.0649615288419,31.5611512914325,24.820280728922,35.408983053771,34.6423930300518,31.1135035235135,34.3280288367187,28.0020010864819,34.2232190836015,42.2155197993906,32.041631214834,29.7037644971958,30.5243200194433,28.9892757431067,27.8295684303247
"ycfK",26.2507372096448,23.1071860711501,29.7552492144235,30.9006306449616,27.6790558986114,21.4901134215776,29.8846826803738,28.057503841029,32.617167124113,25.5989965623572,34.7563891048396,25.181699011631,23.1900959645438,26.6686853509436,37.514066875692
"yfbN",14.6731296812017,18.959454492018,16.2582908364082,14.0721843042702,15.4561998342956,12.7980144471552,14.1937857937664,12.1645480867143,13.7658354710729,17.3014500814437,20.8200613112152,11.1819753063228,16.0708037133301,16.263665205565,20.2931004253167
"ggt",102.269456354006,110.684442890688,124.200804474509,119.016219680014,123.46461688763,152.623058843821,163.753061492796,142.999072162218,124.028970647676,146.861569710699,108.098916240779,140.591352445939,147.440792457195,107.663920212922,105.387609501011
"yajO",474.514096456275,492.992902706867,487.943917172533,465.683987224706,454.599240935296,518.055028561612,545.666139511472,500.943917409723,639.532266316649,598.388361821445,552.983983134,557.920962161103,572.381495595578,531.404468109896,536.291125968843
"ygeK",10.2783139088084,11.5581333030649,10.5351918330023,10.0813958553214,10.5457152841267,10.4657218891007,10.0042671278651,11.8544014394418,11.2246885489571,7.78385435034113,12.2825034992838,10.011619033438,10.7501269513159,12.2429300796986,11.5013425861644
"rimO",1423.858868964,1856.28803315483,1654.38149691976,1592.92842675193,1583.7255922979,2161.65785873859,1963.35046960057,2096.29186387939,2026.93816161142,2184.1291021391,1280.19536939156,1406.17273365716,1320.65330699355,1405.12593202957,1291.37866308138
"frc",42.4755689506376,40.9386455314946,38.6795750838443,37.7051646631059,51.6247484260296,40.396144210596,29.3859523026169,28.7518784939338,32.3738091939337,33.5381119357621,39.9675295953312,40.4435326852757,45.3329115321386,33.6915996973813,28.8645759553985
"speF",19.5218329078025,23.0684697385602,18.812259211149,19.0941240341513,33.2544724261283,28.1066481364833,19.4240287504729,23.3201270440149,23.0946208789132,20.6860443527547,23.0815606758198,23.8265768801821,16.8213650662086,21.4889305032631,13.5191055201175
"nanS",41.0075234752236,43.0149981020639,36.3176620501991,38.9947873855486,46.1097675277474,48.2633292386565,46.9432348814408,37.5111490883681,37.3949810927994,34.7916949390075,35.4289205521227,20.6511835228461,31.2349345985819,27.7525242184245,40.2583035078762
"rnc",2589.32535605004,3242.29566297042,2942.02147070617,2589.02641620853,2148.07629457297,2929.48165461143,3020.48802175077,2795.90045364473,2784.53964910262,2716.64835729876,2619.32588629688,2402.18354044594,2284.45384601515,2327.00029774261,2337.75695098551
"slt",737.414656599141,516.161403416357,586.29492316382,629.701994201452,645.964714791056,473.76126021259,470.123020030323,509.506677859062,469.117595913461,439.355714404502,712.443917177526,684.739220845247,695.677688656074,682.00201427864,708.19998306266
"fkpA",1393.7906049714,1625.2998175849,1319.24748696002,1233.86429937058,1407.82308224735,952.943917397599,1461.21720450702,1191.07465753085,1075.86831559035,973.195412220109,1677.99319536157,1550.46574824363,1371.41770757706,1382.70849333297,1460.00012774677
"yecF",229.473443678283,334.888361692132,201.220513291146,188.990593535236,283.228479315447,115.735589402114,192.400482918307,129.454682982792,187.814941495824,139.927931268444,221.03452851025,213.68700878077,243.348325648245,189.789789016188,221.055674112466
"menI",476.274548246796,415.353915670635,426.925211999831,403.095009820781,466.311742385467,591.044957035978,469.055028421876,434.388361641415,444.79603980223,386.116500971149,641.448113169866,535.869828530401,542.432904812928,475.401457131119,462.961535186797
"ftsK",974.551432966541,1013.92312785432,946.240357229949,929.706486472953,883.925921117924,1468.79401511629,1275.26499571055,1095.24032114628,1148.51947117359,1039.58258796785,1037.94391870254,1016.12057982359,969.041930323351,950.3173817398,947.982751913279
