"","0","0 | 1","0 | 2","162000","162000 | 1","162000 | 2","0 | 3","0 | 4","162000 | 3","162000 | 4"
"mrr",495.983165,602.300373,472.0215718,442.7042498,632.9143971,454.9164504,560.8055678,559.0136139,584.6883746,401.1594182
"pdeF",207.0215718,211.1086199,139.1901403,184.9148312,244.2778393,228.0929598,187.1343702,261.2746178,210.3662552,188.7581241
"ycfK",96.92416461,174.6512677,138.1203165,71.36452221,157.1977056,108.4342851,136.290523,195.0169001,94.2018056,107.9419691
"yfbN",237.1215718,263.9987361,180.3365387,170.5804176,173.1091115,128.0601569,368.1215718,213.1320027,176.0790385,134.0435993
"ggt",390.6431314,297.8402805,348.5784364,392.9250389,298.6045449,310.6200974,320.6302702,279.5071246,295.0215718,322.700543
"yajO",2215.96994,2759.466341,2698.123417,1800.68682,2332.26637,1984.205912,2592.58165,2929.383219,2263.226416,2216.873152
"ygeK",46.58667087,60.69178282,61.12956988,53.62158503,60.19306473,74.02157178,64.80721454,82.14477355,58.07532117,75.0511803
"rimO",3456.271572,4494.421572,3295.044422,4006.771572,6270.988336,3686.17352,3468.721572,1888.099756,3194.230264,2411.58569
"frc",153.3153477,144.8191001,87.7765559,148.9929241,85.0107116,113.182111,132.3648028,121.1392068,117.1750953,114.357191
"speF",115.9688505,130.3182328,74.23135528,81.88090579,63.26353525,165.197908,53.39767358,125.4215718,65.60634715,141.6215718
"nanS",119.8215718,102.7898325,42.69139353,79.13111241,69.71587227,170.7685669,80.22144993,78.76746227,88.22157178,127.6633458
"rnc",4204.883746,5738.183534,4855.769778,5675.220204,6493.583138,6532.152681,4563.518927,2962.222692,6266.537622,5940.458117
"slt",1733.01405,1446.974288,1252.57292,1289.997801,1225.631409,1081.58058,1487.806929,1054.564272,1543.348349,1312.029368
"fkpA",3241.728986,3068.054631,3441.171572,5598.001393,3843.392721,3504.549451,3147.564674,1962.825588,4464.357411,3768.54492
"yecF",902.4538993,491.3867189,500.4053263,1653.909504,1317.960065,1259.051688,622.6263163,1390.13588,1290.989929,1132.119815
