"","0","0 | 1","0 | 2","0 | 3","0 | 4","0 | 5","3600","3600 | 1","3600 | 2","3600 | 3","3600 | 4","3600 | 5","3600 | 6","3600 | 7","3600 | 8","3600 | 9","3600 | 10","3600 | 11","10800","10800 | 1","10800 | 2","10800 | 3","10800 | 4","10800 | 5"
"aas",2.685,2.544,3.356,2.744,3.122,2.687,2.074,2.684,2.583,2.952,3.144,2.915,2.13,2.184,1.764,2.952,2.269,1.797,2.208,3.481,3.094,2.73,3.523,3.057
"aat",2.525,2.212,2.044,2.03,2.466,2.452,3.447,3.239,3.191,2.069,2.208,2.535,2.257,2.989,2.224,2.069,2.12,2.502,2.071,2.307,2.521,3.175,2.387,3.619
"metN",6.835,6.857,3.711,3.661,4.493,5.134,6.18,6.298,5.613,5.451,5.655,5.086,2.439,3.241,2.433,5.451,2.243,2.557,5.525,5.696,6.116,7.129,6.223,5.326
"abrB",0.302,0.722,1.02,1.211,0.905,0.982,0.914,1.255,1.162,1.047,0.97,1.13,0.902,0.816,0.736,1.047,0.903,0.727,0.917,1.108,1.051,1.122,1.318,1.019
"accA",14.97,15.41,10.57,12.52,12.49,14.95,15.87,13.26,14.5,8.966,13.36,16.81,7.185,9.319,7.565,8.966,7.454,8.205,13.78,14.35,11.82,11.73,12.44,11.38
"accB",52.08,58.92,34.05,40.78,49.05,47.69,52.91,61.27,53.75,31.65,51.59,57.98,25.29,32.59,25.29,31.65,25.88,27.36,49.13,46.97,57.67,58.79,46.91,51.62
"accC",27.83,29.14,13.48,23.3,22.69,26.12,23.07,20.33,17.75,13.68,27.07,26.44,13.59,17.93,12.54,13.68,13.55,15.49,23.06,11.33,29.02,35.35,16.08,18.42
"accD",25.64,25,16.61,16.22,21.19,18.31,21.5,24.16,21.56,9.686,21.24,22.98,11.34,13.72,11.69,9.686,9.71,13.34,24.45,19.67,27.29,27.92,16.84,21.12
"aceA",1.386,1.911,8.01,11.58,9.586,9.261,2.33,2.342,2.528,2.274,4.28,3.788,23.88,24.24,36.83,2.274,41.93,34.56,2.722,2.792,3.025,4.988,3.251,3.66
"aceB",3.697,6.421,27.35,22.81,23.31,14.45,10.19,13.36,11.47,9.909,10.63,9.378,43.49,45.44,56.93,9.909,65.2,54.12,10.78,15.48,12.8,15.22,13.39,15.94
