"","0","54000","108000","162000","378000","0 | 1","54000 | 1","108000 | 1","162000 | 1","378000 | 1","0 | 2","54000 | 2","108000 | 2","162000 | 2","378000 | 2","0 | 3","54000 | 3","108000 | 3","162000 | 3","378000 | 3","0 | 4","54000 | 4","108000 | 4","162000 | 4","378000 | 4","0 | 5","54000 | 5","108000 | 5","162000 | 5","378000 | 5","0 | 6","54000 | 6","108000 | 6","162000 | 6","378000 | 6","0 | 7","54000 | 7","108000 | 7","162000 | 7","378000 | 7","0 | 8","54000 | 8","108000 | 8","162000 | 8","378000 | 8","0 | 9","54000 | 9","108000 | 9","162000 | 9","378000 | 9","1242000","378000 | 10","594000","810000","1026000","1242000 | 1","0 | 10","54000 | 10","108000 | 10","162000 | 10","378000 | 11","1242000 | 2","378000 | 12","594000 | 1","810000 | 1","1026000 | 1","1242000 | 3","0 | 11","54000 | 11","108000 | 11","162000 | 11","378000 | 13","1242000 | 4","378000 | 14","594000 | 2","810000 | 2","1026000 | 2","1242000 | 5"
"isrC",1867.45,2534.09,2684.94,1742.92,2368.23,1470.18,1478.99,2562.76,2468.64,2151.13,1342.27,1598.65,3839.31,2608.31,3070.93,1293.3,2495.31,2545.58,1867.31,3071.48,1318.47,1745.94,1877.66,2234.42,2608.07,964.04,1966.52,3802.1,2320.32,2119.73,1798.18,2540.82,1929.05,2579.43,2007.22,1088.97,1709.31,2220.37,2023.91,2369.84,1685.43,2205.44,1769.1,2708.88,1804.22,1234.44,1865.93,2383.64,1772.69,1778.36,2190.55,1872.1,1845.3,1927.09,1407.98,1455.68,1491.32,1741.13,1066.81,1918.67,1483.78,1790,1903.36,2266.15,1446.12,1414.29,1135.73,826.908,1444.18,2042.2,1521.51,1713.66,1721.64,1663.92,1684.06,1831.83,1951.11,1370.19
"mcaS",151.556,236.015,289.469,276.709,291.555,237.135,223.76,195.743,262.4,323.793,265.621,190.653,281.637,251.615,240.591,130.769,214.427,279.684,145.216,223.05,136.537,276.642,359.842,200.562,250.833,145.328,195.482,179.45,168.612,383.237,171.763,138.299,272.351,226.92,193.946,180.902,168.249,209.052,291.2,182.735,114.569,200.74,212.837,227.388,223.984,210.134,183.721,118.458,155.856,121.293,213.373,161.17,94.1887,134.696,103.142,116.068,167.375,141.075,75.8,195.548,155.384,181.696,167.25,150.588,122.887,104.767,139.049,209.56,191.41,104.573,176.302,229.217,179.371,158.321,69.1382,123.467,146.683,120.987
"prfB",5705.32,7610.91,6782.17,12494.8,6273.46,5194.7,10329.6,6952.07,5188.09,6481.58,4043.96,11136.6,5542.45,7459.78,7222.27,4914.25,9314.88,5306.67,9603.66,7386.9,4816.28,8348.82,4974.88,8254.65,6710.33,5993,9822.82,6705.91,8785.21,5748.51,7369.91,8708.43,6627.59,6892.77,6487.35,5166.55,9932.36,6309.51,15050.6,7161.09,5397.67,8567.7,6189.76,7107.28,6385.07,5857.42,8824.95,8531.99,8556.76,7517.07,6931.67,7742.66,8086.09,7452.13,8746.28,7450.86,6168.35,11555.2,13567.4,7639.33,8378.36,7450.44,8399.83,7421.21,7748.54,8515.05,6907.81,7911.19,10167.3,7859.51,8681.99,9769.14,8349.14,7244.9,8258.34,7887.04,7505.23,7707.41
"thrL",520.221,669.332,1017.86,343.783,919.32,597.714,259.534,829.138,1115.65,543.124,512.054,260.331,2225.23,773.03,1304.44,557.366,384.835,742.825,217.249,1008.61,510.228,211.425,204.857,386.664,724.719,209.421,240.633,802.733,282.865,663.127,352.838,401.491,1530.09,1729.9,915.469,180.696,143.433,950.437,133.133,775.61,472.254,315.769,990.913,1059.57,530.046,323.873,356.946,154.065,481.9,471.99,770.542,735.315,513.126,358.386,254.371,323.174,263.713,112.933,158.055,255.166,313.354,316.812,672.703,688.456,248.856,279.841,182.907,95.7691,132.693,114.292,157.35,300.232,337.58,286.507,252.521,489.678,503.406,225.244
"thrA",925.385,2009.35,5326.89,4659.94,6527.3,986.792,1979.48,5026.21,5469.34,6560.15,789.221,1713.39,4062.15,5701.68,7906.14,641.62,1285.02,2937,4803.71,6699.05,568.618,1337.94,2108.97,4763.04,6362.01,535.181,1273.78,3210.32,5402.82,5218.7,1004.58,2232.89,5145.43,6349.16,6711.13,731.75,2181.59,5038.79,4519.99,7384.71,829.644,2354.06,5274.02,6558.58,6519.16,592.095,903.88,2072.21,2924.08,4088.95,3173.08,3176.12,3667.62,2503.37,2070.89,1219.95,828.196,1335.42,2039.02,3250.6,4143.53,3395.06,3688.16,3381.09,3487.46,2857.83,2067.21,589.097,1240.47,2406.51,2387.43,3622.78,2800.02,2913.72,3440.9,3008.61,1854.95,1558.06
"thrB",662.545,1198.63,3447.82,4241.33,5070.79,740.469,1351.88,4425.72,4066.6,5155.7,599.359,1103.35,2398.74,4258.31,5683.8,616.977,782.477,2209.58,4330.35,4739.98,491.346,873.795,1760.98,3722.44,4809.82,643.902,871.363,2086,4246.28,3998.77,708.185,1590.21,3521.74,4729.21,5180.06,647.62,1588.21,3600.01,4682.8,5374.37,613.645,1675.63,3776.41,4614.04,5037.02,494.892,624.675,1658.01,2073.62,2895.47,2342.8,2415.18,2557.81,1673.98,1550.29,841.052,675.483,1163.79,1920.5,2038.66,3309.77,2539,2803.51,2242.83,2304.19,2108.58,1785.13,600.705,908.981,2105.29,2049.56,2941.8,2718.98,2391.9,2366.22,2010.98,1146.32,1371.57
"thrC",602.544,1061.91,2503.67,2882.03,3924.31,683.162,837.522,2270.43,2630.31,3855.41,552.162,862.387,1920.31,2985.12,4095.52,664.941,693.098,1340.83,2570.25,3630.72,519.379,731.372,1189.92,2854.68,3548.41,574.22,670.527,1381.14,2896.18,3106.69,572.621,1186.28,2678.86,3503.13,3942.52,628.49,1136.56,2656.61,2700.24,3867.83,604.155,1238.73,2673.05,3139.49,3491.33,410.796,535.005,1070.85,1633.47,2005.84,1710.96,1773.03,1927.08,1212.38,1081.39,542.308,508.394,828.803,1174.65,1409.59,2234.95,1902.06,1869.1,1930.29,1575.24,1550.2,1201.04,573.694,698.818,1204.89,1424.29,2207.48,2021.42,1537.01,1773.29,1574.79,932.027,951.649
"yaaX",44.3681,168.837,129.73,225.548,158.919,74.5069,70.4055,128.51,205.37,158.722,105.756,19.8276,151.76,140.231,86.782,122.908,45.1719,226.002,92.9129,94.1547,118.549,115.95,280.801,175.86,139.584,96.9091,43.2086,79.7211,132.732,234.903,33.8495,50.03,143.603,152.788,120.423,75.2147,46.0945,108.84,146.943,99.7474,113.282,54.2675,123.574,117.652,142.327,61.4227,62.3465,60.1386,65.664,84.3723,127.117,82.5161,92.1521,77.0441,36.4476,57.7937,62.5002,52.7128,71.5068,93.6517,75.6441,124.196,77.5066,76.2726,90.7627,70.3154,113.376,54.5064,63.8588,97.8853,109.752,67.1274,102.466,105.353,83.8558,27.892,51.7239,76.5364
"yaaA",903.201,979.62,784.95,979.08,780.814,1028.76,937.741,979.631,869.335,789.334,902.605,794.94,793.179,922.076,815.22,878.482,881.075,961.617,1017.68,779.777,912.805,877.532,947.717,932.253,803.736,956.191,808.879,816.837,886.009,742.708,1027.93,940.573,875.632,794.833,875.436,1086.65,982.921,911.748,925.964,971.119,958.18,888.411,965.702,965.547,953.484,817.106,1025.49,1085.9,952.359,1141.45,997.843,1169.7,1093.16,1170.01,1417.46,1155.85,1098.22,1047.64,1189.88,1067.44,1096.06,1054.52,943.671,1069.26,1454.86,1151.95,1361.26,1197.79,1007.45,1038.56,1146.96,1212.46,1036.28,1227.13,1278.46,1215.64,1303.84,1396.88
"yaaJ",159.657,106.475,176.135,214.377,214.741,170.97,119.552,140.404,189.917,214.968,283.479,68.4179,146.24,99.7746,86.9231,177.329,91.0208,266.876,60.7479,127.575,126.947,233.961,331.279,121.345,207.606,154.122,76.3481,124.828,65.2937,275.453,108.164,85.4872,123.482,189.733,100.497,172.214,70.8692,161.147,106.479,106.69,139.705,89.6909,116.972,85.8137,166.885,200.942,82.451,92.0848,73.2906,113.86,165.518,129.683,160.6,105.632,101.111,170.924,193.766,74.4861,86.1027,125.756,68.5188,125.399,125.786,141.764,119.113,149.133,195.651,162.616,33.8948,43.9261,61.3203,65.1043,97.6171,147.772,119.631,152.103,142.29,91.2908
"talB",12996.5,8639.55,10615.4,12855.6,11117.9,15438.2,11900.2,15311,10249,8968.14,14349.6,10522.7,9413.5,13315,10920.4,18736.6,9872.43,11607.4,13343.6,9343.89,16355.8,8024.87,8060.76,14533.9,9275.01,23074.6,10838.3,12785.5,13567.2,7054.2,13583.1,12675.4,10948.1,11701.8,12243.6,20726.9,14533,12595,12361.3,13287.9,14036.1,12865.9,12802.8,12720.5,14305.1,17124.8,10229.6,14397.3,11153.5,12613.6,12024.1,13091.7,12915.3,13112.2,15193.5,15163.8,13647.3,12440.5,13486,11537.5,16704.8,14846.1,11156.4,10947.3,14670.3,13742.5,15883.5,20471,14954,15197.6,15168.6,14093.4,13958.9,14914.6,13697.7,13553.9,12722.1,16036.5
"mog",1098.03,1248.23,911.314,403.284,777.969,1080.09,1003.15,662.398,1027.18,672.09,1006.67,1039.18,985.6,686.176,871.426,1028.61,1425.61,796.981,652.238,816.56,1021.03,1154.52,699.666,796.287,813.773,809.287,1270.51,1061.6,883.202,768.462,1059.73,1184.39,1073.72,1008.12,840.176,798.272,892.299,1209.12,377.706,788.42,1089.81,1163.15,1009.34,977.477,645.621,1090.39,1451.68,936.304,1293.92,999.119,1237.98,1143.32,1103.35,1130.14,883.034,1482.96,1081.81,940.753,644.494,1141.23,863.201,874.311,1068.27,1239.31,1111.56,1016.91,922.671,648.86,977.294,714.882,1019.46,890.651,814.107,873.439,981.441,1237.81,1414.85,1240.24
