"","0","0 | 1","0 | 2","3600","3600 | 1","3600 | 2","7200","7200 | 1","7200 | 2","10800","10800 | 1","10800 | 2","14400","14400 | 1","14400 | 2","18000","18000 | 1","18000 | 2","0 | 3","0 | 4","0 | 5","3600 | 3","3600 | 4","3600 | 5","7200 | 3","7200 | 4","7200 | 5","10800 | 3","10800 | 4","10800 | 5","14400 | 3","14400 | 4","14400 | 5","18000 | 3","18000 | 4","18000 | 5"
"mrr",949.643360904076,1063.36561061443,1235.71557449235,851.540891254573,1032.13502309209,999.101887485952,777.852607621077,1120.17545000039,1355.97418743575,1449.01217346375,1521.50778470741,1663.85154351679,1422.23386632192,1610.82494098468,1616.9877119772,1501.51273942336,1663.97379717261,1518.1451308293,1020.45227785839,986.789804785549,1040.83091231056,1144.69616389105,1247.46100239537,1224.12909891586,938.040238376129,1179.4520071392,1169.47799440659,971.972711521798,1047.42846362715,1053.2805164254,1221.15871040231,1271.39182344654,1352.37824658071,984.35916480956,987.027178059294,1099.23566246814
"pdeF",242.389433760799,339.741583269529,312.261739318286,302.984042098033,301.717590588888,282.40072848782,284.519949034237,283.975764491881,268.747588670897,277.290234736023,312.536526756399,297.454666213149,248.113254926722,303.474818419449,237.735410938761,291.172238564446,285.472506915838,324.823454810913,263.042480748522,330.401173357333,325.702503777201,299.992994340131,339.239652275607,319.035686744023,243.628482883472,246.437842470825,306.767322097722,277.532131489219,247.874319235113,234.523876749927,275.129494906321,246.454924832417,342.05511651006,261.271327764756,411.175359348528,548.894091703482
"ycfK",28.9902727158608,22.4462416757121,23.6510937870125,26.2038883213918,26.2933853501125,28.4379585870929,27.0459937078955,36.9317315500291,26.758271123039,22.2657453196964,29.828179016206,24.4745087946165,37.9927964501182,23.3465424174182,33.8846038576708,29.3752250620455,28.1332632660539,23.2980935353898,23.1038279695727,19.4330305589269,19.5636546834191,23.9216666144154,24.243851404468,26.3426576864989,31.4323885126554,23.5333695842694,23.2766897887247,24.7351372566329,20.8103164741532,24.9083404799015,17.3380651000123,20.4467692652524,17.7643254212598,20.2186813008017,17.4355866288538,20.7118282221986
"yfbN",136.838368680746,147.011784881804,127.215266344207,92.2696961056604,117.139107721495,122.869753071674,105.300392230284,68.9002828312564,65.4488528251731,58.5894499266784,57.9382016409282,60.9796092225943,83.6368603267855,65.6530895965486,67.5870527805412,49.7818520760512,45.3428132710629,111.788114782754,119.48394775231,146.835093253404,107.150665483379,98.0252832234975,120.393191783825,82.538138717718,103.956200461594,77.1640520886802,92.6318229302917,125.082920558503,115.622150442211,102.434578990156,129.565607221129,116.933703187516,142.625684480551,85.1099559776438,227.4119095739,301.591508717365
"ggt",661.956681585638,682.638986043316,1232.02515724627,1515.96528351975,1348.70676764674,1321.14582375893,756.841296387148,1093.76038520823,1316.4545513598,1978.33221737797,1848.90579060589,1766.75221207171,1622.21688428135,1824.01388944942,1882.65117346708,1864.66144792225,1510.45553594657,1143.65405454225,516.512695615343,514.261735024547,779.767923992233,496.771638541236,409.949104809121,508.515873927102,638.833429829803,763.867711409045,652.17846784391,582.572180478491,797.81862877615,816.761470151133,622.442172183243,676.114135675136,707.731341765789,494.292771998913,578.142772341946,666.040455745321
"yajO",4612.16368630505,5324.55041720364,5246.2214804333,6021.65776124313,6171.20711895328,6110.08188801798,5665.13256344693,6923.51043854428,7086.31557937514,6839.46612363179,8273.72906550405,8140.89107261852,7138.39985313766,7256.21254610806,7345.4797285273,8799.8974744073,8528.48636773411,8116.6404992107,3662.92894502769,3644.69152676687,3858.0523389189,4467.52163336501,4376.15159409416,4054.06639154275,4369.62573292573,4434.67910799682,4144.65126005337,3535.55993298639,3966.54994630303,4125.11321564993,3462.52554635222,4055.24960140764,3626.03717330487,3482.36087250673,3924.11879053081,4073.07030081306
"ygeK",19.338567146763,25.4213016920936,21.7778707240927,15.340865777493,19.0625074991034,26.3912540383297,21.2379557243602,14.8527071009556,10.1773566790999,23.2835316829582,22.8539083015416,21.8690402166746,31.3338252429752,33.0341885097976,18.5964456579189,15.88210242891,20.1152114714469,49.7541513470614,23.5288026426051,57.0164772368086,21.3544228292139,19.0163967055923,19.1877281538421,15.3881724764911,16.2301451815949,23.7146882835214,20.8571191935005,32.1304437336151,40.4085590077938,25.436495277169,45.6849794120319,39.6025932887962,78.1185897590186,37.1218833184763,160.627823070799,181.278372031948
"rimO",3508.64191175334,3390.50627666569,3302.77505789858,3214.34484760987,3253.47781297989,3291.16809947797,1948.68339790335,2867.36132673815,3330.57371998094,3280.03842388395,2724.42488567486,2583.00370949847,2662.46713176904,2690.53246560929,2671.6512882863,2083.63664525832,2062.87115597289,2191.3481574632,5140.63191834218,4257.44152614889,3604.16663774316,3456.09701460358,3211.02904606926,3894.57179898784,2684.45964137539,3698.79595323634,4571.31652027798,2962.38821509646,3366.3675788034,3648.87496501197,3534.73660596334,3749.63642656894,3772.86038826208,2855.6154553118,3091.45223536106,2967.3327476988
"frc",163.536175908688,198.595070127763,229.319304754867,129.30479811305,162.834095049738,185.420892484041,128.531040057023,164.940056882682,161.853078934417,146.973475171844,143.230308630103,143.299721943997,149.338361794435,207.480076999748,165.289469037649,154.690200941339,160.018733273005,198.11715518766,205.546785518612,202.566528934871,204.448972202527,133.289562355266,141.46467167654,154.476759960807,161.031933423569,182.024773022005,182.831900058315,197.990033642958,206.932007052208,184.843563806928,196.706251738053,183.548307350606,201.456144673385,172.92839859043,294.289447201373,370.92327811715
"speF",86.4414878928706,113.960733311916,105.009933716086,69.7689878852617,109.938051140762,144.243150224272,82.4125987597591,88.964940344685,69.9671586393129,89.1175706405372,88.5664876002346,84.3496981122029,102.310896815197,175.908209059003,95.7143943005422,87.2813795714871,95.658946647358,202.912228293652,70.0642209797412,169.613594962535,83.1506133328847,92.3050068372752,106.781654683684,78.8450894374394,74.4905753371776,75.0530085870808,90.7269339726015,91.7982661678078,118.510165096644,76.0917954860562,80.0833266692697,86.6142803016444,322.733605521969,110.293885314032,433.06356835782,623.650956255281
"nanS",148.396370857962,206.3572048622,246.886989358561,348.200870621442,315.8839881688,322.480697832181,259.678362978172,173.962797030923,195.590027010927,259.211694937081,237.08326160618,228.867055910025,315.138454827971,274.317338154579,235.303831137252,284.138398407031,299.717809001098,291.207560119506,202.245949639193,211.671320416531,203.105570752699,253.711305885769,240.848979353647,171.761751773604,204.596974357338,164.417835950927,178.443927913726,204.642218604501,226.995045704854,230.053086146257,273.478195336617,261.129746343051,316.321542262668,223.837663796922,370.176371463206,476.657438367544
"rnc",7837.5172615011,7715.19015628656,6982.08884725503,5170.2201606423,6610.94593093369,6251.66605208127,5805.05894073489,5943.65639413821,5936.34819493881,5827.60347195108,5369.7082883883,5514.49859652622,5893.99859002731,5281.6024589159,5455.80361777864,5370.37456739192,5468.9569866214,5205.92206943595,8512.32784067912,8825.03325804064,8493.66798545951,6388.30288181738,7185.20199558908,7283.48903563018,6235.73109353839,7152.98152528092,8377.27895919221,7253.97470890259,7085.07298783753,7285.37743056931,7388.27064326295,7958.47338242501,8701.44930782779,7153.68064717001,6870.17912816305,6723.81819126674
"slt",1090.64812064896,1366.90948751433,1671.45639147706,1761.16089420143,1905.26769635065,1784.04340439396,1379.66663557779,2388.82756037401,2600.33539355965,2393.53966696691,2826.03183057653,2795.3321434184,2527.01935691378,2799.50880058195,3018.80321407611,2309.85087775976,2365.82885994969,2155.76170799444,1294.66398821769,1212.85300971766,1242.54294499547,2228.17217288227,2078.88609817301,2085.7073078808,2125.06757075002,2903.03248397871,2510.98379037247,2142.71610460388,2296.11947974629,2495.36821651157,2687.58561835508,2579.20011863502,2738.09919934866,2671.93463598712,2694.11178967563,2327.7896821054
"fkpA",9909.57864482019,10744.3083961366,11647.3489471045,7487.59662399274,7859.40837015581,7629.63328034792,8061.46876384706,6702.57619711448,6558.44464239629,7565.41233528365,6338.30777348876,5958.20067617665,8193.95355492201,7202.78437205857,6461.66391700125,6505.18783718197,5581.11632157323,5574.19980164992,10122.1770932466,10198.6742177373,10505.2727575858,7911.87545107824,9549.31809222504,8219.05607241782,8426.29085655163,8825.27182609512,8360.36375945551,8527.83612793276,8750.14979796979,8535.82569079223,8850.39420314669,8520.68085524198,8062.60875244986,9428.11734793995,9079.32292707043,8368.59085666375
"yecF",1754.07169304862,1694.50713946245,1560.94717537952,935.153250961807,951.789678942528,1075.31304289481,1019.54165158876,818.93719252731,778.587838598615,1251.4561276897,882.831318498148,909.065854741476,664.235491082579,532.323335145578,573.824199115459,728.044084064279,790.586768635671,753.821430526696,2087.8104184095,1868.53387045916,1695.7655418871,891.395581782326,1017.25947306396,909.650790899543,801.991424417254,803.371794159587,945.456321898132,994.554072322497,828.026425403721,788.080940366367,749.094022696225,743.959358103284,729.812474232277,836.699057651604,711.872963799786,603.898383085381
"menI",4440.03089513684,4674.40492792749,4910.08403221186,6416.37168173541,5699.03919707432,5674.54498975083,6258.83748124377,4903.7781610864,5063.26051359989,4303.87660462768,4209.87884614189,3722.57190304176,4560.97327051655,3648.45766965527,3517.36905423253,3489.00028490002,3425.31748713124,3791.9730617469,4695.60064855753,4913.78833988997,5512.53043287108,6264.70994837997,6175.67878303952,5185.03136213684,5913.16164294359,4764.25527033178,3107.45331135468,5507.6493636015,5321.2888403137,5334.65035008979,5245.17793639338,4976.65961472853,3492.38041299239,5403.45704336688,4615.62403848179,1526.34248594116
"ftsK",9090.54452927077,7949.75123113746,6389.48527634006,8422.62372043229,7830.96834021152,7299.00958400727,8867.56324862244,6953.23194390646,6808.70164108962,5139.01447345913,5130.71438168751,5366.02849364282,6760.53169896434,6549.50881752311,6452.95388413974,6148.86748450085,5780.03694950491,6145.82937927522,7848.84688289231,7863.93673514319,7356.10317775101,9388.46120387542,7815.31333383838,7677.51121874781,8481.5134005486,6793.68212004664,6192.50751956456,7277.21137137314,6973.37330487915,6887.69717903407,7093.40693870884,7057.28716537452,5791.47053601142,6627.84891192306,5407.95713080923,5141.0096329572
"ftp",940.713762059252,1020.78406656285,1083.98944977761,819.502761161986,858.346888670595,915.012092828322,770.222255473249,755.913319490314,809.923030220603,587.644565412051,596.192327939475,672.014242864808,666.335524423482,632.151262225643,683.423477980247,520.884970406302,534.931370015598,605.331241046612,1102.95712872539,1254.26719404809,1344.92778968349,1252.47926133045,1125.20254067893,1453.02418408524,957.98217365746,1117.34422796355,1524.02832382363,1016.18756508241,973.375060094913,1063.74305685062,1079.76751239928,1019.94666677143,1080.77837632211,886.183711877392,678.486358878141,586.192622116003
"thrA",9043.60333793715,10962.2171659253,13791.9516357702,12944.3419093343,13072.2965808028,14962.3483039341,12055.6431658597,17452.801330372,18414.122133015,13735.5779945702,18398.1234112832,19600.1218111232,16090.9736009183,19501.466533655,20940.9025047903,19558.0918125496,20870.4487388925,21139.2416221778,10702.2387633359,11957.1007516561,14087.8321022504,15755.7739145963,15071.2556655312,18427.311753309,16009.859204868,18049.3842457558,19854.0402251551,16627.2043730773,17230.620074587,17985.3548052156,17218.2153953263,17493.568583477,19027.5606731633,16788.0378434467,18142.378652752,20543.1386804863
"yghA",719.487094883433,499.223140916528,575.484794641504,390.145378415581,247.221602014939,258.981816954239,387.511683994903,245.317271530132,256.716817565688,333.28694562051,415.761684751266,449.911988586888,343.832950779139,412.191230162607,489.599746221229,538.890371608242,576.385007715602,483.393746719352,505.781689945312,323.033057488146,469.791239333439,261.454483510979,209.037360086788,222.956121389717,1775.45613282703,2199.23186469263,1584.86144027413,2385.58603166399,2564.12166024598,2035.16351924228,1141.51966674253,1021.64977149826,697.578613430336,880.449837211072,554.537802059811,604.407184715836
"yggN",5807.9567711502,6048.74866352594,5519.79893192792,2385.13299863437,2541.78977802479,2402.1924152681,2888.14207811482,2246.49946040931,2301.14631056528,2994.02592857258,2570.7025970235,2444.74453083218,2251.67828873293,2425.5025820408,2385.92999740318,2522.44133274012,2312.53261883664,2299.79252586072,6446.50726136222,6403.18953871239,6096.66686141701,2284.7933973286,2263.27943170578,2128.17784214042,2168.28547783629,2377.85660229538,2728.15330186207,2713.11032737418,2370.71249964903,2327.26051398099,2610.56614866386,2426.75037575786,2689.56100989937,3322.97563619423,3103.03660415151,3194.18465133732
"ydhL",176.67841686638,218.489630358148,216.953342043274,169.959477108584,178.095098354645,179.325395202246,154.432330172152,175.022307195493,192.879499205093,195.134627089428,256.08465558263,221.417739183339,209.951458476767,256.354071313274,214.82960349353,315.154619605063,217.436149041558,348.758120769582,161.930170447806,196.105746321265,158.372825423219,163.555333964805,162.095361809511,160.305709536061,148.374874565112,172.714691889649,162.206295067677,179.075976642506,170.158569535912,143.294854964535,162.928367103289,180.320298672601,275.706219036022,162.614263852896,435.914384211282,755.685431602331
"sokB",1351.06090818174,1112.38925579055,1493.63507861021,1605.61802215196,979.334568902327,1628.60949136638,1034.72594910511,1340.18736914384,1307.67018410837,1589.47322626584,1117.87874973756,1305.70928269697,1168.21734905234,1032.15290878409,1245.51182208124,1068.59688393978,1305.08132994227,1053.03961809912,981.72013842059,1017.14525157026,1731.25557307162,1079.22054294629,1788.07805432119,1537.47368230175,992.647719033961,1314.83768832861,1613.14566213375,1334.67799193287,1351.3615530103,1145.03501416023,1275.24700752948,714.466719186427,1392.96857871484,1514.38677295451,1212.67815970845,1389.59523813105
"ycjW",269.420907425778,299.435819202851,298.261716160663,210.63567593484,284.7020359824,300.94603521705,188.10755721154,165.424372866698,226.589625805584,207.911103902182,207.503088552619,241.535761771781,282.157717481781,253.178484975643,243.763447699856,283.244866734588,268.368586761038,217.746391438165,322.949326206308,296.542484763712,280.995263084515,388.184579931523,371.399998700454,319.721510490738,284.421950457533,233.213743473885,187.593886190057,232.743005229876,256.35957979661,292.674450790177,388.671092318566,381.801510451911,199.193533065071,219.540150456226,216.185806948202,269.761751821714
"mdtJ",2164.93050596105,1643.80106800186,2123.12117703117,1399.84172423817,1159.05073233307,1614.3156683749,1690.47621228477,973.794134125346,707.886376331117,361.847752355077,423.741024558176,407.37962053396,516.957547065496,510.613899542715,331.061859008596,320.826388389619,333.281863287314,456.045196503909,2126.54696199266,2362.41384298483,3249.65534452594,1391.73421021255,1615.88073031939,1618.64063086418,1546.24905698097,1199.81145895941,1554.93332059955,2404.18800104496,1551.6312263914,1414.93199497311,1011.14907783374,883.51143683521,838.72090194373,1284.89343813821,889.749249128302,683.428215127233
"higB",620.10254486137,806.632095054498,829.395264582237,387.794894609185,536.634500894514,529.394354615607,511.150386016467,473.811367055865,493.223934378237,673.934700023237,554.269572284889,612.269921300729,469.310198030984,409.893982432535,411.457325970323,464.845023366093,578.917516858737,512.173216276002,875.312279783661,836.954277029462,791.608339027343,596.20017972277,608.434436677515,634.329663918172,525.241099639313,669.408008191487,832.139158511442,946.859134656677,672.647569803799,729.634430607881,913.35316325858,772.855558966754,891.327618856545,899.525892961355,658.701031908891,533.647767658617
"kdgR",1738.59959702721,2220.13547701408,2610.61500579831,2553.45691317746,3349.92481254978,3256.82164611042,2434.52061204021,3373.20200093412,3944.54177146371,4092.48099025953,4178.61753261972,3997.49634699483,3839.55127778822,3963.62291270551,4017.56040500799,3990.34287019124,4419.0177172724,4633.80301317257,2202.8171036014,1936.09361916281,1757.36847037789,2237.60086298617,2740.79935180228,2743.24735761515,2150.15656642077,2608.7771599366,2564.9304655138,1863.26221211018,2358.29911681239,2797.63299323577,2464.3765544476,3072.87422024319,3028.89111379804,2325.65277491178,2378.04615337898,1008.17264524567
